"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","26-008","ORL","","MIA","W (+3)","0","25:42","3","7",".429","0","2",".000","1","2",".500","0","2","2","1","2","0","1","2","7","4.4","+11",NA
"2","2","2","2018-10-19","26-010","ORL","","CHO","L (-32)","0","24:59","3","7",".429","1","3",".333","0","0","","0","1","1","2","3","0","2","3","7","4.8","-9",NA
"3","3","3","2018-10-20","26-011","ORL","@","PHI","L (-1)","0","7:14","0","1",".000","0","0","","0","0","","0","2","2","0","0","0","2","0","0","-2.1","-19",NA
"4","4","4","2018-10-22","26-013","ORL","@","BOS","W (+3)","0","18:17","2","6",".333","0","1",".000","0","0","","1","2","3","2","0","0","2","2","4","0.5","-9",NA
"5","5","5","2018-10-25","26-016","ORL","","POR","L (-14)","0","21:05","1","5",".200","0","1",".000","0","0","","1","2","3","5","0","0","1","0","2","2.7","-6",NA
"6","6","6","2018-10-27","26-018","ORL","@","MIL","L (-22)","0","26:24","2","7",".286","1","3",".333","0","0","","2","3","5","2","3","1","2","2","5","5.5","-16",NA
"7","7","7","2018-10-30","26-021","ORL","","SAC","L (-8)","0","21:23","1","3",".333","1","3",".333","1","2",".500","1","1","2","6","0","0","1","2","4","5.3","+2",NA
"8","8","8","2018-11-02","26-024","ORL","","LAC","L (-25)","0","21:00","3","8",".375","0","3",".000","2","4",".500","0","1","1","4","2","0","2","5","8","3.9","-16",NA
"9","9","9","2018-11-04","26-026","ORL","@","SAS","W (+7)","0","15:29","3","4",".750","2","2","1.000","0","2",".000","0","2","2","5","1","0","0","1","8","10.3","-1",NA
"10","10","10","2018-11-05","26-027","ORL","","CLE","W (+2)","0","21:06","3","7",".429","1","2",".500","0","0","","0","3","3","4","3","0","2","1","7","7.6","+5",NA
"11","11","11","2018-11-07","26-029","ORL","","DET","L (-7)","0","17:01","0","2",".000","0","0","","0","0","","1","0","1","6","2","0","2","1","0","3.1","-22",NA
"12","12","12","2018-11-09","26-031","ORL","","WAS","W (+9)","0","22:56","5","5","1.000","2","2","1.000","1","1","1.000","1","2","3","2","1","1","1","2","13","14.1","+5",NA
"13","13","13","2018-11-11","26-033","ORL","@","NYK","W (+26)","0","28:14","3","6",".500","3","6",".500","0","0","","0","2","2","8","1","0","1","2","9","11.4","+9",NA
"14","14","14","2018-11-12","26-034","ORL","@","WAS","L (-8)","0","16:39","1","3",".333","1","1","1.000","0","0","","1","0","1","3","1","0","0","2","3","4.3","-6",NA
"15","15","15","2018-11-14","26-036","ORL","","PHI","W (+5)","0","16:43","2","3",".667","1","2",".500","0","0","","0","0","0","2","1","0","1","3","5","3.9","+2",NA
"16","16","16","2018-11-17","26-039","ORL","","LAL","W (+13)","0","19:14","1","4",".250","1","3",".333","0","0","","1","1","2","3","1","0","1","0","3","3.7","+2",NA
"17","17","17","2018-11-18","26-040","ORL","","NYK","W (+14)","0","4:01","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","3","0","-2.6","-1",NA
"18","18","18","2018-11-20","26-042","ORL","","TOR","L (-2)","0","21:53","1","4",".250","0","2",".000","0","0","","0","2","2","5","1","0","2","0","2","2.7","-11",NA
"19","19","19","2018-11-23","26-045","ORL","@","DEN","L (-25)","0","18:22","0","3",".000","0","2",".000","0","0","","0","3","3","5","0","0","2","0","0","0.3","-6",NA
"20","20","20","2018-11-25","26-047","ORL","@","LAL","W (+4)","0","18:57","2","3",".667","1","2",".500","0","0","","0","0","0","6","1","0","2","0","5","6.9","-5",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","21","2018-11-26","26-048","ORL","@","GSW","L (-6)","0","18:47","0","2",".000","0","2",".000","0","0","","0","0","0","3","1","0","1","4","0","-0.9","-8",NA
"23","22","22","2018-11-28","26-050","ORL","@","POR","L (-3)","0","25:04","2","5",".400","1","1","1.000","1","1","1.000","1","4","5","7","0","0","2","3","6","6.9","-5",NA
"24","23","23","2018-11-30","26-052","ORL","@","PHO","W (+14)","0","19:16","1","2",".500","1","1","1.000","1","2",".500","0","2","2","1","0","0","0","2","4","3.1","+5",NA
"25","24","24","2018-12-04","26-056","ORL","@","MIA","W (+15)","0","19:52","1","5",".200","1","4",".250","1","2",".500","1","1","2","1","0","1","0","1","4","2.5","-6",NA
"26","25","25","2018-12-05","26-057","ORL","","DEN","L (-6)","0","21:57","0","3",".000","0","2",".000","0","0","","0","0","0","3","0","0","0","1","0","-0.4","-1",NA
"27","26","26","2018-12-07","26-059","ORL","","IND","L (-22)","0","25:40","1","2",".500","1","2",".500","2","2","1.000","0","3","3","3","1","0","3","3","5","3.8","-9",NA
"28","27","27","2018-12-10","26-062","ORL","@","DAL","L (-25)","0","15:14","1","5",".200","1","4",".250","0","0","","0","1","1","3","2","0","0","3","3","3.1","-8",NA
"29","28","28","2018-12-13","26-065","ORL","","CHI","W (+6)","0","15:24","2","2","1.000","0","0","","0","0","","0","4","4","3","3","0","1","2","4","7.9","-2",NA
"30","29","29","2018-12-15","26-067","ORL","","UTA","W (+7)","0","13:44","1","3",".333","0","1",".000","0","0","","0","1","1","2","1","0","0","2","2","2.2","0",NA
"31","30","30","2018-12-19","26-071","ORL","","SAS","L (-39)","0","23:53","4","8",".500","1","4",".250","0","1",".000","0","1","1","4","0","0","1","1","9","6.3","-19",NA
"32","31","31","2018-12-21","26-073","ORL","@","CHI","L (-10)","0","14:12","2","4",".500","0","1",".000","0","0","","1","1","2","4","0","0","0","0","4","5.8","-1",NA
"33","32","32","2018-12-23","26-075","ORL","","MIA","L (-24)","0","25:59","2","5",".400","1","3",".333","3","3","1.000","1","0","1","1","1","0","2","3","8","4.5","-15",NA
"34","33","33","2018-12-26","26-078","ORL","","PHO","L (-2)","0","11:32","0","1",".000","0","0","","2","2","1.000","1","1","2","3","0","0","1","1","2","3.0","-13",NA
"35","34","34","2018-12-28","26-080","ORL","","TOR","W (+29)","0","3:22","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","1","0","2","0.0","+3",NA
"36","35","35","2018-12-30","26-082","ORL","","DET","W (+2)","0","5:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-9",NA
"37","36","36","2018-12-31","26-083","ORL","@","CHO","L (-25)","1","25:45","4","10",".400","1","4",".250","0","0","","0","2","2","5","1","0","0","1","9","8.3","-9",NA
"38","37","37","2019-01-02","26-085","ORL","@","CHI","W (+28)","0","18:45","2","4",".500","2","3",".667","0","0","","0","2","2","2","0","0","0","0","6","6.0","+10",NA
"39","38","38","2019-01-04","26-087","ORL","@","MIN","L (-17)","0","3:45","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","+4",NA
"40","39","39","2019-01-06","26-089","ORL","@","LAC","L (-10)","0","1:55","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.7","+5",NA
"41","40","40","2019-01-07","26-090","ORL","@","SAC","L (-16)","0","5:21","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","0.0","+3",NA
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","","2019-01-09","26-092","ORL","@","UTA","L (-13)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"44","42","","2019-01-12","26-095","ORL","","BOS","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"45","43","","2019-01-13","26-096","ORL","","HOU","W (+7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"46","44","","2019-01-16","26-099","ORL","@","DET","L (-5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"47","45","","2019-01-18","26-101","ORL","","BRK","L (-2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"48","46","","2019-01-19","26-102","ORL","","MIL","L (-10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"49","47","","2019-01-21","26-104","ORL","@","ATL","W (+19)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"50","48","41","2019-01-23","26-106","ORL","@","BRK","L (-4)","0","18:51","1","5",".200","1","4",".250","3","4",".750","0","4","4","3","1","1","1","1","6","6.1","-5",NA
"51","49","42","2019-01-25","26-108","ORL","","WAS","L (-4)","0","19:39","2","5",".400","0","2",".000","0","0","","0","1","1","2","0","0","1","1","4","1.6","+5",NA
"52","50","43","2019-01-27","26-110","ORL","@","HOU","L (-5)","0","19:49","1","3",".333","0","2",".000","2","2","1.000","2","3","5","5","3","0","0","2","4","10.3","-15",NA
"53","51","44","2019-01-29","26-112","ORL","","OKC","L (-9)","0","15:57","2","4",".500","0","0","","1","1","1.000","0","3","3","2","0","0","2","2","5","2.5","-2",NA
"54","52","","2019-01-31","26-114","ORL","","IND","W (+7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
