"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","21-024","ATL","@","NYK","L (-19)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2","2","","2018-10-19","21-026","ATL","@","MEM","L (-14)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"3","3","","2018-10-21","21-028","ATL","@","CLE","W (+22)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4","4","","2018-10-24","21-031","ATL","","DAL","W (+7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5","5","","2018-10-27","21-034","ATL","","CHI","L (-12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6","6","","2018-10-29","21-036","ATL","@","PHI","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"7","7","","2018-10-30","21-037","ATL","@","CLE","L (-22)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"8","8","","2018-11-01","21-039","ATL","","SAC","L (-31)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"9","9","","2018-11-03","21-041","ATL","","MIA","W (+5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"10","10","","2018-11-06","21-044","ATL","@","CHO","L (-11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"11","11","","2018-11-07","21-045","ATL","","NYK","L (-5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"12","12","","2018-11-09","21-047","ATL","","DET","L (-15)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"13","13","","2018-11-11","21-049","ATL","@","LAL","L (-1)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"14","14","","2018-11-13","21-051","ATL","@","GSW","L (-7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"15","15","","2018-11-15","21-053","ATL","@","DEN","L (-45)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"16","16","1","2018-11-17","21-055","ATL","@","IND","L (-8)","0","12:08","3","6",".500","0","1",".000","6","7",".857","1","1","2","0","0","1","3","1","12","6.9","+14",NA
"17","17","2","2018-11-19","21-057","ATL","","LAC","L (-8)","0","20:30","7","10",".700","2","3",".667","2","2","1.000","2","1","3","6","0","0","0","5","18","17.7","-2",NA
"18","18","3","2018-11-21","21-059","ATL","","TOR","L (-16)","1","26:45","3","9",".333","0","3",".000","0","0","","1","5","6","4","0","0","2","3","6","2.7","-10",NA
"19","19","4","2018-11-23","21-061","ATL","","BOS","L (-18)","1","30:03","7","8",".875","0","0","","2","4",".500","1","6","7","1","0","0","5","4","16","9.0","-11",NA
"20","20","5","2018-11-25","21-063","ATL","","CHO","W (+1)","1","30:08","11","16",".688","0","1",".000","1","2",".500","4","7","11","4","0","1","2","4","23","20.6","+16",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","6","2018-11-27","21-065","ATL","@","MIA","W (+2)","1","29:12","6","10",".600","0","2",".000","4","4","1.000","0","4","4","2","0","1","2","2","16","11.9","-5",NA
"23","22","7","2018-11-28","21-066","ATL","@","CHO","L (-14)","1","31:14","3","10",".300","0","3",".000","3","3","1.000","2","8","10","4","1","0","3","2","9","7.0","-6",NA
"24","23","8","2018-11-30","21-068","ATL","@","OKC","L (-15)","1","32:47","9","15",".600","0","3",".000","1","1","1.000","4","7","11","1","0","1","1","0","19","17.4","-8",NA
"25","24","9","2018-12-03","21-071","ATL","","GSW","L (-17)","1","29:45","11","14",".786","0","1",".000","2","3",".667","3","8","11","2","0","1","2","2","24","22.0","-6",NA
"26","25","10","2018-12-05","21-073","ATL","","WAS","L (-14)","1","31:50","12","17",".706","2","4",".500","0","1",".000","3","11","14","0","0","0","2","5","26","19.9","-8",NA
"27","26","11","2018-12-08","21-076","ATL","","DEN","W (+8)","1","33:14","12","20",".600","3","6",".500","3","4",".750","3","9","12","5","0","1","1","2","30","27.6","+5",NA
"28","27","12","2018-12-12","21-080","ATL","@","DAL","L (-7)","1","35:56","10","22",".455","0","3",".000","0","1",".000","9","8","17","1","0","1","5","5","20","11.3","+5",NA
"29","28","13","2018-12-14","21-082","ATL","@","BOS","L (-21)","1","29:13","2","8",".250","0","0","","7","12",".583","7","7","14","1","0","1","5","3","11","6.4","-7",NA
"30","29","14","2018-12-16","21-084","ATL","@","BRK","L (-17)","1","33:55","13","19",".684","0","1",".000","3","6",".500","3","5","8","2","0","1","3","3","29","21.2","-28",NA
"31","30","15","2018-12-18","21-086","ATL","","WAS","W (+8)","1","25:12","7","14",".500","1","2",".500","5","6",".833","6","7","13","3","0","0","3","4","20","16.4","+7",NA
"32","31","16","2018-12-21","21-089","ATL","@","NYK","W (+7)","1","32:56","7","15",".467","0","3",".000","3","4",".750","5","11","16","4","0","0","1","2","17","16.7","+17",NA
"33","32","","2018-12-23","21-091","ATL","@","DET","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"34","33","17","2018-12-26","21-094","ATL","","IND","L (-8)","1","27:04","9","13",".692","2","3",".667","1","2",".500","5","6","11","0","0","1","2","4","21","17.5","+11",NA
"35","34","18","2018-12-28","21-096","ATL","@","MIN","W (+3)","1","39:10","9","15",".600","0","2",".000","3","5",".600","5","5","10","4","0","0","2","5","21","17.1","-2",NA
"36","35","19","2018-12-29","21-097","ATL","","CLE","W (+3)","1","27:26","6","13",".462","0","1",".000","2","3",".667","6","7","13","2","0","0","2","5","14","10.6","+1",NA
"37","36","20","2018-12-31","21-099","ATL","@","IND","L (-8)","1","37:09","8","15",".533","2","4",".500","4","4","1.000","7","9","16","4","0","0","0","3","22","23.9","-3",NA
"38","37","21","2019-01-02","21-101","ATL","@","WAS","L (-16)","1","26:54","8","14",".571","4","5",".800","1","2",".500","1","7","8","3","0","0","2","4","21","15.3","-7",NA
"39","38","22","2019-01-04","21-103","ATL","@","MIL","L (-32)","1","25:34","4","9",".444","0","2",".000","4","6",".667","2","5","7","2","2","0","1","4","12","10.2","-13",NA
