"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","37-019","DET","","BRK","W (+3)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","1","2018-10-20","37-022","DET","@","CHI","W (+2)","0","4:04","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.8","+1",NA
"3","3","","2018-10-23","37-025","DET","","PHI","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"4","4","","2018-10-25","37-027","DET","","CLE","W (+7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"5","5","2","2018-10-27","37-029","DET","","BOS","L (-20)","0","10:20","1","2",".500","1","2",".500","0","0","","1","0","1","2","0","0","0","2","3","3.3","+8",NA
"6","6","3","2018-10-30","37-032","DET","@","BOS","L (-3)","0","11:55","1","2",".500","0","1",".000","0","0","","0","0","0","0","1","0","0","2","2","1.2","+3",NA
"7","7","4","2018-10-31","37-033","DET","@","BRK","L (-1)","0","15:31","2","5",".400","2","4",".500","2","2","1.000","0","2","2","0","1","1","1","1","8","6.2","+4",NA
"8","8","5","2018-11-03","37-036","DET","@","PHI","L (-10)","0","12:42","1","4",".250","0","2",".000","0","0","","0","0","0","2","0","0","1","1","2","-0.4","-11",NA
"9","9","6","2018-11-05","37-038","DET","","MIA","L (-5)","0","11:11","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","1","0","-0.8","-6",NA
"10","10","7","2018-11-07","37-040","DET","@","ORL","W (+7)","0","12:30","0","1",".000","0","1",".000","0","0","","2","0","2","1","3","0","1","1","0","3.0","+14",NA
"11","11","8","2018-11-09","37-042","DET","@","ATL","W (+15)","0","22:26","2","4",".500","0","2",".000","1","1","1.000","0","1","1","4","0","0","0","4","5","4.5","-7",NA
"12","12","9","2018-11-11","37-044","DET","","CHO","L (-10)","0","6:54","0","3",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.1","-9",NA
"13","13","10","2018-11-14","37-047","DET","@","TOR","W (+2)","0","5:36","0","0","","0","0","","0","0","","0","1","1","2","0","1","1","1","0","1.0","-4",NA
"14","14","11","2018-11-19","37-052","DET","","CLE","W (+11)","0","11:33","0","3",".000","0","2",".000","0","0","","0","1","1","1","0","0","0","2","0","-1.9","-13",NA
"15","15","12","2018-11-21","37-054","DET","@","HOU","L (-2)","0","0:10","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+3",NA
"16","16","13","2018-11-23","37-056","DET","","HOU","W (+5)","0","0:00","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","",NA
"17","17","","2018-11-25","37-058","DET","","PHO","W (+11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
