"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","29-235","SAC","","UTA","L (-6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2","2","","2018-10-19","29-237","SAC","@","NOP","L (-20)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"3","3","","2018-10-21","29-239","SAC","@","OKC","W (+11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4","4","","2018-10-23","29-241","SAC","@","DEN","L (-14)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5","5","","2018-10-24","29-242","SAC","","MEM","W (+5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6","6","","2018-10-26","29-244","SAC","","WAS","W (+4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"7","7","1","2018-10-29","29-247","SAC","@","MIA","W (+10)","0","11:59","3","4",".750","0","0","","0","0","","1","3","4","0","1","0","0","1","6","6.6","-10",NA
"8","8","2","2018-10-30","29-248","SAC","@","ORL","W (+8)","0","12:36","2","3",".667","0","0","","0","0","","0","5","5","1","0","1","0","2","4","4.8","+3",NA
"9","9","3","2018-11-01","29-250","SAC","@","ATL","W (+31)","0","11:50","4","7",".571","0","0","","0","0","","1","3","4","0","1","1","0","2","8","7.2","+7",NA
"10","10","4","2018-11-04","29-253","SAC","@","MIL","L (-35)","0","15:36","1","2",".500","0","0","","0","0","","2","3","5","3","1","0","0","4","2","4.8","0",NA
