"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","28-205","IND","","MEM","W (+28)","0","3:58","0","0","","0","0","","2","2","1.000","1","2","3","3","0","0","0","2","2","4.6","-1",NA
"2","2","2","2018-10-19","28-207","IND","@","MIL","L (-17)","0","4:14","1","2",".500","0","0","","2","2","1.000","0","1","1","1","0","0","0","0","4","4.0","+7",NA
"3","3","3","2018-10-20","28-208","IND","","BRK","W (+20)","0","18:36","7","12",".583","0","0","","2","2","1.000","5","3","8","1","1","2","3","3","16","13.7","+15",NA
"4","4","4","2018-10-22","28-210","IND","@","MIN","L (-10)","0","10:43","2","4",".500","0","1",".000","0","0","","0","4","4","1","0","2","1","2","4","3.5","+7",NA
"5","5","5","2018-10-24","28-212","IND","@","SAS","W (+20)","0","2:51","1","1","1.000","0","0","","0","0","","0","1","1","1","0","0","0","1","2","2.3","-9",NA
"6","6","","2018-10-27","28-215","IND","@","CLE","W (+12)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"7","7","","2018-10-29","28-217","IND","","POR","L (-10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"8","8","6","2018-10-31","28-219","IND","@","NYK","W (+6)","0","2:59","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-2",NA
"9","9","","2018-11-02","28-221","IND","@","CHI","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","","2018-11-03","28-222","IND","","BOS","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"11","11","","2018-11-05","28-224","IND","","HOU","L (-4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","12","7","2018-11-07","28-226","IND","","PHI","L (-6)","0","1:41","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","1","0","-0.8","-1",NA
"13","13","","2018-11-09","28-228","IND","@","MIA","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","14","8","2018-11-11","28-230","IND","@","HOU","L (-12)","0","4:32","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-11",NA
"15","15","","2018-11-16","28-235","IND","","MIA","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","16","9","2018-11-17","28-236","IND","","ATL","W (+8)","0","2:31","0","1",".000","0","0","","0","0","","2","1","3","0","0","1","0","1","0","1.3","-10",NA
"17","17","10","2018-11-19","28-238","IND","","UTA","W (+27)","0","2:48","0","1",".000","0","0","","0","0","","0","2","2","2","0","0","0","1","0","0.9","+2",NA
"18","18","11","2018-11-21","28-240","IND","@","CHO","L (-18)","0","3:19","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","1","0","0","-1.4","+2",NA
"19","19","12","2018-11-23","28-242","IND","","SAS","L (-11)","0","12:24","1","2",".500","0","0","","0","0","","2","3","5","3","0","1","2","4","2","2.5","+4",NA
"20","20","13","2018-11-26","28-245","IND","@","UTA","W (+33)","0","4:32","0","0","","0","0","","0","0","","0","0","0","2","0","0","1","0","0","0.4","+4",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","","2018-11-27","28-246","IND","@","PHO","W (+5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"23","22","","2018-11-29","28-248","IND","@","LAL","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"24","23","","2018-12-01","28-250","IND","@","SAC","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"25","24","","2018-12-04","28-253","IND","","CHI","W (+6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"26","25","14","2018-12-07","28-256","IND","@","ORL","W (+22)","0","27:25","6","11",".545","0","1",".000","0","0","","2","8","10","2","2","2","0","2","12","14.5","+8",NA
"27","26","","2018-12-08","28-257","IND","","SAC","W (+10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"28","27","","2018-12-10","28-259","IND","","WAS","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
