"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","30-117","MEM","@","IND","L (-28)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","1","2018-10-19","30-119","MEM","","ATL","W (+14)","0","24:03","4","8",".500","0","2",".000","3","6",".500","1","3","4","2","0","0","0","2","11","8.0","+1",NA
"3","3","2","2018-10-22","30-122","MEM","@","UTA","W (+8)","0","10:15","1","2",".500","0","1",".000","2","2","1.000","0","1","1","1","1","0","0","0","4","5.0","+7",NA
"4","4","3","2018-10-24","30-124","MEM","@","SAC","L (-5)","0","10:16","2","4",".500","1","2",".500","0","0","","1","2","3","1","1","0","1","0","5","5.0","+8",NA
"5","5","4","2018-10-27","30-127","MEM","","PHO","W (+21)","0","14:03","2","2","1.000","1","1","1.000","0","1",".000","0","3","3","3","0","0","1","0","5","6.0","+27",NA
"6","6","5","2018-10-30","30-130","MEM","","WAS","W (+12)","0","14:31","3","6",".500","1","1","1.000","1","2",".500","0","3","3","0","1","0","0","2","8","5.7","-6",NA
"7","7","6","2018-11-02","30-133","MEM","@","UTA","W (+10)","0","6:51","1","1","1.000","0","0","","2","4",".500","1","2","3","1","0","0","0","1","4","4.5","+7",NA
"8","8","7","2018-11-04","30-135","MEM","@","PHO","L (-2)","0","4:28","1","2",".500","0","1",".000","0","0","","0","0","0","2","1","0","0","0","2","3.4","+6",NA
"9","9","","2018-11-05","30-136","MEM","@","GSW","L (-16)","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"10","10","","2018-11-07","30-138","MEM","","DEN","W (+2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"11","11","","2018-11-10","30-141","MEM","","PHI","W (+6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"12","12","","2018-11-12","30-143","MEM","","UTA","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
