"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-22","25-016","CHI","@","DAL","L (-6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","","2018-10-24","25-018","CHI","","CHO","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"3","3","1","2018-10-26","25-020","CHI","@","CHO","L (-29)","0","13:53","3","8",".375","2","3",".667","2","2","1.000","2","2","4","3","1","0","2","2","10","7.9","-1",NA
"4","4","2","2018-10-27","25-021","CHI","@","ATL","W (+12)","0","4:20","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","1","0","0.3","+6",NA
"5","5","3","2018-10-29","25-023","CHI","","GSW","L (-25)","0","18:10","5","8",".625","0","2",".000","3","8",".375","1","3","4","4","1","0","1","4","13","10.2","-3",NA
"6","6","","2018-10-31","25-025","CHI","","DEN","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"7","7","","2018-11-02","25-027","CHI","","IND","L (-2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"8","8","","2018-11-03","25-028","CHI","","HOU","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9","9","","2018-11-05","25-030","CHI","@","NYK","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","","2018-11-07","25-032","CHI","@","NOP","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"11","11","4","2018-11-10","25-035","CHI","","CLE","W (+1)","0","18:03","3","5",".600","0","1",".000","0","1",".000","0","3","3","3","3","0","2","0","6","7.3","-10",NA
"12","12","5","2018-11-12","25-037","CHI","","DAL","L (-5)","0","12:51","1","4",".250","1","3",".333","0","0","","0","4","4","0","2","0","1","2","3","2.0","-11",NA
"13","13","6","2018-11-14","25-039","CHI","@","BOS","L (-29)","0","22:54","7","10",".700","0","0","","2","2","1.000","0","6","6","1","4","0","0","2","16","17.5","-19",NA
"14","14","7","2018-11-16","25-041","CHI","@","MIL","L (-19)","0","18:47","2","5",".400","0","0","","1","2",".500","1","6","7","1","0","0","0","0","5","5.1","-5",NA
"15","15","8","2018-11-17","25-042","CHI","","TOR","L (-39)","0","27:14","1","7",".143","0","2",".000","5","8",".625","0","4","4","6","5","0","3","3","7","7.5","-19",NA
"16","16","9","2018-11-21","25-046","CHI","","PHO","W (+8)","0","17:59","3","7",".429","0","2",".000","3","3","1.000","1","3","4","4","2","1","0","2","9","11.6","-2",NA
"17","17","10","2018-11-23","25-048","CHI","","MIA","L (-7)","0","17:07","0","7",".000","0","2",".000","2","2","1.000","1","1","2","0","2","0","0","1","2","-0.3","+3",NA
