"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","22-213","SAC","","UTA","L (-6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","1","2018-10-19","22-215","SAC","@","NOP","L (-20)","0","7:54","2","4",".500","1","3",".333","0","0","","1","0","1","0","0","0","1","4","5","1.1","+2",NA
"3","3","2","2018-10-21","22-217","SAC","@","OKC","W (+11)","0","2:13","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",NA
"4","4","3","2018-10-23","22-219","SAC","@","DEN","L (-14)","0","4:56","0","0","","0","0","","0","0","","0","2","2","1","0","0","0","0","0","1.3","+7",NA
"5","5","","2018-10-24","22-220","SAC","","MEM","W (+5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"6","6","","2018-10-26","22-222","SAC","","WAS","W (+4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"7","7","","2018-10-29","22-225","SAC","@","MIA","W (+10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"8","8","","2018-10-30","22-226","SAC","@","ORL","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9","9","4","2018-11-01","22-228","SAC","@","ATL","W (+31)","0","5:29","2","3",".667","0","1",".000","2","2","1.000","0","4","4","0","0","0","1","0","6","4.9","-3",NA
"10","10","5","2018-11-04","22-231","SAC","@","MIL","L (-35)","0","7:48","0","1",".000","0","1",".000","2","2","1.000","0","0","0","1","1","0","1","2","2","1.2","-7",NA
"11","11","","2018-11-07","22-234","SAC","","TOR","L (-9)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"12","12","","2018-11-09","22-236","SAC","","MIN","W (+11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","13","","2018-11-10","22-237","SAC","","LAL","L (-15)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"14","14","","2018-11-12","22-239","SAC","","SAS","W (+5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","15","","2018-11-16","22-243","SAC","@","MEM","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
