"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-18","21-130","LAL","@","POR","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","","2018-10-20","21-132","LAL","","HOU","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"3","3","1","2018-10-22","21-134","LAL","","SAS","L (-1)","0","16:38","0","2",".000","0","2",".000","0","0","","1","1","2","3","0","0","2","2","0","-1.1","+12",NA
"4","4","2","2018-10-24","21-136","LAL","@","PHO","W (+18)","0","22:05","1","6",".167","1","2",".500","1","2",".500","0","0","0","2","2","0","1","0","4","2.2","+4",NA
"5","5","3","2018-10-25","21-137","LAL","","DEN","W (+7)","0","12:24","2","3",".667","0","0","","0","0","","1","1","2","1","0","0","0","1","4","4.0","-2",NA
"6","6","4","2018-10-27","21-139","LAL","@","SAS","L (-4)","0","1:56","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",NA
"7","7","","2018-10-29","21-141","LAL","@","MIN","L (-4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"8","8","","2018-10-31","21-143","LAL","","DAL","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9","9","","2018-11-03","21-146","LAL","@","POR","W (+4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","5","2018-11-04","21-147","LAL","","TOR","L (-14)","0","9:32","1","3",".333","0","2",".000","0","0","","0","0","0","3","0","0","0","0","2","2.4","+7",NA
"11","11","","2018-11-07","21-150","LAL","","MIN","W (+4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","12","6","2018-11-10","21-153","LAL","@","SAC","W (+15)","0","1:39","0","0","","0","0","","0","2",".000","0","0","0","0","0","0","0","1","0","-1.2","-1",NA
"13","13","","2018-11-11","21-154","LAL","","ATL","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","14","","2018-11-14","21-157","LAL","","POR","W (+9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","15","7","2018-11-17","21-160","LAL","@","ORL","L (-13)","0","10:30","2","3",".667","2","3",".667","2","2","1.000","0","0","0","0","0","0","0","1","8","6.3","+5",NA
"16","16","8","2018-11-18","21-161","LAL","@","MIA","W (+16)","0","3:15","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+1",NA
"17","17","","2018-11-21","21-164","LAL","@","CLE","W (+4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"18","18","","2018-11-23","21-166","LAL","","UTA","W (+7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"19","19","9","2018-11-25","21-168","LAL","","ORL","L (-4)","0","8:58","0","2",".000","0","0","","1","2",".500","0","0","0","1","1","0","0","0","1","0.9","+7",NA
"20","20","10","2018-11-27","21-170","LAL","@","DEN","L (-32)","0","12:00","1","6",".167","1","5",".200","0","0","","0","2","2","1","0","0","2","0","3","-1.5","-14",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","","2018-11-29","21-172","LAL","","IND","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"23","22","11","2018-11-30","21-173","LAL","","DAL","W (+11)","0","1:59","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","1","3","2.3","-3",NA
"24","23","12","2018-12-02","21-175","LAL","","PHO","W (+24)","0","7:04","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","1","0","0","-1.0","-6",NA
"25","24","13","2018-12-05","21-178","LAL","","SAS","W (+8)","0","11:36","1","7",".143","1","5",".200","1","2",".500","1","0","1","0","0","0","2","0","4","-2.2","-16",NA
"26","25","14","2018-12-07","21-180","LAL","@","SAS","L (-13)","0","11:13","2","3",".667","2","3",".667","0","0","","1","0","1","0","0","0","0","2","6","4.6","+2",NA
"27","26","15","2018-12-08","21-181","LAL","@","MEM","W (+23)","0","23:01","4","8",".500","3","6",".500","0","0","","1","2","3","0","0","0","1","1","11","6.9","+25",NA
"28","27","16","2018-12-10","21-183","LAL","","MIA","W (+3)","0","11:49","1","4",".250","1","2",".500","0","0","","0","1","1","1","2","0","1","1","3","2.2","-18",NA
"29","28","17","2018-12-13","21-186","LAL","@","HOU","L (-15)","0","9:03","0","1",".000","0","1",".000","0","0","","0","1","1","0","1","0","0","0","0","0.6","-5",NA
"30","29","18","2018-12-15","21-188","LAL","@","CHO","W (+28)","0","17:47","4","10",".400","3","6",".500","1","2",".500","0","1","1","4","0","0","0","2","12","8.5","-3",NA
"31","30","19","2018-12-16","21-189","LAL","@","WAS","L (-18)","0","27:30","2","6",".333","0","3",".000","1","1","1.000","0","3","3","1","2","0","3","0","5","2.2","+8",NA
"32","31","20","2018-12-18","21-191","LAL","@","BRK","L (-5)","0","5:30","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","1","0","-2.1","+3",NA
"33","32","","2018-12-21","21-194","LAL","","NOP","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
