"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","24-209","ATL","@","NYK","L (-19)","1","32:19","7","15",".467","3","7",".429","4","4","1.000","0","6","6","6","0","0","6","4","21","11.7","-23",NA
"2","2","2","2018-10-19","24-211","ATL","@","MEM","L (-14)","1","23:03","10","15",".667","4","9",".444","4","4","1.000","0","4","4","3","3","0","4","4","28","22.2","-8",NA
"3","3","3","2018-10-21","24-213","ATL","@","CLE","W (+22)","1","25:49","5","16",".313","1","6",".167","3","3","1.000","1","5","6","1","2","1","2","3","14","7.2","+7",NA
"4","4","4","2018-10-24","24-216","ATL","","DAL","W (+7)","1","34:14","8","15",".533","5","9",".556","3","4",".750","0","4","4","3","0","0","2","6","24","15.2","+5",NA
"5","5","5","2018-10-27","24-219","ATL","","CHI","L (-12)","1","34:32","5","14",".357","2","5",".400","4","4","1.000","0","5","5","3","2","1","6","1","16","8.1","-17",NA
"6","6","6","2018-10-29","24-221","ATL","@","PHI","L (-21)","1","25:34","1","11",".091","1","6",".167","2","2","1.000","1","5","6","2","1","0","3","3","5","-1.9","-16",NA
"7","7","7","2018-10-30","24-222","ATL","@","CLE","L (-22)","1","26:16","3","12",".250","1","5",".200","2","2","1.000","0","4","4","2","1","0","4","6","9","-1.0","-20",NA
"8","8","8","2018-11-01","24-224","ATL","","SAC","L (-31)","1","28:40","3","12",".250","1","7",".143","0","0","","0","7","7","6","2","0","4","2","7","3.3","-20",NA
"9","9","9","2018-11-03","24-226","ATL","","MIA","W (+5)","1","22:21","5","11",".455","3","8",".375","2","3",".667","0","4","4","3","1","0","1","5","15","10.2","-3",NA
"10","10","","2018-11-06","24-229","ATL","@","CHO","L (-11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"11","11","10","2018-11-07","24-230","ATL","","NYK","L (-5)","0","31:10","6","15",".400","2","10",".200","2","4",".500","0","2","2","3","0","1","2","2","16","7.7","-3",NA
"12","12","11","2018-11-09","24-232","ATL","","DET","L (-15)","1","21:43","2","5",".400","1","3",".333","1","1","1.000","0","5","5","0","2","0","2","0","6","4.8","-14",NA
"13","13","12","2018-11-11","24-234","ATL","@","LAL","L (-1)","1","34:45","9","13",".692","5","8",".625","0","0","","1","6","7","1","2","0","5","2","23","16.9","0",NA
"14","14","13","2018-11-13","24-236","ATL","@","GSW","L (-7)","1","39:21","8","14",".571","4","7",".571","2","2","1.000","0","4","4","4","0","0","2","3","22","16.2","-2",NA
"15","15","","2018-11-15","24-238","ATL","@","DEN","L (-45)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","16","","2018-11-17","24-240","ATL","@","IND","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"17","17","14","2018-11-19","24-242","ATL","","LAC","L (-8)","1","32:10","8","15",".533","3","8",".375","2","3",".667","2","2","4","0","2","0","0","2","21","16.5","-6",NA
"18","18","15","2018-11-21","24-244","ATL","","TOR","L (-16)","1","25:01","3","11",".273","2","8",".250","4","5",".800","0","0","0","3","1","1","1","1","12","7.5","-19",NA
"19","19","16","2018-11-23","24-246","ATL","","BOS","L (-18)","1","17:41","0","7",".000","0","4",".000","2","2","1.000","0","2","2","1","1","0","1","4","2","-3.2","-24",NA
"20","20","17","2018-11-25","24-248","ATL","","CHO","W (+1)","1","33:19","5","13",".385","3","8",".375","3","3","1.000","0","1","1","0","0","0","1","2","16","7.4","+2",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","18","2018-11-27","24-250","ATL","@","MIA","W (+2)","1","32:15","6","11",".545","3","6",".500","3","4",".750","1","4","5","1","0","1","2","4","18","12.0","+2",NA
"23","22","19","2018-11-28","24-251","ATL","@","CHO","L (-14)","1","20:56","5","8",".625","2","4",".500","0","0","","0","3","3","1","1","1","1","5","12","8.7","-5",NA
"24","23","20","2018-11-30","24-253","ATL","@","OKC","L (-15)","1","33:43","6","12",".500","2","5",".400","1","3",".333","0","3","3","2","2","1","3","1","15","9.8","-6",NA
"25","24","21","2018-12-03","24-256","ATL","","GSW","L (-17)","1","27:08","5","10",".500","3","6",".500","1","1","1.000","0","1","1","3","1","0","2","2","14","9.6","-9",NA
"26","25","","2018-12-05","24-258","ATL","","WAS","L (-14)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"27","26","","2018-12-08","24-261","ATL","","DEN","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"28","27","","2018-12-12","24-265","ATL","@","DAL","L (-7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"29","28","","2018-12-14","24-267","ATL","@","BOS","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"30","29","","2018-12-16","24-269","ATL","@","BRK","L (-17)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"31","30","","2018-12-18","24-271","ATL","","WAS","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"32","31","","2018-12-21","24-274","ATL","@","NYK","W (+7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"33","32","","2018-12-23","24-276","ATL","@","DET","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
