"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","26-166","IND","","MEM","W (+28)","1","25:47","6","11",".545","3","6",".500","1","2",".500","0","5","5","5","0","0","3","3","16","11.1","+9",NA
"2","2","2","2018-10-19","26-168","IND","@","MIL","L (-17)","1","31:41","10","23",".435","1","2",".500","4","6",".667","0","5","5","1","0","1","2","4","25","11.4","-24",NA
"3","3","3","2018-10-20","26-169","IND","","BRK","W (+20)","1","32:54","10","20",".500","3","6",".500","2","6",".333","1","6","7","3","4","0","3","1","25","18.6","+27",NA
"4","4","4","2018-10-22","26-171","IND","@","MIN","L (-10)","1","33:36","8","23",".348","2","7",".286","2","4",".500","1","6","7","3","0","1","3","1","20","8.2","-4",NA
"5","5","5","2018-10-24","26-173","IND","@","SAS","W (+20)","1","33:25","7","12",".583","3","6",".500","4","4","1.000","1","4","5","9","2","0","2","0","21","23.6","+25",NA
"6","6","6","2018-10-27","26-176","IND","@","CLE","W (+12)","1","36:41","10","15",".667","2","4",".500","2","6",".333","1","2","3","6","3","0","2","3","24","21.2","+16",NA
"7","7","7","2018-10-29","26-178","IND","","POR","L (-10)","1","36:00","9","24",".375","2","6",".333","1","1","1.000","0","9","9","7","1","0","1","3","21","14.2","+9",NA
"8","8","8","2018-10-31","26-180","IND","@","NYK","W (+6)","1","32:17","10","18",".556","3","9",".333","1","2",".500","0","6","6","1","2","1","3","3","24","16.0","+3",NA
"9","9","9","2018-11-02","26-182","IND","@","CHI","W (+2)","1","35:34","9","19",".474","1","6",".167","6","6","1.000","2","12","14","5","2","1","0","1","25","26.1","+5",NA
"10","10","10","2018-11-03","26-183","IND","","BOS","W (+1)","1","36:31","6","18",".333","4","13",".308","8","8","1.000","1","11","12","3","3","0","5","1","24","17.5","-3",NA
"11","11","11","2018-11-05","26-185","IND","","HOU","L (-4)","1","35:49","11","21",".524","4","11",".364","2","2","1.000","0","6","6","2","0","0","4","4","28","15.3","-4",NA
"12","12","12","2018-11-07","26-187","IND","","PHI","L (-6)","1","36:39","14","30",".467","4","14",".286","4","6",".667","0","6","6","7","2","3","1","1","36","29.2","-7",NA
"13","13","13","2018-11-09","26-189","IND","@","MIA","W (+8)","1","36:43","9","22",".409","1","5",".200","3","5",".600","0","5","5","10","4","0","1","3","22","19.7","+15",NA
"14","14","14","2018-11-11","26-191","IND","@","HOU","L (-12)","1","39:51","7","24",".292","3","10",".300","5","6",".833","1","9","10","7","2","0","3","4","22","13.3","-17",NA
"15","15","15","2018-11-16","26-196","IND","","MIA","W (+8)","1","29:31","3","12",".250","2","5",".400","0","0","","0","4","4","5","0","1","2","0","8","4.2","-13",NA
"16","16","16","2018-11-17","26-197","IND","","ATL","W (+8)","1","4:38","0","1",".000","0","0","","2","2","1.000","0","2","2","1","0","0","1","0","2","1.6","+2",NA
"17","17","","2018-11-19","26-199","IND","","UTA","W (+27)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"18","18","","2018-11-21","26-201","IND","@","CHO","L (-18)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"19","19","","2018-11-23","26-203","IND","","SAS","L (-11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"20","20","","2018-11-26","26-206","IND","@","UTA","W (+33)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","","2018-11-27","26-207","IND","@","PHO","W (+5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"23","22","","2018-11-29","26-209","IND","@","LAL","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"24","23","","2018-12-01","26-211","IND","@","SAC","L (-1)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"25","24","","2018-12-04","26-214","IND","","CHI","W (+6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"26","25","","2018-12-07","26-217","IND","@","ORL","W (+22)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"27","26","","2018-12-08","26-218","IND","","SAC","W (+10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"28","27","","2018-12-10","26-220","IND","","WAS","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"29","28","17","2018-12-12","26-222","IND","","MIL","W (+16)","1","29:09","5","11",".455","1","4",".250","1","2",".500","1","9","10","6","0","0","2","1","12","11.1","+7",NA
"30","29","18","2018-12-14","26-224","IND","@","PHI","W (+12)","1","31:00","5","16",".313","0","2",".000","4","4","1.000","0","1","1","9","3","0","1","2","14","12.6","+2",NA
"31","30","19","2018-12-16","26-226","IND","","NYK","W (+11)","1","35:46","7","13",".538","5","8",".625","7","8",".875","0","8","8","7","5","0","4","2","26","26.8","+7",NA
"32","31","20","2018-12-18","26-228","IND","","CLE","L (-1)","1","33:43","4","15",".267","1","6",".167","3","6",".500","0","5","5","5","1","2","3","2","12","5.5","+8",NA
"33","32","21","2018-12-19","26-229","IND","@","TOR","L (-3)","1","36:03","9","19",".474","0","2",".000","2","3",".667","0","2","2","4","0","0","6","0","20","7.3","-4",NA
"34","33","22","2018-12-21","26-231","IND","@","BRK","W (+8)","1","35:48","8","14",".571","5","9",".556","5","6",".833","2","7","9","6","2","0","1","3","26","26.5","+10",NA
"35","34","23","2018-12-23","26-233","IND","","WAS","W (+16)","1","36:13","4","13",".308","2","7",".286","2","2","1.000","0","6","6","9","3","0","3","2","12","11.8","+1",NA
"36","35","24","2018-12-26","26-236","IND","@","ATL","W (+8)","1","34:40","5","13",".385","2","6",".333","4","6",".667","1","6","7","7","1","0","3","2","16","12.7","+15",NA
"37","36","25","2018-12-28","26-238","IND","","DET","W (+37)","1","25:36","2","9",".222","0","2",".000","3","4",".750","0","5","5","7","2","0","2","1","7","7.1","+12",NA
"38","37","26","2018-12-31","26-241","IND","","ATL","W (+8)","1","33:47","9","19",".474","2","4",".500","2","2","1.000","0","4","4","7","4","0","1","2","22","20.6","+9",NA
"39","38","27","2019-01-04","26-245","IND","@","CHI","W (+3)","1","37:00","14","28",".500","4","13",".308","4","5",".800","0","7","7","4","3","1","2","2","36","27.4","-7",NA
"40","39","28","2019-01-06","26-247","IND","@","TOR","L (-16)","1","34:18","6","15",".400","0","4",".000","4","5",".800","1","1","2","3","0","0","2","3","16","7.4","-15",NA
"41","40","29","2019-01-08","26-249","IND","@","CLE","W (+8)","1","33:42","6","14",".429","1","4",".250","4","4","1.000","0","2","2","5","1","0","2","5","17","10.7","+16",NA
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","30","2019-01-09","26-250","IND","@","BOS","L (-27)","1","26:22","6","13",".462","3","7",".429","2","6",".333","1","2","3","0","1","0","0","2","17","10.2","-24",NA
"44","42","31","2019-01-11","26-252","IND","@","NYK","W (+15)","1","28:02","8","13",".615","3","5",".600","0","0","","1","3","4","6","1","0","5","0","19","14.9","+17",NA
"45","43","32","2019-01-15","26-256","IND","","PHO","W (+34)","1","29:53","2","11",".182","1","5",".200","3","5",".600","0","6","6","5","2","0","4","3","8","2.4","+23",NA
"46","44","33","2019-01-17","26-258","IND","","PHI","L (-24)","1","33:37","6","20",".300","3","6",".500","0","0","","2","0","2","7","0","0","3","1","15","6.3","-23",NA
"47","45","34","2019-01-19","26-260","IND","","DAL","W (+12)","1","32:10","4","15",".267","1","4",".250","3","4",".750","4","4","8","6","3","0","1","3","12","11.7","+10",NA
"48","46","35","2019-01-20","26-261","IND","","CHO","W (+25)","1","31:53","8","20",".400","2","7",".286","3","3","1.000","0","2","2","7","3","0","0","1","21","18.3","+21",NA
"49","47","36","2019-01-23","26-264","IND","","TOR","W (+4)","1","10:23","2","4",".500","0","1",".000","0","0","","0","3","3","1","0","0","1","3","4","1.4","+2",NA
"50","48","","2019-01-26","26-267","IND","@","MEM","L (-3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"51","49","","2019-01-28","26-269","IND","","GSW","L (-32)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
