"","Date","Start..ET.","Visitor.Neutral","PTS","Home.Neutral","PTS.1","Var.7","Var.8","Attend.","Notes"
"1","Fri, Feb 1, 2019","7:00p","Memphis Grizzlies",92,"Charlotte Hornets",100,"Box Score","","15,387",NA
"2","Fri, Feb 1, 2019","10:00p","Houston Rockets",122,"Denver Nuggets",136,"Box Score","","20,106",NA
"3","Fri, Feb 1, 2019","8:00p","Oklahoma City Thunder",118,"Miami Heat",102,"Box Score","","19,600",NA
"4","Fri, Feb 1, 2019","7:30p","Boston Celtics",113,"New York Knicks",99,"Box Score","","18,343",NA
"5","Fri, Feb 1, 2019","9:00p","Atlanta Hawks",112,"Utah Jazz",128,"Box Score","","18,306",NA
"6","Sat, Feb 2, 2019","7:00p","Chicago Bulls",118,"Charlotte Hornets",125,"Box Score","","19,114",NA
"7","Sat, Feb 2, 2019","7:30p","Dallas Mavericks",111,"Cleveland Cavaliers",98,"Box Score","","19,432",NA
"8","Sat, Feb 2, 2019","5:00p","Los Angeles Clippers",111,"Detroit Pistons",101,"Box Score","","17,862",NA
"9","Sat, Feb 2, 2019","8:30p","Los Angeles Lakers",101,"Golden State Warriors",115,"Box Score","","19,596",NA
"10","Sat, Feb 2, 2019","7:30p","Indiana Pacers",95,"Miami Heat",88,"Box Score","","19,600",NA
"11","Sat, Feb 2, 2019","9:00p","Denver Nuggets",107,"Minnesota Timberwolves",106,"Box Score","","17,208",NA
"12","Sat, Feb 2, 2019","7:00p","Brooklyn Nets",89,"Orlando Magic",102,"Box Score","","17,385",NA
"13","Sat, Feb 2, 2019","9:00p","Atlanta Hawks",118,"Phoenix Suns",112,"Box Score","","15,534",NA
"14","Sat, Feb 2, 2019","10:00p","Philadelphia 76ers",108,"Sacramento Kings",115,"Box Score","","17,583",NA
"15","Sat, Feb 2, 2019","8:30p","New Orleans Pelicans",108,"San Antonio Spurs",113,"Box Score","","18,354",NA
"16","Sat, Feb 2, 2019","9:00p","Houston Rockets",125,"Utah Jazz",98,"Box Score","","18,306",NA
"17","Sat, Feb 2, 2019","7:00p","Milwaukee Bucks",131,"Washington Wizards",115,"Box Score","","20,409",NA
"18","Sun, Feb 3, 2019","2:00p","Oklahoma City Thunder",129,"Boston Celtics",134,"Box Score","","18,624",NA
"19","Sun, Feb 3, 2019","1:00p","Memphis Grizzlies",96,"New York Knicks",84,"Box Score","","17,025",NA
"20","Sun, Feb 3, 2019","3:00p","Los Angeles Clippers",103,"Toronto Raptors",121,"Box Score","","19,800",NA
"21","Mon, Feb 4, 2019","7:30p","Milwaukee Bucks",113,"Brooklyn Nets",94,"Box Score","","16,209",NA
"22","Mon, Feb 4, 2019","7:00p","Denver Nuggets",103,"Detroit Pistons",129,"Box Score","","12,589",NA
"23","Mon, Feb 4, 2019","8:00p","Indiana Pacers",109,"New Orleans Pelicans",107,"Box Score","","15,780",NA
"24","Mon, Feb 4, 2019","9:00p","Houston Rockets",118,"Phoenix Suns",110,"Box Score","","15,740",NA
"25","Mon, Feb 4, 2019","10:00p","San Antonio Spurs",112,"Sacramento Kings",127,"Box Score","","16,245",NA
"26","Mon, Feb 4, 2019","7:00p","Atlanta Hawks",137,"Washington Wizards",129,"Box Score","","15,025",NA
"27","Tue, Feb 5, 2019","7:00p","Los Angeles Clippers",117,"Charlotte Hornets",115,"Box Score","","14,300",NA
"28","Tue, Feb 5, 2019","7:00p","Boston Celtics",103,"Cleveland Cavaliers",96,"Box Score","","19,432",NA
"29","Tue, Feb 5, 2019","7:00p","Los Angeles Lakers",94,"Indiana Pacers",136,"Box Score","","17,265",NA
"30","Tue, Feb 5, 2019","8:00p","Minnesota Timberwolves",106,"Memphis Grizzlies",108,"Box Score","","13,454",NA
"31","Tue, Feb 5, 2019","7:30p","Detroit Pistons",105,"New York Knicks",92,"Box Score","","17,853",NA
"32","Tue, Feb 5, 2019","8:00p","Orlando Magic",122,"Oklahoma City Thunder",132,"Box Score","","18,203",NA
"33","Tue, Feb 5, 2019","8:00p","Toronto Raptors",119,"Philadelphia 76ers",107,"Box Score","","20,472",NA
"34","Tue, Feb 5, 2019","10:30p","Miami Heat",118,"Portland Trail Blazers",108,"Box Score","","19,468",NA
"35","Wed, Feb 6, 2019","7:30p","Denver Nuggets",130,"Brooklyn Nets",135,"Box Score","","14,516",NA
"36","Wed, Feb 6, 2019","8:00p","New Orleans Pelicans",125,"Chicago Bulls",120,"Box Score","","18,116",NA
"37","Wed, Feb 6, 2019","8:30p","Charlotte Hornets",93,"Dallas Mavericks",99,"Box Score","","19,606",NA
"38","Wed, Feb 6, 2019","10:30p","San Antonio Spurs",102,"Golden State Warriors",141,"Box Score","","19,596",NA
"39","Wed, Feb 6, 2019","8:00p","Washington Wizards",129,"Milwaukee Bucks",148,"Box Score","","17,360",NA
"40","Wed, Feb 6, 2019","10:00p","Houston Rockets",127,"Sacramento Kings",101,"Box Score","","17,583",NA
"41","Wed, Feb 6, 2019","9:00p","Phoenix Suns",88,"Utah Jazz",116,"Box Score","","18,306",NA
"42","Thu, Feb 7, 2019","7:30p","Toronto Raptors",119,"Atlanta Hawks",101,"Box Score","","16,036",NA
"43","Thu, Feb 7, 2019","8:00p","Los Angeles Lakers",129,"Boston Celtics",128,"Box Score","","18,624",NA
"44","Thu, Feb 7, 2019","7:00p","Los Angeles Clippers",92,"Indiana Pacers",116,"Box Score","","15,756",NA
"45","Thu, Feb 7, 2019","8:00p","Memphis Grizzlies",95,"Oklahoma City Thunder",117,"Box Score","","18,203",NA
"46","Thu, Feb 7, 2019","7:00p","Minnesota Timberwolves",112,"Orlando Magic",122,"Box Score","","17,184",NA
"47","Thu, Feb 7, 2019","10:30p","San Antonio Spurs",118,"Portland Trail Blazers",127,"Box Score","","19,393",NA
"48","Fri, Feb 8, 2019","7:30p","Chicago Bulls",125,"Brooklyn Nets",106,"Box Score","","15,267",NA
"49","Fri, Feb 8, 2019","8:30p","Milwaukee Bucks",122,"Dallas Mavericks",107,"Box Score","","20,420",NA
"50","Fri, Feb 8, 2019","7:00p","New York Knicks",103,"Detroit Pistons",120,"Box Score","","14,430",NA
"51","Fri, Feb 8, 2019","9:30p","Minnesota Timberwolves",117,"New Orleans Pelicans",122,"Box Score","","16,980",NA
"52","Fri, Feb 8, 2019","7:00p","Denver Nuggets",110,"Philadelphia 76ers",117,"Box Score","","20,627",NA
"53","Fri, Feb 8, 2019","9:00p","Golden State Warriors",117,"Phoenix Suns",107,"Box Score","","17,081",NA
