"","Date","Start..ET.","Visitor.Neutral","PTS","Home.Neutral","PTS.1","Var.7","Var.8","Attend.","Notes"
"1","Fri, Mar 1, 2019","7:30p","Chicago Bulls",168,"Atlanta Hawks",161,"Box Score","4OT","15,267",NA
"2","Fri, Mar 1, 2019","8:00p","Washington Wizards",96,"Boston Celtics",107,"Box Score","","18,624",NA
"3","Fri, Mar 1, 2019","7:30p","Charlotte Hornets",123,"Brooklyn Nets",112,"Box Score","","15,578",NA
"4","Fri, Mar 1, 2019","10:30p","Milwaukee Bucks",131,"Los Angeles Lakers",120,"Box Score","","18,997",NA
"5","Fri, Mar 1, 2019","9:00p","New Orleans Pelicans",130,"Phoenix Suns",116,"Box Score","","14,123",NA
"6","Fri, Mar 1, 2019","10:00p","Los Angeles Clippers",116,"Sacramento Kings",109,"Box Score","","17,583",NA
"7","Fri, Mar 1, 2019","8:00p","Portland Trail Blazers",117,"Toronto Raptors",119,"Box Score","","19,800",NA
"8","Sat, Mar 2, 2019","5:00p","Detroit Pistons",129,"Cleveland Cavaliers",93,"Box Score","","19,432",NA
"9","Sat, Mar 2, 2019","8:30p","Memphis Grizzlies",111,"Dallas Mavericks",81,"Box Score","","20,233",NA
"10","Sat, Mar 2, 2019","9:00p","New Orleans Pelicans",120,"Denver Nuggets",112,"Box Score","","19,978",NA
"11","Sat, Mar 2, 2019","7:00p","Orlando Magic",117,"Indiana Pacers",112,"Box Score","","17,923",NA
"12","Sat, Mar 2, 2019","7:30p","Brooklyn Nets",88,"Miami Heat",117,"Box Score","","19,600",NA
"13","Sat, Mar 2, 2019","8:30p","Golden State Warriors",120,"Philadelphia 76ers",117,"Box Score","","20,624",NA
"14","Sat, Mar 2, 2019","9:00p","Los Angeles Lakers",109,"Phoenix Suns",118,"Box Score","","18,055",NA
"15","Sat, Mar 2, 2019","8:30p","Oklahoma City Thunder",102,"San Antonio Spurs",116,"Box Score","","18,439",NA
"16","Sat, Mar 2, 2019","9:00p","Milwaukee Bucks",111,"Utah Jazz",115,"Box Score","","18,306",NA
"17","Sun, Mar 3, 2019","3:30p","Houston Rockets",115,"Boston Celtics",104,"Box Score","","18,624",NA
"18","Sun, Mar 3, 2019","3:30p","Atlanta Hawks",123,"Chicago Bulls",118,"Box Score","","20,526",NA
"19","Sun, Mar 3, 2019","1:00p","Portland Trail Blazers",118,"Charlotte Hornets",108,"Box Score","","18,355",NA
"20","Sun, Mar 3, 2019","6:00p","Orlando Magic",93,"Cleveland Cavaliers",107,"Box Score","","19,432",NA
"21","Sun, Mar 3, 2019","6:00p","Toronto Raptors",107,"Detroit Pistons",112,"Box Score","OT","19,161",NA
"22","Sun, Mar 3, 2019","3:30p","New York Knicks",107,"Los Angeles Clippers",128,"Box Score","","19,068",NA
"23","Sun, Mar 3, 2019","7:00p","Memphis Grizzlies",95,"Oklahoma City Thunder",99,"Box Score","","18,203",NA
"24","Sun, Mar 3, 2019","6:00p","Minnesota Timberwolves",121,"Washington Wizards",135,"Box Score","","17,869",NA
"25","Mon, Mar 4, 2019","7:30p","Dallas Mavericks",88,"Brooklyn Nets",127,"Box Score","","17,064",NA
"26","Mon, Mar 4, 2019","10:30p","Los Angeles Clippers",113,"Los Angeles Lakers",105,"Box Score","","18,997",NA
"27","Mon, Mar 4, 2019","7:30p","Atlanta Hawks",113,"Miami Heat",114,"Box Score","","19,600",NA
"28","Mon, Mar 4, 2019","9:00p","Milwaukee Bucks",105,"Phoenix Suns",114,"Box Score","","18,055",NA
"29","Mon, Mar 4, 2019","10:00p","New York Knicks",108,"Sacramento Kings",115,"Box Score","","17,034",NA
"30","Mon, Mar 4, 2019","8:30p","Denver Nuggets",103,"San Antonio Spurs",104,"Box Score","","18,354",NA
"31","Mon, Mar 4, 2019","9:00p","New Orleans Pelicans",115,"Utah Jazz",112,"Box Score","","18,306",NA
"32","Tue, Mar 5, 2019","10:30p","Boston Celtics",128,"Golden State Warriors",95,"Box Score","","19,596",NA
"33","Tue, Mar 5, 2019","7:00p","Chicago Bulls",96,"Indiana Pacers",105,"Box Score","","15,753",NA
"34","Tue, Mar 5, 2019","8:00p","Portland Trail Blazers",111,"Memphis Grizzlies",120,"Box Score","","13,801",NA
"35","Tue, Mar 5, 2019","8:00p","Oklahoma City Thunder",120,"Minnesota Timberwolves",131,"Box Score","","15,728",NA
"36","Tue, Mar 5, 2019","7:00p","Orlando Magic",106,"Philadelphia 76ers",114,"Box Score","","20,379",NA
