,Fanduel
0,Stephen Curry
1,Kyrie Irving
2,Paul George
3,Damian Lillard
4,Kawhi Leonard
5,Nikola Vucevic
6,CJ McCollum
7,Maurice Harkless
8,Jaylen Brown
9,Jonathan Isaac
10,Thaddeus Young
11,Dennis Schroder
12,Pascal Siakam
13,Bojan Bogdanovic
14,Marcus Morris
15,Kyle Lowry
16,Jayson Tatum
17,Terry Rozier
18,Draymond Green
19,Enes Kanter
20,Danny Green
21,Al-Farouq Aminu
22,Domantas Sabonis
23,Gordon Hayward
24,Myles Turner
25,Wesley Matthews
26,Marc Gasol
27,Daniel Theis
28,Rodney Hood
29,Serge Ibaka
30,Seth Curry
31,Fred VanVleet
32,Evan Turner
33,Al Horford
34,Aron Baynes
35,Norman Powell
36,Wes Iwundu
37,James Harden
38,PJ Tucker
39,Jae Crowder
40,Royce O'Neale
41,Ricky Rubio
42,Chris Paul
43,Eric Gordon
44,Joe Ingles
45,Derrick Favors
46,Georges Niang
47,Donovan Mitchell
48,Kenneth Faried
49,Clint Capela
50,Danuel House
51,Rudy Gobert
52,Thabo Sefolosha
53,Gerald Green
54,Austin Rivers
55,LaMarcus Aldridge
56,Paul Millsap
57,Rudy Gay
58,Gary Harris
59,Will Barton
60,Derrick White
61,Jamal Murray
62,Nikola Jokic
63,JJ Redick
64,DeMar DeRozan
65,Torrey Craig
66,Monte Morris
67,Jakob Poeltl
68,Patty Mills
69,Bryn Forbes
70,Marco Belinelli
71,Malik Beasley
72,Davis Bertans
73,Mason Plumlee
74,James III
75,Tobias Harris
76,Ben Simmons
77,Jimmy Butler
78,T.J. McConnell
79,Boban Marjanovic
80,Joel Embiid
81,Greg Monroe
82,Furkan Korkmaz
83,Jonathon Simmons
84,Jonah Bolden
85,Amir Johnson
86,Lonnie IV
87,Giannis Antetokounmpo
88,Kevin Durant
89,Klay Thompson
90,Andre Iguodala
91,Andrew Bogut
92,Kevon Looney
93,Alfonzo McKinnie
94,Shaun Livingston
95,Quinn Cook
96,Zach Collins
97,Meyers Leonard
98,Eric Bledsoe
99,Brook Lopez
100,Ersan Ilyasova
101,Khris Middleton
102,Sterling Brown
103,Nikola Mirotic
104,George Hill
105,Pat Connaughton
106,D.J. Wilson
107,Tim Frazier
108,Mario Hezonja
109,Walter Jr.
110,Russell Westbrook
111,Delon Wright
112,John Collins
113,Trae Young
114,Justin Anderson
115,Bruno Caboclo
116,Jerami Grant
117,Ivan Rabb
118,Derrick Jr.
119,Tyler Dorsey
120,Marvin III
121,DeAndre' Bembry
122,Nemanja Bjelica
123,Shai Gilgeous-Alexander
124,Kent Bazemore
125,Taurean Prince
126,Justise Winslow
127,De'Aaron Fox
128,Danilo Gallinari
129,Buddy Hield
130,Alex Len
