,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Aaron Gordon,3.2,3.9,2.9,3.9,1.5,1.1,0.429,0.355,0.36200000000000004,0.645,0.40399999999999997,0.507
1,Aaron Holiday,1.4,1.5,2.1,0.0,0.0,0.2,0.423,0.379,0.33799999999999997,1.0,0.0,1.0
2,Abdel Nader,1.4,1.5,0.2,0.3,0.0,0.2,0.507,0.305,0.308,0.5710000000000001,0.0,0.429
3,Al Horford,1.1,5.8,0.6,4.1,2.0,1.5,0.56,0.444,0.45799999999999996,0.706,0.514,0.603
4,Al-Farouq Aminu,1.8,3.6,0.2,2.0,0.1,0.4,0.465,0.35100000000000003,0.171,0.619,0.429,0.45
5,Alan Williams,0.0,0.4,0.0,2.8,0.4,0.8,0.0,0.25,0.0,0.778,0.5,0.4
6,Alec Burks,2.8,2.0,1.6,0.9,0.2,0.1,0.396,0.42700000000000005,0.268,0.629,0.455,0.222
7,Alex Abrines,0.5,3.6,0.7,0.0,0.0,0.1,0.35700000000000004,0.314,0.5,0.0,0.0,0.5
8,Alex Caruso,3.2,1.6,2.0,0.8,0.0,0.4,0.377,0.406,0.38799999999999996,0.615,0.0,0.667
9,Alex Len,0.4,3.0,0.1,6.2,1.0,1.0,0.545,0.354,0.33299999999999996,0.583,0.54,0.5429999999999999
10,Alex Poythress,0.4,1.3,0.0,2.1,0.0,0.4,0.444,0.375,0.0,0.594,0.0,0.4
11,Alfonzo McKinnie,0.3,1.8,0.2,1.6,0.0,0.3,0.391,0.361,0.368,0.679,0.5,0.75
12,Alize Johnson,0.0,0.2,0.1,0.4,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.667,0.0,0.0
13,Allen Crabbe,0.7,6.4,1.2,0.2,0.0,0.2,0.293,0.38299999999999995,0.278,0.4,0.0,0.7140000000000001
14,Allonzo Trier,3.9,1.4,2.9,0.3,0.0,0.1,0.469,0.439,0.365,0.5,0.0,0.25
15,Amile Jefferson,0.2,0.0,0.0,1.3,0.0,0.3,0.33299999999999996,0.0,0.0,0.667,0.0,0.5
16,Amir Johnson,0.4,0.7,0.1,2.2,0.1,0.5,0.727,0.302,1.0,0.5920000000000001,0.429,0.524
17,Andre Drummond,0.9,0.4,0.2,12.1,2.4,1.7,0.431,0.292,0.182,0.575,0.41600000000000004,0.491
18,Andre Iguodala,0.5,2.0,0.4,1.4,0.0,0.3,0.478,0.326,0.3,0.887,0.2,0.727
19,Andre Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Andrew Bogut,0.4,0.0,0.0,2.6,0.2,0.4,1.0,0.0,0.0,0.5,0.5,0.4
21,Andrew Harrison,1.7,0.5,0.6,0.1,0.0,0.0,0.5,0.231,0.182,0.0,0.0,0.0
22,Andrew Wiggins,4.5,3.8,4.4,1.8,1.2,0.7,0.41100000000000003,0.349,0.325,0.55,0.402,0.556
23,Anfernee Simons,1.2,0.8,1.5,0.2,0.0,0.0,0.5,0.278,0.462,1.0,0.0,0.0
24,Angel Delgado,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,Ante Zizic,0.2,0.4,0.0,5.6,1.1,1.7,0.5379999999999999,0.406,0.125,0.59,0.406,0.521
26,Anthony Davis,3.1,3.7,2.7,9.9,3.8,2.4,0.485,0.395,0.332,0.703,0.41100000000000003,0.479
27,Anthony Tolliver,0.4,3.7,0.2,0.3,0.0,0.1,0.4,0.374,0.385,0.43799999999999994,0.25,0.2
28,Antonio Blakeney,3.1,1.5,2.6,0.2,0.0,0.1,0.466,0.4,0.342,0.5,0.0,0.8
29,Aron Baynes,0.0,1.6,0.0,3.1,0.3,0.8,0.0,0.35700000000000004,0.0,0.5429999999999999,0.545,0.536
30,Austin Rivers,3.1,2.6,1.7,0.1,0.0,0.0,0.48100000000000004,0.35600000000000004,0.28,0.5,0.0,1.0
31,Avery Bradley,1.2,3.7,3.5,1.1,0.0,0.2,0.35700000000000004,0.374,0.42700000000000005,0.541,0.0,0.353
32,BJ Johnson,0.6,1.3,0.9,0.0,0.0,0.3,1.0,0.375,0.6,0.0,0.0,0.5
33,Bam Adebayo,0.5,0.4,0.4,5.3,0.4,1.1,0.387,0.259,0.486,0.6809999999999999,0.39399999999999996,0.47100000000000003
34,Ben McLemore,0.1,2.1,1.1,0.2,0.0,0.1,0.33299999999999996,0.361,0.444,0.33299999999999996,0.0,1.0
35,Ben Simmons,5.2,0.0,0.5,4.9,2.0,1.1,0.517,0.16699999999999998,0.204,0.625,0.489,0.5479999999999999
36,Billy Garrett,4.0,0.0,2.5,0.0,0.0,0.0,0.636,0.0,0.385,0.0,0.0,0.0
37,Bismack Biyombo,0.1,0.3,0.1,3.5,0.1,0.8,1.0,0.389,0.8,0.612,0.5,0.545
38,Blake Griffin,6.3,3.4,4.8,2.4,3.6,0.8,0.5660000000000001,0.365,0.331,0.575,0.45,0.634
39,Boban Marjanovic,0.0,0.7,0.2,5.8,1.4,1.0,0.33299999999999996,0.462,0.385,0.682,0.5710000000000001,0.6579999999999999
40,Bobby Portis,1.5,5.2,1.0,3.4,1.7,1.1,0.392,0.385,0.364,0.518,0.436,0.469
41,Bogdan Bogdanovic,3.8,4.4,3.9,0.9,0.4,0.4,0.441,0.40399999999999997,0.358,0.54,0.45,0.765
42,Bojan Bogdanovic,5.0,5.2,3.0,1.9,0.6,1.0,0.517,0.455,0.387,0.657,0.462,0.6940000000000001
43,Bonzie Colson,0.3,1.5,0.6,1.0,0.3,0.3,1.0,0.25,0.28600000000000003,0.33299999999999996,0.0,0.0
44,Brad Wanamaker,0.8,0.8,1.1,0.1,0.0,0.0,0.37,0.385,0.4,1.0,0.0,0.0
