,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,27.7,18.7,15.3,32.0,6.3,5.3,43.8,23.2,32.7,70.7,69.2,37.5
1,Boston Celtics,20.3,31.8,18.3,20.8,6.5,6.0,42.9,39.1,34.0,62.7,78.6,50.0
2,Charlotte Hornets,30.8,20.8,44.5,13.5,2.8,5.3,52.1,36.7,51.3,44.0,45.5,33.3
3,Chicago Bulls,33.8,20.0,22.5,18.0,7.5,5.8,53.8,35.4,40.6,63.8,50.0,58.8
4,Cleveland Cavaliers,26.0,25.3,25.0,18.5,3.5,4.3,41.2,40.2,34.1,48.5,30.8,27.3
5,Dallas Mavericks,24.5,23.5,31.0,12.0,4.0,4.5,54.5,26.2,50.9,50.0,33.3,66.7
6,Denver Nuggets,27.5,26.5,24.5,28.5,9.5,9.5,50.0,38.8,46.9,72.7,53.8,61.5
7,Detroit Pistons,19.0,24.7,17.0,22.7,5.7,6.7,34.4,32.9,30.3,54.9,29.4,60.0
8,Golden State Warriors,15.5,23.5,45.5,16.5,6.0,7.5,63.2,36.5,55.4,78.9,42.9,54.5
9,Houston Rockets,32.5,33.0,34.0,12.5,4.0,3.0,56.5,34.9,38.8,55.0,100.0,75.0
10,Indiana Pacers,14.3,30.7,27.0,26.0,5.3,16.0,41.3,47.2,44.7,69.4,53.8,69.0
11,LA Clippers,29.5,28.5,31.0,20.0,4.0,13.5,44.0,45.5,45.2,55.9,36.4,71.4
12,Los Angeles Lakers,17.5,21.0,18.0,29.0,4.5,7.0,35.7,27.5,31.1,74.3,100.0,60.0
13,Memphis Grizzlies,24.0,26.0,18.5,29.0,10.5,6.5,51.1,37.3,37.8,65.1,58.8,28.6
14,Miami Heat,24.5,25.5,17.8,25.0,6.5,7.5,50.6,33.9,33.7,57.1,57.1,65.0
15,Milwaukee Bucks,30.5,35.8,24.8,16.8,4.8,6.0,57.5,38.3,46.7,63.0,66.7,61.1
16,Minnesota Timberwolves,16.5,23.5,21.0,19.5,12.5,5.5,38.2,39.0,38.0,68.2,60.0,41.7
17,New Orleans Pelicans,23.5,19.0,24.5,29.0,13.0,4.5,48.8,38.2,50.0,64.1,45.0,27.3
18,New York Knicks,20.3,15.8,31.3,20.8,6.0,4.3,41.9,26.3,41.8,67.3,61.1,38.9
19,Oklahoma City Thunder,23.0,24.5,23.5,26.0,2.5,10.5,41.7,37.0,31.1,62.2,28.6,63.6
20,Orlando Magic,22.0,30.3,16.7,21.0,8.0,10.7,53.3,38.4,28.2,63.0,52.4,65.2
21,Philadelphia 76ers,26.0,23.8,21.8,23.5,10.5,7.0,54.5,33.3,43.2,70.2,50.0,33.3
22,Phoenix Suns,19.5,18.0,23.0,25.5,6.0,4.0,33.3,36.8,29.2,75.0,60.0,40.0
23,Portland Trail Blazers,19.0,23.5,33.0,30.5,5.5,12.5,42.4,29.3,36.7,67.5,50.0,45.0
24,Sacramento Kings,17.0,28.5,23.0,30.0,10.0,11.0,37.5,45.7,37.5,69.0,63.6,52.9
25,San Antonio Spurs,27.5,21.5,25.5,16.0,9.5,2.0,55.3,26.3,34.8,40.6,50.0,25.0
26,Toronto Raptors,23.3,34.0,15.5,17.8,7.5,9.5,50.0,37.9,30.6,56.1,42.4,53.3
27,Utah Jazz,29.0,24.5,18.5,27.5,1.0,13.0,48.8,35.4,31.3,64.7,33.3,76.9
28,Washington Wizards,29.3,19.0,23.8,17.0,8.5,5.0,53.7,31.0,39.3,61.7,68.2,56.3
