,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,21.5,26.5,15.8,26.0,1.5,7.5,39.2,30.3,33.8,64.7,28.6,63.2
1,Brooklyn Nets,25.8,26.5,20.3,19.5,0.5,8.0,48.1,33.0,37.9,59.6,20.0,50.0
2,Charlotte Hornets,29.8,27.8,22.3,13.8,3.5,2.5,48.4,38.4,31.8,61.9,66.7,33.3
3,Chicago Bulls,25.3,23.0,14.0,14.7,4.7,8.0,46.0,32.5,32.1,71.4,36.4,64.7
4,Cleveland Cavaliers,28.8,21.5,17.0,19.3,6.3,5.5,46.7,33.3,33.0,56.9,61.1,71.4
5,Dallas Mavericks,17.0,31.0,16.5,21.5,8.5,4.5,42.9,32.3,30.2,72.0,70.0,66.7
6,Denver Nuggets,27.0,32.5,29.0,17.5,8.5,5.0,57.1,34.4,51.0,62.5,66.7,66.7
7,Detroit Pistons,17.3,21.8,17.3,25.5,7.8,5.3,44.8,26.3,46.0,59.1,46.2,57.1
8,Golden State Warriors,13.0,33.0,16.0,16.0,8.5,11.5,33.3,40.0,30.0,56.5,44.4,90.0
9,Houston Rockets,24.0,28.5,32.0,20.0,0.0,5.0,44.7,40.4,40.7,70.8,0.0,44.4
10,Indiana Pacers,17.5,28.5,18.5,24.3,7.8,7.3,38.3,39.6,34.8,61.2,48.0,46.2
11,LA Clippers,27.0,33.0,25.5,27.0,3.5,14.0,56.1,48.9,46.9,75.9,10.0,84.6
12,Los Angeles Lakers,20.5,37.5,13.0,28.0,5.5,11.0,52.9,42.6,30.6,63.9,37.5,68.8
13,Memphis Grizzlies,17.0,31.5,12.0,29.5,10.5,9.0,43.3,41.5,27.0,66.7,47.4,58.3
14,Miami Heat,19.0,34.3,13.0,23.3,1.0,6.8,40.0,38.5,31.0,69.4,11.1,63.2
15,Milwaukee Bucks,30.7,27.0,19.3,19.3,3.0,4.0,59.0,35.5,34.3,61.5,40.0,45.5
16,Minnesota Timberwolves,27.5,23.0,16.0,23.0,8.5,6.5,52.8,32.0,41.7,76.0,36.4,75.0
17,New Orleans Pelicans,12.0,31.0,12.0,24.0,9.5,6.0,33.3,37.9,35.5,72.0,47.1,44.4
18,New York Knicks,23.3,31.5,20.5,16.5,3.5,7.3,40.4,43.1,34.0,65.1,40.0,54.5
19,Oklahoma City Thunder,19.0,33.5,15.0,26.0,5.0,11.5,35.0,40.0,31.8,64.7,45.5,69.2
20,Orlando Magic,15.0,28.7,17.7,24.7,10.3,7.7,37.2,32.0,34.9,68.0,58.3,52.6
21,Philadelphia 76ers,19.8,27.3,17.8,20.0,12.5,8.8,59.6,32.5,31.7,51.0,47.2,65.0
22,Phoenix Suns,32.5,31.0,21.0,16.5,6.0,8.0,41.4,40.7,45.2,50.0,71.4,58.3
23,Portland Trail Blazers,12.0,22.0,19.0,26.0,5.0,5.5,33.3,29.4,33.3,69.7,44.4,33.3
24,Sacramento Kings,17.5,25.0,24.0,24.5,12.0,6.0,51.9,34.0,38.5,62.9,61.5,75.0
25,San Antonio Spurs,20.5,35.5,30.5,18.5,17.0,7.5,55.9,49.1,43.1,54.8,56.0,87.5
26,Toronto Raptors,24.5,34.5,17.3,17.8,8.8,8.5,44.8,41.5,33.3,62.5,45.9,78.9
27,Utah Jazz,22.5,25.0,21.0,27.0,1.0,6.0,52.6,34.7,44.7,85.2,100.0,66.7
28,Washington Wizards,26.0,33.0,14.3,20.3,1.3,6.0,58.0,35.0,28.6,62.8,28.6,57.1
