,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,26.8,23.5,22.3,25.3,3.5,3.3,50.0,32.0,39.8,68.8,60.0,55.6
1,Boston Celtics,25.3,41.8,17.0,22.8,5.8,8.0,60.3,50.8,30.7,62.3,45.0,75.0
2,Brooklyn Nets,31.3,27.8,26.3,18.5,0.8,6.0,53.0,38.0,40.9,66.7,50.0,58.8
3,Chicago Bulls,24.0,26.7,19.0,17.0,7.3,4.0,49.1,38.6,40.0,59.4,52.9,54.5
4,Cleveland Cavaliers,19.0,27.0,21.5,17.8,3.5,4.0,39.8,49.3,35.2,61.4,33.3,46.7
5,Dallas Mavericks,13.0,35.0,14.5,22.5,8.0,2.0,38.5,36.4,25.0,62.9,42.9,33.3
6,Denver Nuggets,16.0,25.5,17.5,33.0,14.0,8.5,39.3,27.0,36.6,60.5,41.7,100.0
7,Detroit Pistons,19.0,29.8,8.0,20.0,7.0,2.5,45.3,33.3,18.4,53.7,44.4,50.0
8,Golden State Warriors,13.5,47.0,19.5,25.5,7.0,11.5,44.0,49.3,42.1,73.3,58.3,75.0
9,Houston Rockets,21.5,35.0,17.0,25.0,3.0,5.0,36.6,42.9,29.5,62.5,50.0,50.0
10,Indiana Pacers,14.7,28.3,20.0,21.0,9.3,9.0,47.6,41.7,38.8,61.4,48.0,78.6
11,LA Clippers,20.5,35.5,25.5,24.5,8.0,6.5,41.7,53.3,41.2,66.7,43.8,50.0
12,Los Angeles Lakers,19.0,36.5,21.5,30.0,2.0,11.0,50.0,44.6,45.9,71.4,40.0,71.4
13,Memphis Grizzlies,19.0,28.5,9.5,26.0,10.5,6.0,51.9,36.2,22.9,58.1,53.8,36.4
14,Miami Heat,19.5,29.0,19.0,27.5,3.0,3.5,41.5,36.0,45.8,60.8,40.0,35.3
15,Milwaukee Bucks,30.5,33.8,11.0,16.0,9.5,5.5,55.4,35.7,29.3,53.2,72.7,90.0
16,Minnesota Timberwolves,23.0,36.0,14.0,17.0,14.0,5.5,46.7,49.1,30.2,63.2,57.9,55.6
17,New Orleans Pelicans,25.5,32.0,16.0,21.5,7.5,9.0,75.0,34.4,39.4,70.4,31.3,70.0
18,New York Knicks,24.0,27.7,29.7,15.3,4.0,3.0,45.3,39.4,43.8,60.0,50.0,50.0
19,Oklahoma City Thunder,26.5,26.5,16.0,19.0,5.5,10.5,51.3,31.0,30.0,53.8,50.0,88.9
20,Orlando Magic,22.0,28.0,21.0,25.5,5.5,7.3,49.3,34.5,37.5,68.7,50.0,57.1
21,Philadelphia 76ers,18.5,30.0,17.0,22.8,10.8,9.0,44.9,35.3,33.7,61.9,48.1,65.0
22,Phoenix Suns,32.0,24.0,23.5,17.0,9.5,8.0,54.3,38.6,37.0,59.1,50.0,60.0
23,Portland Trail Blazers,19.5,18.5,40.5,22.5,9.0,9.0,63.0,28.9,47.8,67.9,58.3,75.0
24,Sacramento Kings,18.0,32.5,19.0,19.0,7.0,5.0,40.5,37.7,34.0,57.6,50.0,55.6
25,San Antonio Spurs,17.5,25.0,28.0,21.0,10.5,6.5,34.3,34.7,38.2,70.4,50.0,62.5
26,Toronto Raptors,23.3,34.7,18.3,23.0,8.0,10.0,66.7,44.0,46.3,76.7,58.8,72.2
27,Utah Jazz,28.5,39.0,17.5,21.0,2.0,5.5,62.2,46.4,40.0,70.8,50.0,62.5
28,Washington Wizards,21.5,30.8,13.5,21.8,5.0,7.5,44.0,37.4,30.7,66.7,57.1,57.1
