,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,26.7,33.0,18.0,27.3,1.0,5.0,51.4,38.4,35.1,73.1,20.0,87.5
1,Boston Celtics,21.8,26.0,24.0,22.3,8.0,6.5,54.5,40.7,39.4,62.1,40.7,64.7
2,Brooklyn Nets,30.3,24.5,25.0,23.5,0.8,6.0,51.5,34.4,34.8,62.9,25.0,40.9
3,Charlotte Hornets,23.3,28.5,25.0,18.0,2.0,6.3,47.7,38.2,41.0,77.5,66.7,80.0
4,Chicago Bulls,25.8,28.0,17.0,12.0,5.5,8.0,47.6,45.3,37.5,53.8,47.6,60.0
5,Dallas Mavericks,31.0,36.5,17.5,14.5,4.0,3.0,65.0,40.3,31.7,65.0,40.0,75.0
6,Denver Nuggets,25.0,33.0,22.5,27.0,13.5,7.0,48.7,41.1,46.5,75.8,68.4,87.5
7,Detroit Pistons,24.3,33.0,22.5,21.3,7.0,4.5,57.1,40.4,42.4,53.0,46.2,58.3
8,Golden State Warriors,10.5,16.5,20.5,19.0,7.5,5.0,36.4,48.0,50.0,68.0,70.0,40.0
9,Houston Rockets,36.0,23.0,35.5,18.5,3.5,6.5,55.8,39.0,41.0,75.0,100.0,71.4
10,Indiana Pacers,19.5,24.8,15.3,19.8,9.8,14.0,61.8,41.1,36.7,64.8,56.7,68.4
11,LA Clippers,28.5,27.5,24.0,22.5,9.5,6.5,53.7,39.6,50.0,91.3,81.8,85.7
12,Los Angeles Lakers,27.0,20.5,14.5,15.5,4.5,5.5,52.3,29.2,31.7,70.0,42.9,50.0
13,Memphis Grizzlies,23.0,22.0,9.0,26.0,7.0,10.5,51.5,34.0,32.1,63.9,60.0,62.5
14,Miami Heat,26.3,30.3,17.5,27.5,2.0,4.3,46.5,46.1,41.9,68.6,33.3,58.3
15,Milwaukee Bucks,27.0,29.8,19.3,17.0,4.3,4.0,49.4,36.6,36.6,61.2,53.8,58.3
16,Minnesota Timberwolves,24.0,25.5,22.5,19.0,8.0,6.5,51.7,37.5,43.8,65.4,31.6,62.5
17,New Orleans Pelicans,20.0,33.5,13.5,35.5,5.0,4.0,59.3,46.9,37.9,77.4,50.0,44.4
18,New York Knicks,28.7,28.3,20.7,21.7,4.0,5.0,44.3,40.0,34.5,77.8,54.5,77.8
19,Oklahoma City Thunder,28.5,18.0,20.5,24.0,2.0,3.0,49.0,28.9,42.2,70.4,25.0,37.5
20,Orlando Magic,19.7,30.0,19.0,20.7,6.0,9.0,39.3,40.2,33.3,73.0,40.0,68.4
21,Philadelphia 76ers,19.3,27.0,18.7,24.3,5.0,8.0,57.1,35.9,48.1,60.0,38.5,66.7
22,Phoenix Suns,23.0,25.5,24.0,17.0,2.5,6.5,53.1,34.0,47.6,60.0,40.0,66.7
23,Portland Trail Blazers,20.0,32.0,32.0,13.5,10.5,3.0,48.5,50.0,44.6,70.6,47.4,25.0
24,Sacramento Kings,21.0,28.0,28.5,34.0,7.0,8.0,42.9,44.2,40.7,84.2,50.0,88.9
25,San Antonio Spurs,28.0,33.5,23.0,19.5,7.0,8.0,76.7,42.1,40.4,63.6,40.0,60.0
26,Toronto Raptors,35.0,23.3,22.5,14.3,3.8,6.0,65.1,31.1,47.0,55.6,33.3,50.0
27,Utah Jazz,29.0,32.0,16.5,27.0,1.5,7.0,67.6,36.7,46.4,66.7,100.0,33.3
28,Washington Wizards,20.0,36.8,18.5,24.3,2.5,7.8,50.8,37.2,42.0,74.1,20.0,65.0
