,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,29.5,30.0,21.0,21.0,2.0,4.5,40.0,38.5,40.0,60.6,28.6,75.0
1,Boston Celtics,15.0,39.0,25.5,16.0,5.0,3.5,41.9,40.9,41.5,57.1,45.5,100.0
2,Brooklyn Nets,33.5,31.5,26.0,21.5,1.5,5.0,62.5,38.9,39.6,77.8,100.0,57.1
3,Charlotte Hornets,24.0,18.5,16.0,17.5,4.0,7.0,51.2,21.7,34.1,62.5,44.4,41.7
4,Chicago Bulls,25.0,24.0,26.5,11.0,3.0,3.0,51.5,34.7,38.3,71.4,16.7,42.9
5,Cleveland Cavaliers,25.5,17.5,19.0,24.0,11.5,3.5,37.8,37.5,30.0,64.5,43.8,60.0
6,Denver Nuggets,21.3,29.7,21.7,26.7,9.7,5.3,51.9,39.7,38.2,58.6,44.0,50.0
7,Detroit Pistons,16.0,30.0,4.5,24.0,14.0,2.0,38.1,33.9,13.8,59.5,52.4,33.3
8,Golden State Warriors,18.3,35.8,25.5,14.5,8.3,7.0,54.9,37.3,37.7,55.3,55.6,50.0
9,Houston Rockets,19.8,29.8,23.5,18.3,1.0,7.3,56.7,36.4,27.3,69.8,40.0,81.3
10,Indiana Pacers,18.0,26.5,17.5,22.5,8.0,8.0,44.0,40.4,32.7,82.6,53.3,80.0
11,LA Clippers,26.3,28.0,20.0,18.8,5.0,7.3,45.3,35.8,37.1,61.5,39.1,68.8
12,Los Angeles Lakers,22.7,19.7,20.0,18.3,2.7,7.7,44.8,32.8,34.2,54.8,14.3,75.0
13,Memphis Grizzlies,20.0,42.5,13.3,16.3,7.0,9.0,42.5,46.2,28.8,57.8,52.4,75.0
14,Miami Heat,29.5,28.5,16.0,23.0,5.5,3.0,58.1,42.0,35.0,65.6,83.3,33.3
15,Milwaukee Bucks,40.5,22.0,15.0,13.5,9.0,9.5,64.8,34.1,29.7,54.5,53.3,64.3
16,Minnesota Timberwolves,25.7,30.3,23.0,16.3,16.7,6.3,42.3,45.8,41.1,64.7,63.6,42.9
17,New Orleans Pelicans,24.8,31.8,16.5,22.3,17.0,12.8,49.3,40.9,33.7,65.0,56.6,66.7
18,New York Knicks,33.0,16.0,25.5,19.5,3.0,1.0,63.2,22.4,45.3,75.0,40.0,16.7
19,Oklahoma City Thunder,18.5,20.0,24.8,23.8,8.0,6.5,39.7,24.0,38.4,68.3,58.3,58.8
20,Orlando Magic,20.5,31.0,20.0,17.5,7.0,8.0,54.8,38.3,36.2,45.5,36.8,54.5
21,Philadelphia 76ers,25.0,16.5,16.5,30.0,5.0,12.0,52.6,23.1,36.6,57.9,23.5,53.3
22,Phoenix Suns,24.8,27.8,25.0,14.5,5.0,4.0,49.4,40.9,37.7,46.0,36.4,42.9
23,Portland Trail Blazers,23.5,19.3,29.0,18.3,6.5,8.0,46.9,32.9,41.7,64.2,54.2,68.2
24,Sacramento Kings,28.7,27.3,18.0,28.3,9.0,10.3,50.0,43.8,33.8,73.5,41.7,76.5
25,San Antonio Spurs,18.5,31.3,29.3,16.5,13.5,5.0,44.6,43.0,42.4,64.3,53.8,56.3
26,Toronto Raptors,22.0,35.0,21.0,15.0,13.5,4.5,35.3,47.2,36.2,59.1,60.0,28.6
27,Utah Jazz,24.5,25.5,19.3,26.3,2.0,3.8,45.1,32.4,40.5,71.7,66.7,42.9
28,Washington Wizards,20.5,34.0,18.5,16.0,5.5,2.0,47.4,38.7,41.5,61.9,38.5,50.0
