,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,17.0,35.0,5.0,21.0,3.5,6.0,36.1,34.3,13.8,57.1,50.0,62.5
1,Boston Celtics,24.0,27.5,26.0,17.0,7.5,5.0,55.0,34.5,43.4,70.0,50.0,45.5
2,Brooklyn Nets,32.5,37.0,20.5,14.0,1.5,3.0,48.0,46.3,40.5,56.5,100.0,22.2
3,Charlotte Hornets,32.5,31.5,17.5,17.0,1.0,4.0,46.5,44.0,35.7,48.1,50.0,37.5
4,Chicago Bulls,14.5,37.0,16.0,15.5,6.5,7.5,37.1,42.2,34.2,46.7,63.6,46.2
5,Cleveland Cavaliers,22.0,18.5,14.0,24.5,4.5,6.0,50.0,33.3,28.9,60.6,28.6,66.7
6,Dallas Mavericks,26.0,24.0,25.0,15.7,3.0,3.0,56.4,29.8,39.5,56.3,14.3,50.0
7,Detroit Pistons,24.0,30.0,20.5,23.0,1.0,2.0,47.8,35.1,32.7,50.0,16.7,50.0
8,Golden State Warriors,11.8,36.3,30.5,21.3,6.0,10.5,53.8,45.7,45.1,71.2,50.0,70.8
9,Houston Rockets,22.5,29.3,25.3,21.8,3.8,9.0,57.1,43.0,37.1,70.9,66.7,69.6
10,Indiana Pacers,23.0,23.5,13.5,22.0,7.5,10.0,60.7,43.9,30.8,65.6,50.0,69.2
11,LA Clippers,22.8,18.8,15.0,24.8,6.5,5.8,44.3,28.3,33.8,67.2,44.0,58.8
12,Los Angeles Lakers,22.0,17.0,14.3,20.3,6.0,5.3,58.3,25.0,29.5,60.0,50.0,50.0
13,Memphis Grizzlies,20.0,25.3,12.0,16.7,4.7,9.0,45.5,37.8,35.7,54.1,50.0,47.6
14,Miami Heat,22.0,21.0,12.5,23.0,6.0,3.5,50.0,23.7,36.7,74.1,37.5,50.0
15,Milwaukee Bucks,28.5,30.0,24.0,13.5,4.5,1.5,58.5,36.8,54.3,56.5,40.0,0.0
16,Minnesota Timberwolves,21.8,33.8,13.8,12.3,9.0,7.3,51.6,38.1,31.3,50.0,59.3,70.6
17,New Orleans Pelicans,22.5,31.0,13.5,27.3,6.0,10.5,50.0,46.2,28.6,67.1,36.4,61.3
18,New York Knicks,20.5,33.5,14.5,14.0,2.0,8.0,41.9,41.4,31.8,54.5,16.7,85.7
19,Oklahoma City Thunder,25.8,19.0,15.0,20.0,6.5,8.8,51.9,27.4,28.4,59.7,54.5,61.5
20,Orlando Magic,18.0,47.0,12.0,13.0,5.0,8.0,52.0,42.7,33.3,54.2,35.7,53.8
21,Philadelphia 76ers,18.5,33.0,18.0,22.0,7.0,6.5,46.7,45.1,37.2,56.7,62.5,38.5
22,Phoenix Suns,23.3,24.3,14.0,23.8,2.5,8.5,42.5,32.4,30.0,70.7,16.7,57.1
23,Portland Trail Blazers,27.0,20.0,21.3,24.5,11.8,5.8,55.3,32.5,43.0,58.6,64.3,57.1
24,Sacramento Kings,22.3,22.3,28.7,22.3,8.7,8.0,58.0,36.5,40.7,64.3,52.9,50.0
25,San Antonio Spurs,18.8,20.8,20.5,18.5,10.5,6.0,47.5,32.6,34.2,63.0,44.4,61.1
26,Toronto Raptors,24.5,27.5,18.5,15.5,3.0,6.0,54.1,31.7,39.5,62.5,33.3,62.5
27,Utah Jazz,26.3,30.8,16.0,21.0,0.0,6.3,55.2,36.2,35.6,59.6,0.0,58.8
28,Washington Wizards,20.5,20.0,9.0,24.0,3.5,8.5,34.9,31.1,20.0,79.3,66.7,75.0
