,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,24.3,25.0,16.7,20.0,1.3,6.7,48.1,37.7,31.3,50.9,100.0,64.3
1,Boston Celtics,24.3,30.8,17.3,18.8,2.0,6.0,49.4,36.2,31.9,68.8,44.4,52.6
2,Brooklyn Nets,38.0,19.0,16.3,19.3,0.7,6.0,54.1,28.4,35.7,68.4,33.3,80.0
3,Charlotte Hornets,27.8,22.3,21.8,13.0,2.8,4.8,39.4,38.0,42.0,51.2,50.0,41.7
4,Chicago Bulls,33.5,17.0,23.0,16.0,6.0,6.3,52.9,32.1,50.0,56.3,47.6,58.8
5,Cleveland Cavaliers,27.3,18.5,28.0,12.3,1.0,8.8,46.5,33.3,46.5,57.9,0.0,50.0
6,Dallas Mavericks,23.0,24.5,17.0,17.0,6.0,2.0,35.4,32.7,34.1,66.7,62.5,33.3
7,Denver Nuggets,26.0,24.5,24.5,15.5,5.5,4.5,42.2,36.0,47.9,70.0,38.5,40.0
8,Golden State Warriors,21.0,28.5,30.0,14.5,7.0,11.0,66.7,43.1,51.9,60.0,60.0,58.8
9,Houston Rockets,30.0,16.5,26.0,27.5,4.0,2.5,48.1,30.6,39.2,68.6,40.0,33.3
10,Indiana Pacers,21.5,27.0,13.3,19.5,6.5,13.5,47.4,42.4,33.8,65.4,66.7,61.1
11,LA Clippers,29.5,23.5,19.0,18.5,2.0,5.0,44.7,51.6,34.7,60.0,33.3,45.5
12,Los Angeles Lakers,26.5,21.5,9.5,24.0,2.5,14.5,56.1,32.0,36.4,63.6,40.0,77.8
13,Memphis Grizzlies,23.0,21.0,9.0,26.0,6.5,2.0,43.2,34.9,30.8,64.5,44.4,16.7
14,Miami Heat,22.3,27.3,15.8,20.3,3.8,5.5,40.9,37.8,37.7,64.6,43.8,56.3
15,Milwaukee Bucks,27.5,30.3,14.8,15.0,3.3,7.3,61.8,38.7,37.1,64.3,66.7,76.5
16,Minnesota Timberwolves,23.5,33.5,16.0,21.0,12.0,11.5,43.9,44.4,31.3,61.5,45.5,81.8
17,New Orleans Pelicans,25.5,23.0,11.0,24.5,8.0,8.0,52.4,34.8,26.5,75.9,80.0,46.2
18,New York Knicks,25.3,19.0,23.5,20.3,0.8,4.3,37.1,29.7,40.2,67.3,33.3,53.8
19,Oklahoma City Thunder,25.0,26.5,18.0,28.5,4.0,8.5,45.5,40.4,30.2,70.3,44.4,72.7
20,Orlando Magic,27.8,24.8,17.8,20.0,2.5,7.0,53.5,32.5,34.1,62.3,41.7,52.0
21,Philadelphia 76ers,21.8,31.8,18.0,17.0,10.0,8.5,52.2,33.6,38.6,57.4,57.9,68.2
22,Phoenix Suns,20.0,21.0,19.5,22.0,3.0,7.5,53.1,41.0,37.0,70.4,28.6,54.5
23,Portland Trail Blazers,22.0,11.5,20.0,24.5,2.0,6.0,50.0,22.2,36.4,60.5,22.2,54.5
24,Sacramento Kings,16.5,25.0,22.5,27.0,4.0,15.5,37.1,42.2,41.3,63.9,18.2,77.8
25,San Antonio Spurs,20.5,13.0,12.5,9.5,4.0,4.0,73.9,40.0,50.0,75.0,60.0,100.0
26,Toronto Raptors,25.0,26.3,23.0,16.3,7.3,4.0,50.0,33.8,40.8,59.4,45.0,30.8
27,Utah Jazz,28.0,21.0,15.5,24.5,0.0,5.0,47.8,33.3,34.2,61.3,0.0,50.0
28,Washington Wizards,20.0,25.3,20.3,13.0,4.7,6.7,48.1,32.9,38.6,64.0,55.6,41.2
