,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,25.0,17.5,18.0,22.5,6.0,9.0,48.8,27.3,36.6,64.5,55.6,58.3
1,Boston Celtics,22.5,42.0,23.5,22.0,4.0,10.5,46.3,46.9,33.3,66.7,33.3,75.0
2,Brooklyn Nets,31.0,30.5,19.0,13.5,2.0,3.0,44.9,42.0,37.5,75.0,20.0,42.9
3,Charlotte Hornets,32.5,16.5,17.0,16.5,5.0,8.0,45.8,26.1,33.3,48.0,50.0,80.0
4,Chicago Bulls,35.5,23.0,21.0,12.5,3.0,2.0,47.1,37.0,41.5,66.7,25.0,100.0
5,Cleveland Cavaliers,25.5,9.5,13.0,25.0,5.0,5.5,41.7,31.8,35.7,72.0,40.0,66.7
6,Dallas Mavericks,21.3,28.5,28.8,19.3,8.5,4.8,50.8,35.1,44.9,60.8,50.0,35.3
7,Denver Nuggets,21.5,27.3,14.5,19.3,8.0,7.0,40.3,34.2,27.8,52.5,42.3,47.6
8,Detroit Pistons,20.5,24.0,24.0,19.0,6.0,4.0,39.5,36.4,38.5,59.3,33.3,80.0
9,Houston Rockets,26.8,30.5,24.0,18.8,3.0,5.3,50.0,45.2,28.9,62.3,50.0,66.7
10,Indiana Pacers,21.0,29.5,14.5,19.0,3.5,6.0,45.7,40.7,29.5,46.3,25.0,37.5
11,LA Clippers,34.0,17.8,25.5,20.0,6.8,3.8,43.8,36.9,44.0,57.9,44.0,35.0
12,Los Angeles Lakers,27.5,21.0,21.3,24.8,5.3,9.3,46.9,33.7,35.5,71.4,80.0,51.9
13,Memphis Grizzlies,20.3,28.8,22.5,19.3,9.8,9.0,48.4,39.3,38.1,51.5,46.9,50.0
14,Miami Heat,18.5,39.0,28.0,25.5,1.5,3.0,43.8,40.9,44.9,57.9,50.0,60.0
15,Milwaukee Bucks,42.5,20.5,11.5,24.5,0.0,1.0,64.7,24.1,25.6,61.1,0.0,33.3
16,Minnesota Timberwolves,22.8,30.3,16.5,19.5,11.3,7.0,45.3,33.1,29.6,70.5,50.0,53.3
17,New Orleans Pelicans,21.3,33.0,17.7,24.7,9.3,6.3,42.1,39.5,35.5,71.7,38.5,60.0
18,New York Knicks,25.5,19.0,24.5,16.5,3.5,3.0,37.5,23.2,46.7,64.0,25.0,75.0
19,Oklahoma City Thunder,19.3,30.7,15.3,20.7,5.0,4.0,34.4,33.3,26.7,57.1,33.3,33.3
20,Orlando Magic,20.0,27.5,20.5,13.5,10.5,4.5,40.9,35.2,37.0,68.4,57.1,28.6
21,Philadelphia 76ers,19.5,40.0,12.0,22.0,10.5,4.0,39.4,44.4,24.4,75.0,54.5,25.0
22,Phoenix Suns,24.8,20.8,15.8,27.3,10.3,8.8,45.6,27.8,33.3,60.5,54.8,52.0
23,Portland Trail Blazers,19.0,20.5,30.3,20.5,7.0,8.8,41.0,29.5,43.5,50.0,46.2,57.7
24,Sacramento Kings,23.0,34.8,24.3,21.0,5.5,5.3,42.7,44.9,36.5,52.5,39.1,31.6
25,San Antonio Spurs,19.7,25.7,29.7,18.7,11.0,3.3,38.6,37.0,41.7,70.6,57.1,42.9
26,Toronto Raptors,29.5,31.0,24.0,23.5,7.5,12.0,56.4,39.3,42.9,64.3,63.6,61.1
27,Utah Jazz,19.7,32.0,19.7,28.7,1.3,5.3,39.7,38.8,35.5,67.3,0.0,53.8
28,Washington Wizards,29.5,32.5,24.0,16.0,6.0,4.5,46.8,36.5,39.2,65.0,71.4,42.9
