,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,18.0,33.5,18.5,22.5,5.0,4.5,40.6,40.4,39.4,65.5,55.6,28.6
1,Boston Celtics,29.0,30.0,12.0,19.5,7.5,4.0,56.4,42.9,28.9,69.6,62.5,50.0
2,Brooklyn Nets,35.5,33.0,20.5,22.0,1.0,6.5,48.4,47.8,39.0,70.0,33.3,85.7
3,Charlotte Hornets,29.0,33.5,21.5,13.0,2.5,2.0,44.7,41.8,37.5,68.8,100.0,20.0
4,Chicago Bulls,25.5,18.5,14.5,11.5,5.0,6.5,51.4,26.5,38.2,42.9,30.8,42.9
5,Cleveland Cavaliers,38.5,15.0,27.0,17.5,6.0,5.0,54.9,25.6,52.2,50.0,55.6,66.7
6,Dallas Mavericks,25.0,28.8,19.0,17.0,8.0,2.5,53.6,42.4,38.8,62.5,57.1,44.4
7,Denver Nuggets,20.3,25.8,16.3,18.8,10.0,11.8,54.8,36.0,41.7,57.4,34.2,63.6
8,Detroit Pistons,24.0,22.0,19.5,24.5,11.0,1.0,47.4,33.3,38.5,51.4,47.1,25.0
9,Golden State Warriors,18.5,29.8,21.8,20.8,8.3,7.5,54.1,39.4,35.2,72.5,46.7,59.1
10,Indiana Pacers,20.5,23.5,13.0,15.5,12.0,6.0,41.4,42.5,26.3,61.9,61.5,83.3
11,LA Clippers,27.3,15.3,19.7,26.3,13.0,4.7,52.5,28.1,41.4,76.2,51.6,54.5
12,Los Angeles Lakers,26.5,22.3,16.3,26.0,8.5,5.5,52.6,29.0,36.8,74.1,55.6,75.0
13,Memphis Grizzlies,23.5,25.3,9.5,23.3,13.0,6.8,58.3,36.7,29.3,57.4,46.3,71.4
14,Miami Heat,22.0,38.0,9.0,21.5,6.5,4.5,43.9,47.4,20.0,58.6,50.0,42.9
15,Milwaukee Bucks,29.5,24.0,17.0,17.0,6.5,5.0,52.1,32.0,31.1,62.5,55.6,57.1
16,Minnesota Timberwolves,23.3,28.7,12.3,20.3,17.3,5.0,53.7,41.9,30.0,53.3,48.8,66.7
17,New Orleans Pelicans,21.5,24.3,13.5,33.5,9.5,10.3,49.4,37.0,27.9,69.0,45.7,64.3
18,New York Knicks,25.5,16.0,18.5,23.5,4.0,2.5,53.7,25.0,35.7,78.6,33.3,50.0
19,Oklahoma City Thunder,26.8,26.0,19.8,19.3,9.3,6.5,54.1,31.3,36.4,57.4,46.9,64.7
20,Orlando Magic,16.5,28.0,18.5,25.5,9.5,4.5,38.9,36.2,37.2,64.7,36.4,57.1
21,Philadelphia 76ers,27.5,18.0,19.5,25.0,9.5,13.5,45.1,28.3,38.8,54.5,47.1,76.9
22,Phoenix Suns,25.0,21.3,14.3,26.0,5.7,12.3,54.5,32.9,35.3,63.5,53.8,88.2
23,Portland Trail Blazers,22.3,20.7,19.7,26.3,7.7,5.7,40.7,34.4,39.4,67.3,37.5,41.2
24,Sacramento Kings,24.3,27.5,17.5,25.8,9.5,3.5,50.0,44.4,27.5,54.9,37.5,38.5
25,San Antonio Spurs,27.0,21.3,25.0,18.3,14.3,3.3,53.8,39.0,40.4,61.5,41.7,45.5
26,Toronto Raptors,27.0,29.5,17.0,10.0,8.0,2.0,53.2,39.6,30.4,62.5,53.3,66.7
27,Utah Jazz,23.5,23.8,9.5,22.0,0.5,3.8,45.3,32.3,21.4,64.4,25.0,50.0
28,Washington Wizards,38.5,26.5,19.0,20.5,5.5,2.0,58.7,35.8,48.5,79.2,55.6,50.0
