,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,28.5,28.0,18.0,32.5,5.5,7.0,47.7,35.7,31.3,69.2,80.0,66.7
1,Boston Celtics,23.0,28.5,26.0,21.5,8.0,5.5,50.0,35.0,42.3,56.3,53.8,57.1
2,Brooklyn Nets,26.0,28.5,18.0,21.0,0.0,6.0,33.9,50.0,30.4,63.3,0.0,62.5
3,Charlotte Hornets,34.0,27.0,28.5,17.0,1.0,5.0,46.4,35.8,40.4,73.3,0.0,50.0
4,Chicago Bulls,28.5,25.0,19.5,17.5,4.0,8.5,41.2,40.5,34.7,58.3,44.4,63.6
5,Cleveland Cavaliers,38.0,15.0,26.5,16.5,8.0,2.5,60.4,29.7,41.8,43.3,41.2,20.0
6,Dallas Mavericks,21.8,24.3,20.3,25.3,5.0,4.8,39.7,39.3,36.1,71.7,43.8,57.1
7,Denver Nuggets,26.0,23.3,22.8,23.3,8.5,6.5,43.0,33.7,44.4,69.5,44.0,54.5
8,Detroit Pistons,14.5,35.5,23.0,12.5,7.0,0.0,32.4,42.9,36.7,47.6,40.0,0.0
9,Golden State Warriors,17.3,31.8,28.0,18.0,7.0,7.3,53.3,34.3,48.5,59.6,47.8,65.0
10,Houston Rockets,25.0,28.0,27.3,24.0,2.3,6.0,41.9,41.2,40.3,62.7,37.5,56.3
11,Indiana Pacers,29.0,29.5,15.5,22.5,8.0,16.0,65.0,42.3,35.7,76.9,77.8,77.8
12,Los Angeles Lakers,25.5,25.3,21.3,18.0,5.8,11.0,51.3,34.6,35.8,49.2,42.9,55.6
13,Memphis Grizzlies,26.3,20.5,17.3,20.8,4.3,8.8,43.9,27.0,32.6,62.3,46.2,50.0
14,Miami Heat,23.0,19.5,18.0,28.0,2.0,4.0,40.5,25.0,35.9,72.2,33.3,75.0
15,Milwaukee Bucks,31.5,33.5,24.5,23.5,5.0,9.5,57.1,39.0,42.2,60.6,41.7,56.3
16,Minnesota Timberwolves,23.7,22.3,11.0,27.7,11.7,5.7,37.1,40.0,22.9,75.0,66.7,77.8
17,New Orleans Pelicans,28.3,23.7,15.3,24.0,12.7,8.0,44.3,39.1,25.3,67.3,36.1,84.6
18,New York Knicks,19.5,23.0,23.0,23.0,5.5,4.0,35.6,34.8,35.7,78.9,83.3,50.0
19,Oklahoma City Thunder,25.5,18.8,26.3,21.5,8.8,9.8,44.6,30.0,37.8,58.2,57.7,53.3
20,Orlando Magic,17.5,24.0,19.5,20.0,4.0,10.5,38.2,31.1,35.3,70.8,33.3,52.9
21,Philadelphia 76ers,14.5,30.5,22.0,24.0,11.0,7.0,32.3,42.9,38.0,67.9,58.8,38.5
22,Phoenix Suns,28.3,20.0,22.5,23.8,5.5,9.3,45.2,31.9,44.8,76.4,50.0,65.2
23,Portland Trail Blazers,21.0,19.5,29.0,26.0,6.8,5.8,42.5,31.8,42.7,67.2,46.2,46.7
24,Sacramento Kings,20.5,21.0,18.3,29.5,8.0,9.8,38.3,29.1,35.9,66.2,48.0,51.7
25,San Antonio Spurs,24.8,25.0,28.3,18.3,14.0,2.0,49.4,41.8,38.0,62.2,49.0,44.4
26,Toronto Raptors,19.5,41.5,12.0,17.5,11.5,13.0,48.6,53.4,23.9,51.9,53.3,61.1
27,Utah Jazz,40.7,26.3,25.0,27.0,0.0,8.0,44.3,38.4,40.3,72.1,0.0,41.2
28,Washington Wizards,27.0,23.0,16.0,27.0,3.5,5.0,42.0,26.7,29.2,65.5,60.0,50.0
