,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,23.0,35.0,18.5,23.0,5.0,7.0,38.0,38.1,34.9,59.4,50.0,71.4
1,Boston Celtics,14.0,44.5,28.5,19.0,17.0,10.0,35.7,45.8,45.5,65.4,71.4,83.3
2,Brooklyn Nets,31.0,32.5,21.5,17.5,1.0,8.5,45.8,41.5,39.5,51.6,100.0,70.0
3,Charlotte Hornets,26.5,24.5,28.5,16.0,5.0,6.5,52.4,39.5,39.7,51.9,71.4,55.6
4,Chicago Bulls,22.5,27.0,13.0,22.5,7.0,4.0,41.0,32.7,35.3,66.7,50.0,57.1
5,Cleveland Cavaliers,28.0,25.0,25.0,14.0,0.0,5.0,46.8,40.9,36.7,58.3,0.0,35.7
6,Dallas Mavericks,24.3,21.0,22.0,25.7,2.7,8.3,44.1,30.4,35.0,75.0,50.0,64.3
7,Denver Nuggets,24.3,26.3,17.0,24.7,9.3,4.7,47.8,35.4,34.3,68.0,50.0,55.6
8,Detroit Pistons,16.5,35.5,23.0,18.0,1.0,4.5,42.9,39.3,39.6,58.3,0.0,66.7
9,Golden State Warriors,16.8,35.5,19.0,22.3,2.3,5.8,40.4,37.9,32.3,65.6,33.3,55.6
10,Houston Rockets,31.3,25.8,32.8,17.0,1.0,7.8,48.0,34.0,42.1,60.0,40.0,66.7
11,Indiana Pacers,17.5,45.0,14.5,25.5,9.0,9.5,42.9,52.5,38.2,59.0,42.9,57.1
12,LA Clippers,23.3,29.5,17.8,24.3,7.8,7.3,49.3,35.7,36.3,60.3,46.2,63.2
13,Memphis Grizzlies,16.7,20.3,21.3,26.0,7.3,9.7,44.9,26.6,46.6,63.5,57.9,38.7
14,Miami Heat,23.5,32.0,16.0,20.0,2.0,3.0,37.7,38.6,31.1,64.5,20.0,33.3
15,Milwaukee Bucks,32.5,33.5,17.0,19.0,2.5,9.0,59.5,31.5,37.1,78.9,33.3,100.0
16,Minnesota Timberwolves,15.0,28.8,24.0,25.8,6.3,9.8,32.4,32.5,41.5,60.9,34.6,69.6
17,New Orleans Pelicans,23.3,25.3,14.3,22.5,10.3,9.5,48.1,30.7,35.2,63.5,61.5,53.8
18,New York Knicks,32.0,28.0,23.5,19.0,4.5,9.5,53.8,38.0,43.8,57.1,36.4,77.8
19,Oklahoma City Thunder,17.0,41.7,15.7,24.0,8.0,6.0,38.8,38.9,28.4,52.7,42.9,60.0
20,Orlando Magic,27.5,32.5,13.5,23.0,5.0,7.0,58.3,38.3,31.6,68.8,38.5,71.4
21,Philadelphia 76ers,24.0,37.0,22.5,25.5,12.5,6.0,56.3,50.0,40.8,64.7,47.4,44.4
22,Phoenix Suns,19.0,25.3,15.8,26.5,7.8,5.3,37.0,37.1,34.6,65.7,61.1,47.1
23,Portland Trail Blazers,25.0,28.5,18.5,19.0,6.0,4.8,47.1,34.5,32.4,58.9,50.0,46.7
24,Sacramento Kings,22.0,23.3,20.5,21.8,2.8,8.8,40.4,31.7,27.7,59.1,36.4,36.4
25,San Antonio Spurs,27.3,31.0,28.0,21.0,10.8,11.5,57.5,43.8,40.8,64.2,42.9,68.0
26,Toronto Raptors,27.0,38.0,9.0,23.5,7.5,10.0,46.3,41.5,20.0,65.5,45.5,72.7
27,Utah Jazz,28.0,26.3,10.8,26.8,2.0,6.0,44.0,31.6,24.6,75.5,33.3,55.6
28,Washington Wizards,28.0,21.0,22.5,23.0,3.5,7.0,51.2,29.8,36.4,67.6,50.0,53.8
