,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,29.5,35.8,13.8,22.5,2.5,2.8,48.0,46.2,34.8,59.3,57.1,55.6
1,Boston Celtics,15.8,36.3,21.3,21.0,4.0,8.5,41.9,42.1,38.5,54.5,50.0,41.4
2,Brooklyn Nets,27.3,27.8,13.8,19.5,0.0,5.0,45.7,28.8,29.3,54.0,0.0,40.9
3,Charlotte Hornets,20.8,26.5,22.0,18.5,1.5,5.5,37.0,32.7,38.0,65.3,66.7,71.4
4,Chicago Bulls,23.0,26.0,16.3,15.3,10.0,5.3,28.9,41.8,31.0,75.0,66.7,41.2
5,Cleveland Cavaliers,21.0,38.5,19.3,14.3,0.5,7.3,42.9,45.5,35.9,63.2,16.7,52.2
6,Dallas Mavericks,19.0,39.5,18.0,11.5,2.0,3.0,37.1,33.3,34.1,71.4,33.3,30.0
7,Denver Nuggets,16.0,37.0,14.5,21.0,7.0,8.5,37.8,38.8,32.5,77.3,55.6,53.3
8,Detroit Pistons,23.3,27.8,24.3,13.8,3.3,2.5,45.8,32.5,51.2,47.9,35.3,40.0
9,Golden State Warriors,17.5,34.5,40.5,12.5,4.5,8.0,70.6,42.6,51.5,56.3,100.0,70.0
10,Houston Rockets,26.0,34.0,27.5,10.5,0.0,8.5,42.4,36.5,44.4,53.3,0.0,80.0
11,Indiana Pacers,16.7,27.0,22.3,19.0,4.3,12.0,41.3,38.2,47.0,64.9,71.4,52.2
12,LA Clippers,26.0,19.0,29.0,24.0,5.0,6.0,46.7,26.5,53.8,59.4,71.4,44.4
13,Los Angeles Lakers,24.5,24.5,33.0,15.0,2.0,5.5,50.0,35.4,43.8,48.1,28.6,40.0
14,Memphis Grizzlies,19.5,27.0,15.5,30.0,7.0,14.5,50.0,39.2,34.1,68.6,50.0,50.0
15,Milwaukee Bucks,25.3,33.5,20.3,17.0,2.3,6.3,51.4,38.3,38.6,58.5,44.4,62.5
16,Minnesota Timberwolves,23.5,29.0,13.0,25.5,6.0,9.5,48.8,41.5,31.6,53.8,36.4,72.7
17,New Orleans Pelicans,20.0,30.0,11.5,21.0,6.5,6.0,35.0,38.9,29.7,85.0,62.5,54.5
18,New York Knicks,21.0,26.0,14.7,15.3,0.7,1.7,34.4,29.3,31.3,69.0,100.0,66.7
19,Oklahoma City Thunder,18.0,26.5,26.5,25.5,3.0,14.5,46.4,34.5,45.7,53.7,37.5,60.0
20,Orlando Magic,17.8,30.0,17.8,20.3,2.3,5.3,39.1,35.0,37.0,50.0,25.0,47.4
21,Philadelphia 76ers,24.0,29.7,15.3,25.0,5.3,9.0,45.9,40.2,33.9,66.7,35.3,57.1
22,Phoenix Suns,14.5,32.5,19.0,24.5,5.0,5.5,35.5,37.9,35.6,76.7,80.0,38.5
23,Portland Trail Blazers,25.0,27.5,35.0,14.0,2.0,4.5,47.4,40.4,40.0,52.6,50.0,37.5
24,Sacramento Kings,17.0,23.5,22.0,30.5,4.0,5.0,33.3,35.6,39.6,71.8,33.3,29.4
25,San Antonio Spurs,20.5,36.5,22.0,9.5,1.0,3.0,38.5,37.7,33.3,47.1,16.7,27.3
26,Toronto Raptors,28.5,40.3,18.0,15.0,4.5,5.8,61.9,43.8,38.2,62.2,72.7,52.9
27,Utah Jazz,26.0,32.0,20.5,21.0,0.0,5.5,53.7,37.9,39.5,63.0,0.0,66.7
28,Washington Wizards,31.0,20.5,18.0,24.5,4.5,6.5,50.6,29.0,38.8,63.6,50.0,42.3
