,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,26.3,39.0,19.3,24.5,2.0,7.0,41.0,37.6,33.0,61.1,50.0,57.9
1,Boston Celtics,16.3,38.3,27.7,13.0,2.0,2.3,34.9,36.1,36.7,66.7,42.9,60.0
2,Brooklyn Nets,29.8,28.5,22.3,18.8,0.0,8.5,42.9,32.5,35.7,60.8,0.0,71.4
3,Charlotte Hornets,29.5,32.8,22.3,16.3,1.3,3.0,46.5,42.5,35.2,71.1,66.7,50.0
4,Chicago Bulls,26.3,29.0,17.0,18.5,2.8,6.3,40.8,41.7,27.5,82.1,33.3,61.1
5,Cleveland Cavaliers,24.0,23.8,27.0,14.0,1.5,4.8,37.6,31.4,38.3,61.0,37.5,60.0
6,Dallas Mavericks,21.5,36.0,28.0,12.0,4.0,1.5,33.3,35.3,38.6,61.1,66.7,0.0
7,Denver Nuggets,21.5,43.0,25.0,11.5,2.5,9.0,41.9,39.5,46.0,55.6,20.0,66.7
8,Detroit Pistons,22.0,29.8,21.0,20.8,2.5,2.3,42.5,36.6,37.8,59.3,21.4,28.6
9,Golden State Warriors,10.0,44.0,25.5,19.0,5.5,3.0,30.0,42.7,40.4,73.9,71.4,33.3
10,Houston Rockets,24.5,27.0,29.0,13.0,1.5,4.0,50.0,33.3,33.9,34.6,25.0,50.0
11,Indiana Pacers,15.5,33.8,21.3,14.5,4.8,8.0,29.6,42.5,36.5,54.5,52.9,51.9
12,LA Clippers,28.0,40.5,24.0,22.0,0.0,6.0,42.9,47.5,36.8,65.5,0.0,75.0
13,Los Angeles Lakers,30.5,40.0,16.5,13.0,2.0,6.0,47.8,39.4,34.1,80.0,33.3,54.5
14,Memphis Grizzlies,29.0,30.0,23.0,15.0,5.5,5.5,51.1,39.6,38.5,60.0,57.1,30.0
15,Miami Heat,18.0,27.8,12.0,19.5,2.0,7.0,42.1,33.3,24.1,61.8,37.5,41.7
16,Minnesota Timberwolves,32.5,34.0,17.0,27.0,4.0,5.5,41.3,34.8,29.1,64.7,30.0,40.0
17,New Orleans Pelicans,25.0,34.5,23.0,21.5,4.5,6.0,57.5,33.8,38.0,61.3,50.0,55.6
18,New York Knicks,25.5,34.0,27.3,13.0,3.0,3.8,37.5,43.6,37.1,61.5,46.2,38.5
19,Oklahoma City Thunder,15.5,50.5,19.0,20.5,2.5,8.0,56.0,42.7,37.5,54.3,33.3,42.1
20,Orlando Magic,16.0,28.7,28.0,21.3,3.3,9.3,40.0,32.3,42.5,63.0,38.5,60.0
21,Philadelphia 76ers,17.3,40.7,28.0,13.0,11.0,5.7,37.7,44.9,45.1,48.5,46.4,38.5
22,Phoenix Suns,25.5,23.5,32.5,25.0,3.0,9.0,47.6,32.7,48.4,76.9,50.0,53.3
23,Portland Trail Blazers,24.0,23.5,43.5,9.0,9.5,2.0,47.5,25.8,56.7,53.3,88.9,66.7
24,Sacramento Kings,21.5,35.5,27.5,24.5,3.5,9.0,40.4,46.3,35.2,71.4,25.0,50.0
25,San Antonio Spurs,29.5,38.0,33.0,17.5,9.0,10.5,48.0,48.3,44.9,75.0,50.0,83.3
26,Toronto Raptors,21.5,34.5,18.3,15.0,4.3,10.8,44.7,35.2,37.6,54.8,46.7,60.0
27,Utah Jazz,23.0,26.5,26.5,26.0,0.0,6.5,36.7,37.7,44.4,59.0,0.0,42.9
28,Washington Wizards,23.7,41.7,20.0,13.3,0.0,5.7,49.0,46.7,36.0,60.0,0.0,46.2
