,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,38.0,34.5,10.5,27.0,1.0,7.5,46.9,43.4,22.2,59.0,25.0,60.0
1,Boston Celtics,20.0,46.0,14.5,16.5,4.5,5.0,56.0,44.6,37.1,78.9,57.1,83.3
2,Brooklyn Nets,26.0,38.5,12.5,18.5,0.5,5.0,45.0,36.1,22.5,66.7,0.0,33.3
3,Charlotte Hornets,22.0,28.0,18.5,23.0,2.0,4.5,28.3,38.5,39.0,68.8,66.7,60.0
4,Chicago Bulls,24.0,22.5,10.5,21.0,5.0,9.5,48.6,31.4,23.1,60.0,35.7,80.0
5,Cleveland Cavaliers,18.5,22.5,24.5,25.5,3.0,5.0,48.3,32.6,39.7,62.5,22.2,44.4
6,Dallas Mavericks,24.3,28.3,18.7,31.7,5.0,5.0,53.6,30.5,33.8,80.8,46.7,85.7
7,Denver Nuggets,21.3,39.3,16.5,17.5,4.8,7.5,44.2,48.3,41.2,61.1,52.9,60.0
8,Detroit Pistons,22.0,37.0,25.0,24.0,2.0,4.0,48.6,41.7,45.5,63.3,20.0,50.0
9,Golden State Warriors,11.0,46.5,22.3,18.0,5.8,7.3,50.0,43.2,39.6,49.2,45.5,50.0
10,Houston Rockets,18.3,33.0,22.7,18.3,0.7,5.3,42.6,36.2,32.4,61.0,16.7,61.5
11,Indiana Pacers,21.5,33.0,16.0,15.0,5.0,6.5,42.5,42.9,31.0,61.9,50.0,46.2
12,LA Clippers,30.7,32.7,19.3,20.0,6.3,4.3,52.4,44.0,40.7,63.9,53.3,57.1
13,Los Angeles Lakers,20.8,29.3,13.3,27.8,2.5,7.5,46.8,37.3,35.3,60.5,45.5,59.1
14,Memphis Grizzlies,20.0,24.5,18.3,20.5,4.8,8.5,35.7,35.7,33.3,52.6,58.3,61.9
15,Miami Heat,37.5,22.5,9.5,21.0,3.0,5.0,53.4,31.3,26.7,61.3,14.3,50.0
16,Milwaukee Bucks,21.0,41.0,28.0,29.5,1.0,7.5,50.0,44.4,45.8,81.3,20.0,70.0
17,New Orleans Pelicans,24.8,27.5,15.8,27.5,5.3,5.5,46.6,40.4,38.0,66.2,42.1,38.5
18,New York Knicks,24.0,21.5,21.0,13.5,7.5,3.0,48.6,29.4,42.5,40.7,70.0,40.0
19,Oklahoma City Thunder,28.0,32.3,21.5,18.3,6.0,5.3,54.3,40.0,37.8,69.6,47.8,62.5
20,Orlando Magic,22.0,31.5,17.5,21.5,6.0,8.5,48.7,41.4,34.9,82.6,50.0,61.5
21,Philadelphia 76ers,16.5,50.0,17.0,31.0,3.0,11.0,41.2,50.0,39.5,81.3,50.0,100.0
22,Phoenix Suns,24.0,24.0,18.0,23.0,2.0,6.0,44.6,29.1,40.7,71.1,28.6,88.9
23,Portland Trail Blazers,23.5,23.0,21.5,21.5,5.0,4.5,48.1,35.9,36.0,72.7,57.1,54.5
24,Sacramento Kings,20.3,32.3,21.3,21.3,4.0,7.5,39.5,42.2,36.6,68.0,33.3,59.1
25,San Antonio Spurs,19.3,36.3,19.0,23.0,10.3,4.0,50.9,44.1,35.8,53.5,37.8,36.8
26,Toronto Raptors,26.5,34.0,22.5,19.0,5.0,6.5,51.1,39.0,52.6,81.0,71.4,75.0
27,Utah Jazz,28.0,35.5,14.5,28.0,0.0,4.3,47.8,38.7,37.3,69.6,0.0,46.2
28,Washington Wizards,26.0,32.0,18.5,24.0,2.5,12.5,58.3,32.4,35.7,75.9,16.7,76.9
