,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,29.0,43.0,16.0,27.5,2.0,6.0,50.0,43.3,28.6,65.8,66.7,33.3
1,Boston Celtics,21.5,34.5,31.0,20.0,9.0,7.0,52.9,34.3,53.1,58.1,69.2,66.7
2,Brooklyn Nets,23.5,33.0,33.5,12.0,0.0,7.0,42.0,40.7,55.1,47.6,0.0,50.0
3,Charlotte Hornets,32.0,28.5,13.5,19.0,3.5,2.0,51.1,37.0,25.0,64.0,50.0,66.7
4,Chicago Bulls,25.5,36.5,14.0,11.0,5.5,8.0,44.9,42.4,28.9,60.0,33.3,77.8
5,Cleveland Cavaliers,26.0,28.0,20.0,17.0,3.0,6.5,43.6,39.6,36.4,57.1,30.0,62.5
6,Dallas Mavericks,25.0,30.3,18.3,21.8,8.3,8.5,46.9,35.2,35.4,63.5,57.1,81.3
7,Denver Nuggets,24.5,27.8,17.3,21.5,8.3,4.3,48.2,31.2,40.8,67.3,46.4,57.1
8,Detroit Pistons,17.0,29.5,11.5,27.5,9.0,3.0,44.8,36.8,26.5,59.5,50.0,60.0
9,Golden State Warriors,14.3,41.7,27.0,20.3,5.0,5.3,46.9,41.1,41.3,71.1,46.7,50.0
10,Houston Rockets,25.5,30.5,29.0,13.8,1.8,5.0,51.4,35.7,37.5,48.9,42.9,45.0
11,Indiana Pacers,14.5,35.0,19.0,22.0,10.5,5.0,40.0,38.2,47.1,57.6,38.9,38.5
12,LA Clippers,31.0,34.7,17.0,19.3,6.3,7.0,53.7,48.1,42.9,64.9,43.8,64.3
13,Los Angeles Lakers,20.5,27.8,16.0,28.3,6.8,7.8,50.0,35.4,31.4,75.8,65.0,61.9
14,Memphis Grizzlies,12.5,25.5,12.3,28.3,10.8,8.5,40.9,32.2,31.3,72.1,41.9,50.0
15,Miami Heat,18.5,26.5,18.0,22.0,6.0,2.0,31.6,33.3,35.7,61.8,60.0,33.3
16,Milwaukee Bucks,32.0,33.0,18.5,18.0,12.5,4.0,64.3,37.7,47.2,57.7,75.0,66.7
17,Minnesota Timberwolves,25.0,36.5,10.3,23.8,12.0,6.5,48.7,42.1,26.8,59.1,42.2,81.8
18,New York Knicks,27.0,27.5,23.0,14.5,7.5,3.5,52.5,41.3,32.3,60.9,71.4,75.0
19,Oklahoma City Thunder,22.0,30.0,15.8,21.5,6.0,9.3,52.8,32.3,33.3,67.3,50.0,50.0
20,Orlando Magic,23.0,37.0,18.0,29.0,7.5,7.0,43.9,39.4,41.7,52.4,53.8,38.5
21,Philadelphia 76ers,26.0,27.5,15.5,28.0,8.5,9.5,46.8,35.2,31.1,67.6,37.5,50.0
22,Phoenix Suns,33.0,27.3,20.0,24.0,4.3,7.0,48.0,34.2,36.3,72.7,50.0,63.2
23,Portland Trail Blazers,24.7,33.3,23.7,23.0,10.0,3.7,46.6,44.3,41.3,60.9,75.0,30.8
24,Sacramento Kings,20.5,30.5,23.0,27.0,9.0,10.8,41.0,41.6,36.7,55.8,33.3,73.9
25,San Antonio Spurs,22.8,28.8,24.8,25.8,14.3,3.8,44.7,44.8,40.0,63.0,48.9,50.0
26,Toronto Raptors,18.0,38.5,16.5,20.0,10.5,5.0,37.8,38.4,35.9,73.1,57.1,50.0
27,Utah Jazz,22.0,30.3,12.3,35.7,0.7,8.7,44.3,35.6,32.7,85.5,0.0,64.3
28,Washington Wizards,31.0,30.5,21.0,18.0,5.0,6.0,58.1,34.4,47.5,69.2,62.5,85.7
