,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,15.0,35.0,17.5,40.0,3.5,9.5,53.8,40.7,35.9,70.0,60.0,72.7
1,Boston Celtics,24.5,40.5,16.5,18.0,6.0,6.0,64.5,47.6,33.3,63.0,41.7,66.7
2,Brooklyn Nets,25.5,30.0,17.0,17.5,0.0,4.5,41.9,38.5,31.0,51.9,0.0,57.1
3,Charlotte Hornets,25.5,22.5,19.0,14.0,2.0,4.0,46.7,29.6,37.0,57.1,66.7,66.7
4,Chicago Bulls,23.5,26.0,19.0,19.5,9.5,5.5,50.0,40.0,39.5,63.0,38.9,45.5
5,Cleveland Cavaliers,20.5,24.5,17.5,10.0,0.0,4.0,41.3,42.5,27.6,52.9,0.0,28.6
6,Dallas Mavericks,24.5,33.3,18.8,19.8,2.5,3.3,54.9,38.5,41.7,66.7,38.5,50.0
7,Denver Nuggets,18.8,32.3,18.8,15.3,6.8,6.8,49.3,42.9,36.3,57.8,48.0,52.4
8,Detroit Pistons,16.0,15.0,25.5,11.5,8.0,6.5,30.0,21.7,35.7,55.0,41.7,50.0
9,Golden State Warriors,20.7,25.0,24.7,14.7,5.3,7.3,46.9,32.9,41.8,55.6,50.0,62.5
10,Houston Rockets,24.5,22.0,29.3,14.8,0.5,5.0,51.3,30.6,37.4,56.0,25.0,62.5
11,Indiana Pacers,25.0,26.0,12.0,22.5,8.0,9.5,45.9,32.1,32.3,71.0,40.0,66.7
12,LA Clippers,27.0,24.0,19.5,17.5,7.5,5.8,51.8,45.9,38.8,44.3,50.0,52.9
13,Los Angeles Lakers,15.0,32.0,20.7,23.7,2.0,10.0,33.3,37.5,37.3,73.3,30.0,57.1
14,Memphis Grizzlies,20.7,24.0,13.7,18.3,7.7,4.7,36.7,40.0,30.0,61.1,62.5,53.8
15,Miami Heat,21.0,29.0,12.0,18.5,6.5,8.0,41.0,35.1,34.4,56.7,60.0,72.7
16,Milwaukee Bucks,28.5,26.5,26.5,22.5,3.5,2.5,46.9,29.0,46.5,67.9,33.3,40.0
17,Minnesota Timberwolves,25.5,31.3,21.3,21.3,14.3,10.3,46.2,42.1,50.7,57.4,51.3,60.0
18,New Orleans Pelicans,27.8,20.8,17.0,30.8,2.8,9.8,52.9,30.5,34.5,65.9,23.1,48.5
19,New York Knicks,23.0,23.0,14.0,21.5,7.0,3.5,42.1,35.4,31.0,73.1,54.5,75.0
20,Orlando Magic,19.5,35.0,19.5,26.0,6.5,10.0,43.3,39.4,33.3,63.2,40.0,43.8
21,Philadelphia 76ers,14.0,38.0,9.0,19.0,4.0,10.0,38.5,48.3,16.0,69.2,40.0,44.4
22,Phoenix Suns,20.3,23.0,16.0,24.3,8.0,5.0,39.4,36.0,30.8,72.4,64.7,40.0
23,Portland Trail Blazers,30.0,23.0,20.3,18.0,3.8,5.0,54.8,34.0,29.9,56.3,58.3,43.8
24,Sacramento Kings,21.0,27.5,28.5,19.8,4.5,10.3,40.7,42.9,45.0,53.7,31.8,52.9
25,San Antonio Spurs,23.7,30.7,35.3,22.7,21.3,4.3,46.9,52.3,43.6,73.7,55.6,54.5
26,Toronto Raptors,27.0,35.5,15.0,18.0,7.0,4.5,50.0,46.3,34.3,62.5,46.2,50.0
27,Utah Jazz,22.3,29.8,15.3,28.5,1.0,2.8,40.7,37.3,30.4,67.6,100.0,33.3
28,Washington Wizards,31.5,29.0,17.5,23.0,4.5,9.5,57.1,34.4,34.0,75.0,50.0,61.5
