,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,24.0,28.0,20.0,27.5,3.5,5.5,38.0,43.2,40.0,66.7,60.0,44.4
1,Boston Celtics,25.0,32.5,22.0,10.5,3.5,3.0,44.7,33.3,42.9,47.4,37.5,37.5
2,Brooklyn Nets,33.5,24.0,13.5,24.0,1.5,5.0,57.5,37.8,25.6,60.5,33.3,38.5
3,Charlotte Hornets,28.0,31.5,17.0,31.0,2.0,5.0,48.8,47.8,36.6,69.4,50.0,33.3
4,Chicago Bulls,33.5,16.5,22.0,21.5,6.0,7.0,52.1,37.5,44.2,80.0,60.0,54.5
5,Cleveland Cavaliers,21.0,25.0,16.5,41.5,6.5,8.0,35.6,37.0,35.9,78.7,42.9,58.3
6,Dallas Mavericks,19.5,22.5,17.8,19.8,7.0,5.5,43.7,28.4,37.8,66.7,47.4,57.1
7,Denver Nuggets,17.0,32.5,16.5,19.0,10.8,8.0,43.5,40.9,33.8,53.7,60.0,70.0
8,Detroit Pistons,12.0,34.0,25.5,21.0,9.5,4.0,37.0,39.7,44.4,51.4,63.6,40.0
9,Golden State Warriors,13.8,31.5,20.0,26.8,5.3,10.8,57.1,37.8,40.0,67.2,53.8,66.7
10,Houston Rockets,29.3,33.0,24.7,19.0,4.0,9.7,58.9,39.5,37.5,63.2,71.4,70.6
11,Indiana Pacers,14.5,36.0,14.5,23.5,12.5,9.0,40.0,49.1,31.0,54.5,77.8,33.3
12,LA Clippers,26.8,27.0,17.8,29.5,6.8,11.5,50.0,47.6,41.9,62.2,44.0,62.1
13,Los Angeles Lakers,26.3,30.0,12.8,29.0,5.3,6.3,53.8,46.3,28.6,72.0,47.1,55.0
14,Memphis Grizzlies,28.7,21.3,17.3,19.3,4.0,6.7,50.0,34.4,42.9,58.1,33.3,64.3
15,Miami Heat,20.5,35.5,7.5,37.0,3.5,8.0,42.9,40.7,21.9,84.2,37.5,50.0
16,Milwaukee Bucks,26.0,27.0,8.0,22.0,3.0,6.5,50.0,25.7,19.4,64.0,33.3,60.0
17,Minnesota Timberwolves,15.0,26.0,23.3,26.3,14.3,4.3,35.4,31.0,50.0,57.1,48.5,37.5
18,New Orleans Pelicans,26.5,32.8,14.8,31.8,9.3,8.3,47.1,46.9,32.0,68.0,38.2,42.9
19,New York Knicks,26.5,12.0,27.5,16.5,8.0,3.5,46.5,22.9,41.4,54.5,53.8,30.0
20,Oklahoma City Thunder,26.0,22.3,18.8,31.0,6.5,6.5,46.5,38.8,41.0,65.1,52.4,47.8
21,Orlando Magic,20.5,29.5,24.5,14.0,10.0,8.0,43.2,38.3,41.7,59.1,69.2,80.0
22,Philadelphia 76ers,15.0,22.5,18.0,30.5,18.0,4.0,48.1,36.4,47.1,68.8,58.8,22.2
23,Portland Trail Blazers,21.3,21.7,29.0,22.0,9.0,7.0,60.0,37.9,47.4,54.9,35.5,58.3
24,Sacramento Kings,20.3,29.5,20.5,23.3,8.5,6.8,44.8,43.3,36.4,58.6,42.9,60.0
25,San Antonio Spurs,29.8,26.5,23.3,18.3,9.8,6.8,55.1,40.4,39.2,61.1,53.3,56.5
26,Toronto Raptors,21.5,29.5,13.0,26.5,5.0,12.5,50.0,37.3,31.4,77.4,40.0,70.6
27,Utah Jazz,29.5,31.8,13.5,25.8,1.3,9.3,51.0,44.4,34.9,69.2,50.0,76.2
28,Washington Wizards,33.5,25.5,15.5,30.5,3.5,13.0,49.0,32.7,40.6,68.4,18.2,75.0
