,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,29.0,23.5,21.0,24.0,2.0,7.0,42.6,35.6,31.6,72.4,40.0,50.0
1,Boston Celtics,24.0,28.5,20.0,15.5,8.5,3.0,52.6,29.6,34.6,68.4,66.7,27.3
2,Brooklyn Nets,39.5,24.0,23.0,21.5,2.0,13.5,54.9,30.2,35.1,61.5,66.7,75.0
3,Charlotte Hornets,31.5,27.5,28.0,12.0,1.5,5.0,47.7,44.2,36.5,52.4,50.0,45.5
4,Chicago Bulls,35.5,16.0,22.0,20.0,8.0,3.0,45.3,28.2,41.7,65.4,46.2,16.7
5,Cleveland Cavaliers,34.5,22.5,21.0,20.0,5.0,6.5,45.9,37.2,34.0,72.0,23.1,75.0
6,Dallas Mavericks,33.5,26.0,17.8,22.3,2.8,5.3,47.5,36.8,29.1,63.8,29.4,57.1
7,Denver Nuggets,28.8,27.5,20.3,15.8,8.3,5.0,50.0,39.6,43.9,72.5,58.3,53.3
8,Detroit Pistons,25.0,18.0,21.5,20.0,5.0,3.0,55.3,26.7,39.1,69.6,42.9,75.0
9,Golden State Warriors,12.3,39.8,31.0,15.3,7.0,7.3,36.8,44.6,42.4,65.9,75.0,57.9
10,Houston Rockets,27.3,16.7,20.7,16.7,3.3,4.0,47.4,27.4,30.7,55.0,50.0,83.3
11,Indiana Pacers,14.5,27.5,22.5,13.0,6.0,12.0,35.7,44.7,35.6,50.0,25.0,78.6
12,LA Clippers,28.5,23.3,20.3,20.3,6.8,7.0,48.9,35.1,40.0,58.5,50.0,40.7
13,Los Angeles Lakers,25.8,20.8,22.3,24.3,3.0,8.8,47.1,34.1,35.8,66.2,35.7,53.3
14,Memphis Grizzlies,20.5,24.8,17.5,16.3,6.5,9.0,36.8,35.0,36.3,57.7,57.9,46.4
15,Miami Heat,26.5,29.5,25.5,27.0,9.0,5.0,48.9,39.6,43.4,65.6,66.7,57.1
16,Milwaukee Bucks,20.0,35.0,19.5,31.0,5.0,7.0,42.9,34.8,34.9,75.0,50.0,63.6
17,Minnesota Timberwolves,21.3,32.3,17.0,19.0,9.5,6.0,37.1,42.5,34.0,67.3,42.4,47.8
18,New Orleans Pelicans,37.7,25.0,11.7,20.0,9.3,8.7,59.2,34.2,32.7,56.8,50.0,57.1
19,New York Knicks,19.5,20.0,27.0,20.0,7.0,6.0,42.4,33.3,43.4,72.7,50.0,66.7
20,Oklahoma City Thunder,29.8,24.0,29.8,19.5,5.8,10.0,44.3,40.0,40.0,60.3,40.0,56.3
21,Orlando Magic,21.0,45.5,12.5,17.5,5.0,7.0,41.2,52.3,29.7,70.8,33.3,50.0
22,Philadelphia 76ers,22.0,23.0,22.5,12.5,5.0,11.5,46.2,29.1,35.0,66.7,75.0,52.6
23,Phoenix Suns,24.0,23.7,16.7,21.7,4.7,6.7,38.9,31.7,27.6,59.2,38.9,50.0
24,Sacramento Kings,21.3,34.0,27.7,25.7,6.7,5.0,40.4,37.9,40.7,78.0,61.5,33.3
25,San Antonio Spurs,25.3,32.8,32.8,14.3,11.0,3.5,52.1,53.8,44.8,59.5,36.7,42.9
26,Toronto Raptors,32.5,40.0,20.0,8.0,4.5,15.0,62.2,47.5,43.6,100.0,66.7,85.7
27,Utah Jazz,30.0,26.8,19.0,22.3,1.0,4.8,53.8,38.9,36.9,67.9,66.7,50.0
28,Washington Wizards,37.5,40.5,18.5,16.0,2.5,5.5,56.4,38.9,34.0,50.0,40.0,50.0
