,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,24.5,23.0,16.0,24.5,2.0,8.5,55.9,25.4,42.3,60.0,33.3,63.6
1,Boston Celtics,32.0,31.5,23.5,16.5,11.5,6.0,58.7,42.3,40.7,70.0,69.2,75.0
2,Brooklyn Nets,41.0,24.0,17.5,21.5,2.0,6.0,60.7,32.0,32.5,70.4,100.0,85.7
3,Charlotte Hornets,34.0,24.0,16.5,10.5,0.0,4.0,54.0,33.3,25.5,40.9,0.0,60.0
4,Chicago Bulls,38.0,23.5,11.5,9.5,7.5,4.5,59.3,30.2,32.3,61.5,66.7,28.6
5,Cleveland Cavaliers,28.5,15.0,35.5,20.0,3.0,4.0,48.8,32.3,50.0,76.9,50.0,66.7
6,Dallas Mavericks,31.7,28.0,20.7,15.7,4.7,2.7,51.6,34.5,34.7,64.0,50.0,50.0
7,Denver Nuggets,20.7,21.3,22.3,23.3,7.3,7.0,39.6,32.8,34.6,66.0,52.9,47.1
8,Detroit Pistons,27.5,29.0,10.5,20.0,8.5,6.0,54.8,35.1,25.0,64.3,44.4,66.7
9,Golden State Warriors,15.3,44.3,23.5,20.0,5.5,6.5,52.3,39.0,42.4,72.3,40.0,39.1
10,Houston Rockets,23.3,31.5,36.8,16.0,1.5,5.8,51.5,37.7,41.6,75.6,33.3,66.7
11,Indiana Pacers,22.5,29.0,9.0,21.0,7.0,7.5,51.4,39.6,22.9,72.0,71.4,53.8
12,LA Clippers,28.8,28.8,20.0,28.5,8.5,9.8,45.2,42.4,39.8,67.6,65.2,70.8
13,Los Angeles Lakers,19.0,24.3,23.3,19.8,4.0,6.8,45.6,28.4,44.0,57.4,50.0,55.0
14,Memphis Grizzlies,21.5,29.0,14.3,18.3,6.5,11.0,45.3,43.6,30.8,49.2,35.7,69.6
15,Miami Heat,19.0,23.0,23.0,24.0,3.0,1.5,31.4,34.7,30.9,57.1,42.9,16.7
16,Milwaukee Bucks,34.5,50.5,13.0,24.0,3.0,6.5,61.5,39.1,31.3,70.4,22.2,75.0
17,Minnesota Timberwolves,27.3,26.0,13.0,18.8,10.3,8.5,53.5,39.2,30.3,53.8,53.1,59.1
18,New Orleans Pelicans,30.3,31.3,18.3,24.3,14.3,8.0,57.6,41.1,45.5,59.7,57.1,57.1
19,New York Knicks,27.0,25.5,12.5,19.5,3.0,1.0,47.7,32.7,25.0,59.3,30.0,100.0
20,Oklahoma City Thunder,23.3,30.5,18.5,20.3,7.3,4.8,48.7,33.1,32.6,57.4,73.7,53.3
21,Orlando Magic,19.5,29.0,21.0,14.0,4.5,12.5,42.4,28.2,41.0,61.9,27.3,64.7
22,Philadelphia 76ers,25.5,15.5,20.5,24.0,12.5,7.5,61.1,21.2,41.9,52.6,47.6,55.6
23,Phoenix Suns,21.5,28.3,10.5,24.5,6.8,4.5,41.9,36.9,23.1,66.7,57.9,50.0
24,Portland Trail Blazers,17.0,21.0,32.0,27.0,10.3,6.7,36.5,39.7,43.0,67.4,46.9,77.8
25,San Antonio Spurs,23.7,28.3,26.7,16.0,12.3,5.7,52.7,35.2,39.6,54.8,57.1,33.3
26,Toronto Raptors,18.5,33.5,18.0,21.0,3.5,5.0,41.9,40.0,31.8,68.0,42.9,50.0
27,Utah Jazz,30.5,25.5,22.0,23.3,1.0,6.5,51.6,40.0,41.5,66.7,50.0,47.1
28,Washington Wizards,25.5,39.5,15.5,10.0,4.0,3.0,55.9,43.8,29.5,66.7,60.0,42.9
