,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,23.0,25.0,27.5,24.5,4.0,2.0,43.9,31.5,42.6,67.9,60.0,33.3
1,Boston Celtics,25.5,26.5,18.5,18.0,4.5,6.0,48.6,33.9,30.2,78.3,44.4,66.7
2,Brooklyn Nets,21.5,34.0,21.0,17.5,0.0,8.0,42.2,41.1,34.0,88.9,0.0,87.5
3,Charlotte Hornets,36.0,23.5,38.5,18.5,1.0,4.0,50.8,29.1,47.8,84.2,50.0,100.0
4,Chicago Bulls,28.5,24.5,32.5,7.5,9.5,6.0,55.0,30.9,48.4,70.0,47.4,75.0
5,Cleveland Cavaliers,25.0,19.0,24.0,22.0,3.0,7.5,46.7,30.2,41.7,62.5,60.0,54.5
6,Dallas Mavericks,32.3,30.3,23.3,12.8,1.5,3.8,55.1,33.3,38.8,63.3,40.0,41.7
7,Denver Nuggets,19.5,37.5,20.8,18.0,6.0,8.3,37.2,42.5,38.5,61.5,68.8,76.2
8,Detroit Pistons,17.5,13.5,7.0,7.5,2.5,2.0,73.7,34.5,40.0,50.0,33.3,16.7
9,Golden State Warriors,10.3,26.3,27.7,26.0,6.3,8.3,46.2,36.8,40.0,70.2,47.1,52.9
10,Houston Rockets,30.0,29.8,23.8,18.3,2.8,6.0,46.1,37.4,30.4,63.6,62.5,71.4
11,Indiana Pacers,19.5,33.5,19.5,21.0,5.0,14.0,51.4,42.4,38.3,74.1,55.6,63.2
12,LA Clippers,21.8,25.3,25.3,19.0,6.0,5.3,36.0,41.0,44.9,54.9,63.6,42.9
13,Los Angeles Lakers,24.8,33.0,21.0,20.0,5.0,8.3,50.6,37.0,38.9,68.6,45.0,58.3
14,Memphis Grizzlies,20.3,22.3,22.5,19.5,7.3,7.5,48.5,32.3,38.8,62.3,48.1,56.0
15,Miami Heat,20.5,32.0,19.0,18.5,2.5,7.0,43.2,36.1,38.1,53.8,66.7,41.7
16,Milwaukee Bucks,44.0,36.0,13.5,11.0,2.5,5.5,63.0,40.7,29.7,72.7,16.7,83.3
17,Minnesota Timberwolves,23.0,26.5,17.3,20.8,9.8,10.3,42.1,36.9,34.8,64.7,42.9,57.7
18,New Orleans Pelicans,28.5,18.0,25.3,25.3,5.8,8.8,51.5,30.2,41.1,76.4,60.0,51.7
19,New York Knicks,21.5,28.5,34.5,15.5,2.0,2.5,36.5,39.2,52.5,60.0,40.0,40.0
20,Oklahoma City Thunder,30.0,32.7,19.0,25.3,6.7,6.3,46.8,43.4,33.8,59.2,66.7,43.8
21,Orlando Magic,21.0,35.5,25.5,16.5,3.5,3.0,43.9,40.9,38.6,56.5,30.0,25.0
22,Philadelphia 76ers,14.0,43.0,18.0,21.5,5.5,5.0,45.2,42.5,37.2,65.4,30.8,40.0
23,Phoenix Suns,22.8,28.8,21.8,20.8,1.5,6.0,42.0,39.4,44.3,69.2,50.0,50.0
24,Portland Trail Blazers,19.3,26.3,30.5,20.0,5.0,10.8,44.4,42.7,40.5,76.6,47.4,68.2
25,Sacramento Kings,22.3,25.7,33.3,17.3,8.0,6.0,53.7,46.7,46.7,68.6,47.6,47.4
26,Toronto Raptors,25.5,33.5,12.5,19.0,9.0,6.5,48.8,35.8,37.5,54.5,85.7,40.0
27,Utah Jazz,26.3,37.0,25.3,21.7,0.0,4.3,52.4,48.7,40.7,65.0,0.0,50.0
28,Washington Wizards,27.5,33.5,21.0,19.0,1.0,5.5,54.1,37.1,33.3,80.0,100.0,66.7
