,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,25.0,30.3,19.7,15.7,2.7,4.7,46.6,34.8,44.8,48.6,66.7,41.7
1,Boston Celtics,23.5,29.8,24.0,17.5,5.0,8.5,55.7,34.1,43.9,55.8,30.8,76.2
2,Brooklyn Nets,26.5,29.0,21.5,16.8,1.0,7.3,39.8,39.8,36.7,75.0,100.0,66.7
3,Charlotte Hornets,28.0,31.3,18.7,19.3,1.3,7.3,47.2,39.5,29.9,61.5,33.3,53.3
4,Chicago Bulls,31.5,21.3,14.8,12.3,5.0,5.5,43.5,29.9,32.5,60.6,37.5,52.6
5,Cleveland Cavaliers,24.3,25.3,20.0,17.5,6.0,6.3,42.7,38.9,36.4,50.9,38.9,55.6
6,Dallas Mavericks,28.0,20.0,21.5,23.5,8.5,8.5,46.2,32.6,34.0,63.0,66.7,40.0
7,Denver Nuggets,13.0,30.5,14.0,19.0,8.0,7.0,41.4,38.2,32.5,63.0,44.4,60.0
8,Detroit Pistons,23.7,19.7,20.3,24.7,3.0,9.3,50.8,27.8,45.5,58.0,26.7,68.8
9,Golden State Warriors,25.5,27.5,36.0,16.0,2.0,12.0,54.5,36.7,51.6,58.3,25.0,91.7
10,Houston Rockets,35.5,29.5,15.0,17.0,0.0,6.0,52.6,38.5,27.3,68.2,0.0,62.5
11,Indiana Pacers,20.7,25.3,16.0,25.3,2.7,9.0,43.3,40.9,35.8,65.3,21.1,50.0
12,LA Clippers,28.0,11.0,22.5,24.0,9.0,6.0,47.8,23.5,45.7,57.6,42.1,46.2
13,Los Angeles Lakers,26.0,16.0,14.5,18.5,5.5,13.5,40.9,24.4,35.1,66.7,71.4,84.6
14,Memphis Grizzlies,16.5,29.0,23.0,21.5,10.0,7.5,43.8,41.2,43.8,63.3,50.0,53.8
15,Miami Heat,22.8,31.8,16.8,22.5,3.0,6.0,43.0,43.1,33.7,56.5,35.7,44.0
16,Milwaukee Bucks,26.0,33.5,20.0,15.3,2.3,2.0,51.4,37.5,37.3,67.5,30.8,14.3
17,Minnesota Timberwolves,21.0,43.5,16.5,13.5,2.0,9.0,36.4,44.3,33.3,57.1,25.0,70.0
18,New Orleans Pelicans,29.0,25.5,25.5,26.0,4.0,14.0,56.1,31.0,48.9,67.6,57.1,50.0
19,New York Knicks,24.3,22.3,16.3,22.3,6.0,6.0,39.3,31.3,31.0,60.3,47.4,53.3
20,Oklahoma City Thunder,23.0,41.5,19.0,13.5,5.5,6.0,45.2,39.4,37.2,52.2,50.0,60.0
21,Orlando Magic,16.5,34.5,15.8,20.0,7.0,8.5,43.5,36.8,37.0,57.4,46.2,53.8
22,Philadelphia 76ers,21.8,26.3,18.3,22.5,9.3,6.3,52.4,34.6,35.6,70.0,41.4,57.1
23,Phoenix Suns,22.5,22.5,24.0,16.0,4.0,8.0,38.8,34.0,42.0,50.0,100.0,45.5
24,Portland Trail Blazers,24.5,30.0,27.5,21.0,6.0,5.5,54.3,43.8,50.0,66.7,36.4,55.6
25,Sacramento Kings,17.0,24.0,20.5,22.5,6.0,9.0,50.0,45.0,34.5,52.8,35.3,53.8
26,San Antonio Spurs,29.0,37.5,27.0,10.5,6.5,7.5,59.4,45.8,40.3,60.0,38.5,77.8
27,Utah Jazz,23.0,22.0,11.5,30.0,2.5,3.0,37.0,30.0,25.0,75.8,66.7,14.3
28,Washington Wizards,24.5,33.8,23.5,15.8,1.5,3.3,48.2,32.9,39.6,61.5,27.3,54.5
