,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,27.0,28.5,30.0,20.5,3.0,2.0,46.7,32.8,47.9,53.1,50.0,20.0
1,Boston Celtics,18.5,32.5,12.5,17.0,6.5,5.0,46.7,34.8,25.6,60.9,55.6,83.3
2,Brooklyn Nets,31.0,21.0,19.5,12.0,0.0,4.0,35.3,35.0,25.4,40.0,0.0,50.0
3,Charlotte Hornets,40.0,15.0,26.0,16.5,1.0,7.0,55.2,23.9,41.5,70.0,100.0,46.2
4,Chicago Bulls,33.5,15.0,14.5,19.0,3.0,6.0,35.5,29.7,26.4,55.6,37.5,54.5
5,Cleveland Cavaliers,26.5,14.0,22.0,15.5,5.0,5.5,35.4,30.3,30.4,66.7,55.6,55.6
6,Dallas Mavericks,32.5,24.0,24.0,18.0,5.0,5.0,48.0,36.7,42.9,64.3,30.0,53.8
7,Denver Nuggets,26.8,22.3,22.3,16.3,5.3,5.8,46.5,37.2,38.2,60.5,45.5,36.4
8,Detroit Pistons,25.5,20.5,25.5,13.5,6.0,6.5,46.5,34.1,37.5,42.3,37.5,62.5
9,Golden State Warriors,12.7,29.7,28.0,18.0,8.0,5.0,37.2,40.5,40.9,78.1,52.6,37.5
10,Houston Rockets,26.8,18.5,25.5,12.3,3.8,5.8,39.2,29.2,39.4,56.4,63.6,45.5
11,Indiana Pacers,17.5,33.0,21.5,20.0,5.0,16.0,39.5,50.0,46.3,73.9,62.5,73.7
12,LA Clippers,30.0,23.7,29.3,25.0,7.7,9.0,44.7,39.4,44.9,55.9,71.4,66.7
13,Los Angeles Lakers,24.0,17.0,18.0,21.3,3.3,11.3,41.4,29.3,33.3,53.6,66.7,60.6
14,Memphis Grizzlies,24.8,19.0,17.8,18.3,6.8,8.8,43.9,34.6,30.1,66.0,46.2,53.6
15,Miami Heat,21.5,31.5,17.0,11.0,2.5,3.0,27.6,38.6,35.9,50.0,66.7,28.6
16,Milwaukee Bucks,34.0,24.5,17.5,14.5,5.0,5.5,41.8,37.0,28.3,41.4,83.3,35.7
17,Minnesota Timberwolves,26.5,26.3,23.8,15.3,8.3,7.0,46.6,37.8,41.2,67.6,65.0,50.0
18,New Orleans Pelicans,35.0,21.7,19.3,24.3,5.3,9.3,48.4,39.7,32.9,63.3,43.8,43.3
19,New York Knicks,29.0,30.5,25.5,11.0,0.0,2.0,42.3,44.7,36.8,50.0,0.0,50.0
20,Oklahoma City Thunder,25.0,25.5,24.5,21.3,7.8,11.8,46.0,40.4,39.1,64.9,63.2,51.3
21,Orlando Magic,25.0,36.0,27.0,9.0,7.0,8.0,57.1,46.4,35.3,50.0,50.0,40.0
22,Philadelphia 76ers,18.5,30.5,23.5,20.0,13.5,4.0,56.0,41.2,47.7,55.9,47.8,66.7
23,Phoenix Suns,27.8,10.5,25.0,19.5,3.3,8.5,45.4,23.9,43.6,63.6,60.0,48.5
24,Portland Trail Blazers,21.3,22.8,31.0,16.5,3.5,6.8,48.1,35.2,47.0,52.9,37.5,55.6
25,Sacramento Kings,30.0,17.5,26.5,21.3,5.8,9.0,56.3,36.2,41.6,60.0,38.5,42.1
26,San Antonio Spurs,21.0,23.7,31.3,16.0,6.7,10.0,41.4,45.3,41.5,67.7,45.0,73.7
27,Toronto Raptors,34.0,25.0,23.0,17.0,9.5,4.0,61.7,43.9,52.6,68.2,69.2,44.4
28,Washington Wizards,26.0,33.5,10.0,10.5,6.0,5.0,45.0,45.1,32.1,50.0,85.7,38.5
