,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,28.8,34.3,11.3,25.0,5.8,5.3,51.9,41.4,27.3,59.4,43.8,53.8
1,Boston Celtics,24.7,34.3,19.7,17.3,5.3,8.0,46.9,34.6,41.9,65.8,54.5,57.9
2,Brooklyn Nets,35.0,23.3,14.8,18.8,1.8,5.3,53.3,30.8,35.6,55.0,25.0,50.0
3,Charlotte Hornets,32.5,31.0,21.0,18.3,2.8,4.3,49.5,42.9,34.7,63.8,62.5,53.8
4,Chicago Bulls,32.3,20.0,15.8,18.3,7.5,8.3,47.8,40.0,32.6,65.4,52.0,68.2
5,Cleveland Cavaliers,22.3,28.0,19.5,19.8,4.8,6.5,50.8,40.4,37.0,56.7,50.0,57.9
6,Dallas Mavericks,28.0,34.5,22.5,25.5,6.0,2.0,46.8,46.0,35.8,75.0,75.0,33.3
7,Denver Nuggets,10.5,25.0,15.5,21.0,10.5,3.5,29.0,33.3,33.3,65.5,64.3,37.5
8,Detroit Pistons,10.3,28.0,20.0,18.3,12.0,5.3,34.5,36.7,41.8,61.5,66.7,54.5
9,Golden State Warriors,21.0,26.0,32.0,25.0,12.0,11.0,65.5,40.4,54.9,71.4,62.5,81.8
10,Houston Rockets,25.0,33.0,35.0,23.0,3.5,5.0,59.4,40.0,46.2,65.6,100.0,62.5
11,Indiana Pacers,15.8,29.8,15.5,19.8,6.5,7.5,44.1,38.9,39.7,72.5,48.0,77.8
12,LA Clippers,18.5,27.5,33.0,33.0,11.5,7.5,41.0,43.2,52.8,70.5,55.6,50.0
13,Los Angeles Lakers,14.0,22.5,20.5,29.5,2.0,5.0,52.0,33.3,40.5,65.0,33.3,33.3
14,Memphis Grizzlies,22.0,29.0,17.5,30.0,9.5,17.0,53.8,40.8,37.8,69.4,64.3,86.7
15,Miami Heat,21.5,30.5,14.8,25.3,3.0,6.0,41.3,36.1,36.8,62.9,44.4,38.1
16,Milwaukee Bucks,27.7,36.7,18.3,22.3,5.0,7.3,50.8,44.7,39.2,72.5,42.9,66.7
17,Minnesota Timberwolves,31.0,20.0,23.0,28.5,14.0,7.0,50.0,26.9,39.6,65.0,61.9,45.5
18,New Orleans Pelicans,23.0,23.5,28.5,25.5,7.0,10.0,58.8,31.4,47.2,59.4,50.0,61.5
19,New York Knicks,23.3,25.3,26.0,20.7,3.3,4.7,46.9,37.0,42.9,59.5,44.4,54.5
20,Oklahoma City Thunder,19.5,39.5,12.0,29.0,6.5,4.0,45.2,50.9,27.9,71.9,83.3,57.1
21,Orlando Magic,12.0,31.8,16.0,27.3,7.5,4.3,34.4,40.2,32.1,72.9,45.2,40.0
22,Philadelphia 76ers,23.0,35.7,10.0,25.0,11.3,2.7,58.5,39.4,23.6,62.3,54.5,50.0
23,Phoenix Suns,26.5,26.5,30.0,30.5,4.0,15.5,51.4,38.0,40.3,68.4,57.1,70.6
24,Portland Trail Blazers,26.5,26.5,17.5,22.0,4.5,7.0,44.2,36.7,30.0,48.4,33.3,55.6
25,Sacramento Kings,19.0,32.0,12.5,22.0,10.0,6.5,53.3,38.6,25.6,50.0,52.9,46.2
26,San Antonio Spurs,22.5,34.0,29.0,29.0,12.0,5.5,66.7,50.0,48.1,71.4,45.0,100.0
27,Toronto Raptors,26.0,36.8,18.8,17.8,9.3,4.8,50.6,39.8,40.5,53.8,43.5,40.0
28,Utah Jazz,27.0,31.0,11.0,22.5,2.0,7.0,58.5,40.4,26.9,74.1,100.0,77.8
