,BBREF,FANDUEL
1,James Webb,James III
2,Lonnie Walker,Lonnie  IV
3,Walt Lemon,Walter Jr.
4,Derrick Jones,Derrick Jr.
5,Marvin Bagley,Marvin III
6,T.J. Leaf,TJ Leaf
7,Glenn Robinson,Glenn III
8,T.J. Warren,TJ Warren
9,Kelly Oubre,Kelly Jr.
10,Tim Hardaway,Tim Jr.
11,Larry Nance,Larry Jr.
12,Jaren Jackson,Jaren Jr.
13,Wendell Carter,Wendell Jr.
14,Dennis Smith,Dennis Jr.
15,Robert Williams,Robert III
16,Harry Giles,Harry III
17,Otto Porter,Otto Jr.
18,Troy Brown,Troy Jr.
20,Gary Payton,Gary II
21,Wade Baldwin,Wade IV
22,Taurean Waller-Prince,Taurean Prince
