"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Var.20","OWS","DWS","WS","WS.48","Var.25","OBPM","DBPM","BPM","VORP","links"
"1","1","Alex Abrines","SG","25","OKC","31","588","6.3",".507",".809",".083","0.9","7.8","4.2","4.3","1.3","0.9","7.9","12.2",NA,"0.1","0.6","0.6",".053",NA,"-2.4","-0.9","-3.4","-0.2","/players/a/abrinal01.html"
"2","2","Quincy Acy","PF","28","PHO","10","123","2.9",".379",".833",".556","2.7","20.1","11.3","8.2","0.4","2.7","15.2","9.2",NA,"-0.1","0.0","-0.1","-0.022",NA,"-5.7","-0.3","-5.9","-0.1","/players/a/acyqu01.html"
"3","3","Jaylen Adams","PG","22","ATL","34","428","7.6",".474",".673",".082","2.6","12.3","7.4","19.8","1.5","1.0","19.7","13.5",NA,"-0.1","0.2","0.1",".011",NA,"-3.1","-1.3","-4.4","-0.3","/players/a/adamsja01.html"
"4","4","Steven Adams","C","25","OKC","80","2669","18.5",".591",".002",".361","14.7","14.8","14.7","6.6","2.0","2.4","12.6","16.4",NA,"5.1","4.0","9.1",".163",NA,"0.6","2.1","2.7","3.2","/players/a/adamsst01.html"
"5","5","Bam Adebayo","C","21","MIA","82","1913","17.9",".623",".031",".465","9.2","24.0","16.6","14.2","1.8","3.0","17.1","15.8",NA,"3.4","3.4","6.8",".171",NA,"-0.6","3.6","3.0","2.4","/players/a/adebaba01.html"
"6","6","Deng Adel","SF","21","CLE","19","194","2.7",".424",".639",".111","1.6","9.6","5.4","3.4","0.3","1.8","13.7","9.9",NA,"-0.2","0.0","-0.2","-0.054",NA,"-5.3","-2.0","-7.3","-0.3","/players/a/adelde01.html"
"7","7","DeVaughn Akoon-Purcell","SG","25","DEN","7","22","8.2",".322",".400",".200","4.9","14.8","9.8","37.1","4.5","0.0","15.5","25.0",NA,"-0.1","0.0","0.0","-0.051",NA,"-4.4","0.8","-3.6","0.0","/players/a/akoonde01.html"
"8","8","LaMarcus Aldridge","C","33","SAS","81","2687","22.9",".576",".032",".312","10.3","19.8","15.1","11.6","0.8","3.4","8.8","26.9",NA,"6.4","2.9","9.3",".167",NA,"1.2","0.5","1.6","2.5","/players/a/aldrila01.html"
"9","9","Rawle Alkins","SG","21","CHI","10","120","8.1",".418",".308",".308","9.9","13.7","11.8","15.2","0.4","0.0","15.3","19.0",NA,"-0.1","0.0","-0.1","-0.042",NA,"-4.1","-2.5","-6.5","-0.1","/players/a/alkinra01.html"
"10","10","Grayson Allen","SG","23","UTA","38","416","7.5",".516",".556",".337","0.8","5.1","3.0","8.9","0.7","1.1","13.9","24.4",NA,"-0.4","0.4","0.0",".002",NA,"-3.7","-3.1","-6.8","-0.5","/players/a/allengr01.html"
"11","11","Jarrett Allen","C","20","BRK","80","2096","18.5",".632",".079",".489","9.6","24.0","16.8","7.9","1.0","4.5","13.0","15.9",NA,"4.4","3.3","7.6",".175",NA,"-0.7","3.2","2.5","2.4","/players/a/allenja01.html"
"12","12","Kadeem Allen","SG","26","NYK","19","416","16.2",".574",".255",".383","2.0","11.1","6.4","28.7","1.9","0.8","13.6","19.6",NA,"0.7","0.2","1.0",".111",NA,"0.5","-1.6","-1.1","0.1","/players/a/allenka01.html"
"13","13","Al-Farouq Aminu","PF","28","POR","81","2292","13.2",".568",".472",".292","5.3","22.6","14.2","6.0","1.4","1.2","9.7","13.7",NA,"3.0","2.8","5.8",".121",NA,"0.1","0.8","0.9","1.7","/players/a/aminual01.html"
"14","14","Justin Anderson","SF","25","ATL","48","463","11.2",".516",".490",".223","5.3","13.9","9.5","6.9","2.2","2.4","11.8","17.2",NA,"0.1","0.4","0.4",".043",NA,"-2.6","-0.7","-3.2","-0.1","/players/a/anderju01.html"
