"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","links"
"1","1","Steven Adams","C","26","OKC","3","3","27.3","2.7","8.3",".320","0.0","0.0","","2.7","8.3",".320",".320","0.7","3.3",".200","4.0","7.3","11.3","1.7","0.7","0.3","1.3","2.3","6.0","/players/a/adamsst01.html"
"2","2","Bam Adebayo","C","22","MIA","3","3","31.3","4.7","8.7",".538","0.0","0.7",".000","4.7","8.0",".583",".538","6.0","9.0",".667","2.7","8.3","11.0","5.3","1.0","1.3","3.7","2.7","15.3","/players/a/adebaba01.html"
"3","3","LaMarcus Aldridge","C","34","SAS","2","2","34.0","9.0","16.0",".563","1.5","2.0",".750","7.5","14.0",".536",".609","5.0","6.0",".833","3.5","5.0","8.5","2.0","0.5","1.5","3.5","2.0","24.5","/players/a/aldrila01.html"
"4","4","Nickeil Alexander-Walker","SG","21","NOP","3","0","13.0","1.3","7.7",".174","1.0","4.7",".214","0.3","3.0",".111",".239","0.0","0.0","","0.3","1.7","2.0","2.7","0.7","0.0","1.0","1.7","3.7","/players/a/alexani01.html"
"5","5","Grayson Allen","SG","24","MEM","3","0","17.7","1.7","6.0",".278","1.0","3.7",".273","0.7","2.3",".286",".361","1.3","2.0",".667","0.0","1.3","1.3","2.0","0.0","0.0","0.7","2.3","5.7","/players/a/allengr01.html"
"6","6","Jarrett Allen","C","21","BRK","3","2","29.7","3.3","6.0",".556","0.0","0.0","","3.3","6.0",".556",".556","1.3","2.7",".500","3.3","7.7","11.0","1.3","0.7","1.7","1.3","2.7","8.0","/players/a/allenja01.html"
"7","7","Al-Farouq Aminu","PF","29","ORL","2","0","25.5","0.5","4.0",".125","0.5","1.0",".500","0.0","3.0",".000",".188","1.5","3.0",".500","2.0","3.5","5.5","0.0","0.5","0.0","0.5","2.0","3.0","/players/a/aminual01.html"
"8","8","Kyle Anderson","SF","26","MEM","3","0","21.7","3.3","5.3",".625","0.3","0.7",".500","3.0","4.7",".643",".656","1.7","2.7",".625","1.3","4.3","5.7","2.0","1.3","1.0","0.3","2.0","8.7","/players/a/anderky01.html"
"9","9","Giannis Antetokounmpo","PF","25","MIL","2","2","32.5","11.5","19.0",".605","1.0","5.0",".200","10.5","14.0",".750",".632","5.5","10.0",".550","1.5","13.5","15.0","10.0","2.0","1.5","5.5","6.0","29.5","/players/a/antetgi01.html"
"10","10","Kostas Antetokounmpo","PF","22","LAL","2","0","1.5","0.0","0.0","","0.0","0.0","","0.0","0.0","","","0.0","0.0","","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.0","/players/a/antetko01.html"
"11","11","OG Anunoby","SF","22","TOR","3","3","33.0","5.3","9.3",".571","1.7","4.0",".417","3.7","5.3",".688",".661","0.0","0.3",".000","2.0","5.0","7.0","0.7","0.3","2.3","1.3","3.3","12.3","/players/a/anunoog01.html"
"12","12","Ryan Arcidiacono","PG","25","CHI","3","0","14.3","1.3","2.0",".667","1.0","1.0","1.000","0.3","1.0",".333",".917","0.3","0.3","1.000","1.3","1.3","2.7","1.7","0.7","0.0","0.0","1.0","4.0","/players/a/arcidry01.html"
"13","13","Trevor Ariza","SF","34","SAC","3","0","22.0","0.7","3.7",".182","0.3","2.3",".143","0.3","1.3",".250",".227","0.7","0.7","1.000","0.7","2.3","3.0","0.7","0.7","0.0","0.7","1.7","2.3","/players/a/arizatr01.html"
"14","14","D.J. Augustin","PG","32","ORL","2","2","24.0","4.5","10.0",".450","0.5","1.5",".333","4.0","8.5",".471",".475","2.0","2.0","1.000","1.0","1.5","2.5","4.5","0.0","0.0","0.5","0.0","11.5","/players/a/augusdj01.html"
"15","15","Deandre Ayton","C","21","PHO","1","1","33.0","9.0","14.0",".643","0.0","0.0","","9.0","14.0",".643",".643","0.0","0.0","","3.0","8.0","11.0","0.0","1.0","4.0","0.0","2.0","18.0","/players/a/aytonde01.html"
"16","16","Dwayne Bacon","SG","24","CHO","3","3","30.3","6.0","15.7",".383","1.0","4.7",".214","5.0","11.0",".455",".415","2.0","3.7",".545","1.0","4.0","5.0","2.3","0.7","0.0","1.3","3.3","15.0","/players/b/bacondw01.html"
"17","17","Marvin Bagley","PF","20","SAC","1","1","28.0","6.0","16.0",".375","0.0","0.0","","6.0","16.0",".375",".375","2.0","4.0",".500","4.0","6.0","10.0","0.0","1.0","1.0","1.0","1.0","14.0","/players/b/baglema01.html"
"18","18","Lonzo Ball","PG","22","NOP","3","3","31.3","4.7","12.0",".389","3.0","8.0",".375","1.7","4.0",".417",".514","1.3","2.0",".667","0.3","4.7","5.0","6.7","1.7","0.0","1.0","2.3","13.7","/players/b/balllo01.html"
"19","19","Mo Bamba","C","21","ORL","2","0","13.5","2.0","4.0",".500","0.5","2.0",".250","1.5","2.0",".750",".563","0.0","0.0","","1.0","5.0","6.0","0.5","0.5","0.5","0.5","0.5","4.5","/players/b/bambamo01.html"
"20","20","Harrison Barnes","SF","27","SAC","3","3","28.7","4.3","8.7",".500","1.0","2.0",".500","3.3","6.7",".500",".558","1.0","1.7",".600","1.0","3.7","4.7","1.0","1.0","0.0","1.3","1.3","10.7","/players/b/barneha02.html"
"22","21","RJ Barrett","SG","19","NYK","3","3","36.3","8.3","16.3",".510","2.3","4.3",".538","6.0","12.0",".500",".582","2.0","4.7",".429","1.0","4.0","5.0","2.7","2.7","0.0","4.3","3.3","21.0","/players/b/barrerj01.html"
"23","22","Will Barton","SG","29","DEN","2","2","26.0","2.0","7.0",".286","1.5","3.5",".429","0.5","3.5",".143",".393","6.5","7.0",".929","0.5","2.5","3.0","1.0","1.5","2.0","0.5","0.5","12.0","/players/b/bartowi01.html"
"24","23","Nicolas Batum","SF","31","CHO","1","0","11.0","0.0","0.0","","0.0","0.0","","0.0","0.0","","","0.0","0.0","","1.0","3.0","4.0","2.0","0.0","0.0","2.0","2.0","0.0","/players/b/batumni01.html"
"25","24","Aron Baynes","C","33","PHO","3","2","20.7","4.0","7.3",".545","1.0","2.7",".375","3.0","4.7",".643",".614","2.3","2.7",".875","2.0","3.7","5.7","2.3","0.3","0.7","1.3","4.7","11.3","/players/b/baynear01.html"
"26","25","Kent Bazemore","SF","30","POR","3","0","26.0","3.0","7.3",".409","0.7","2.7",".250","2.3","4.7",".500",".455","1.3","1.7",".800","0.3","4.7","5.0","2.0","1.7","0.7","1.3","3.7","8.0","/players/b/bazemke01.html"
"27","26","Darius Bazley","PF","19","OKC","3","0","20.3","1.3","3.0",".444","0.3","1.0",".333","1.0","2.0",".500",".500","0.3","0.7",".500","0.0","4.0","4.0","0.7","0.3","0.3","1.7","1.0","3.3","/players/b/bazleda01.html"
"28","27","Bradley Beal","SG","26","WAS","3","3","35.0","7.3","24.0",".306","2.3","10.0",".233","5.0","14.0",".357",".354","3.3","4.7",".714","0.3","5.3","5.7","7.7","1.3","0.7","2.7","3.0","20.3","/players/b/bealbr01.html"
"29","28","Malik Beasley","SG","23","DEN","2","0","21.0","4.5","8.5",".529","2.0","4.0",".500","2.5","4.5",".556",".647","0.5","0.5","1.000","1.0","1.5","2.5","1.0","1.0","0.0","1.5","2.0","11.5","/players/b/beaslma01.html"
"30","29","Marco Belinelli","SG","33","SAS","2","0","15.0","1.0","3.5",".286","0.0","2.0",".000","1.0","1.5",".667",".286","0.5","1.0",".500","0.0","1.0","1.0","2.0","0.0","0.0","0.5","0.5","2.5","/players/b/belinma01.html"
"31","30","Jordan Bell","PF","25","MIN","1","0","5.0","2.0","2.0","1.000","0.0","0.0","","2.0","2.0","1.000","1.000","0.0","0.0","","1.0","4.0","5.0","0.0","0.0","0.0","0.0","1.0","4.0","/players/b/belljo01.html"
"32","31","DeAndre' Bembry","SG","25","ATL","2","0","24.5","4.0","7.0",".571","0.0","1.5",".000","4.0","5.5",".727",".571","0.5","1.0",".500","1.5","3.0","4.5","2.0","1.5","0.0","0.5","2.0","8.5","/players/b/bembrde01.html"
"33","32","Davis Bertans","PF","27","WAS","3","0","29.7","4.7","9.0",".519","3.3","6.7",".500","1.3","2.3",".571",".704","1.7","2.0",".833","0.0","3.0","3.0","1.0","0.7","0.3","1.0","2.7","14.3","/players/b/bertada01.html"
"34","33","Patrick Beverley","PG","31","LAC","3","3","29.7","2.3","6.3",".368","0.7","4.3",".154","1.7","2.0",".833",".421","0.7","1.3",".500","1.3","5.7","7.0","3.3","2.3","0.3","2.0","4.3","6.0","/players/b/beverpa01.html"
"35","34","Goga Bitadze","C","20","IND","1","0","4.0","1.0","1.0","1.000","0.0","0.0","","1.0","1.0","1.000","1.000","0.0","0.0","","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","/players/b/bitadgo01.html"
"36","35","Bismack Biyombo","C","27","CHO","2","1","11.5","1.5","2.5",".600","0.0","0.0","","1.5","2.5",".600",".600","1.0","3.0",".333","0.5","2.0","2.5","1.5","0.0","0.5","1.0","2.0","4.0","/players/b/biyombi01.html"
"37","36","Nemanja Bjelica","PF","31","SAC","3","2","22.0","2.7","5.3",".500","1.0","2.7",".375","1.7","2.7",".625",".594","0.7","0.7","1.000","1.3","3.3","4.7","1.3","1.0","0.0","1.3","1.7","7.0","/players/b/bjeline01.html"
"38","37","Eric Bledsoe","PG","30","MIL","2","2","24.5","3.5","10.0",".350","1.0","3.0",".333","2.5","7.0",".357",".400","2.5","3.5",".714","0.0","4.0","4.0","2.0","0.5","0.0","2.0","4.0","10.5","/players/b/bledser01.html"
"39","38","Bogdan Bogdanovic","SG","27","SAC","3","0","25.0","3.0","9.3",".321","1.7","4.0",".417","1.3","5.3",".250",".411","1.7","2.3",".714","0.0","1.7","1.7","2.3","1.0","0.0","1.0","2.3","9.3","/players/b/bogdabo01.html"
"40","39","Bojan Bogdanovic","SF","30","UTA","2","2","24.0","8.0","16.0",".500","3.0","7.0",".429","5.0","9.0",".556",".594","2.0","2.0","1.000","0.0","3.5","3.5","0.5","1.0","0.0","0.5","2.5","21.0","/players/b/bogdabo02.html"
"41","40","Isaac Bonga","SF","20","WAS","3","3","24.3","2.7","4.3",".615","0.3","1.0",".333","2.3","3.3",".700",".654","0.7","1.3",".500","0.7","4.3","5.0","2.7","1.3","0.3","0.3","4.0","6.3","/players/b/bongais01.html"
