Unnamed: 0,No.,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College,TEAM,MPG
1,10,PG,6-2,190,"May 4, 1996",us,R,St. Bonaventure,ATL,
2,1,SF,6-6,230,"November 19, 1993",us,3,Virginia,ATL,
3,24,SG,6-5,201,"July 1, 1989",us,6,Old Dominion,ATL,
4,95,SG,6-6,210,"July 4, 1994",us,2,Saint Joseph's,ATL,
5,15,PF,6-6,220,"January 26, 1977",us,20,UNC,ATL,
6,20,PF,6-10,235,"September 23, 1997",us,1,Wake Forest,ATL,
7,4,C,6-11,237,"December 2, 1996",us,2,Michigan State,ATL,
8,14,C,7-0,245,"August 12, 1989",us,5,USC,ATL,
9,2,SG,6-5,183,"February 18, 1996",us,1,Oregon,ATL,
10,5,SG,6-7,195,"August 8, 1995",us,1,UConn,ATL,
11,3,SG,6-7,190,"August 27, 1998",us,R,Maryland,ATL,
12,8,C,7-0,255,"January 5, 1998",au,R,Kentucky,ATL,
13,5,SF,6-7,200,"December 21, 1995",us,R,"Syracuse, La Salle",ATL,
14,25,C,7-1,250,"June 16, 1993",ua,5,Maryland,ATL,
15,7,PG,6-3,200,"August 23, 1988",us,8,Harvard University,ATL,
16,18,C,6-11,249,"September 1, 1988",us,6,Duke,ATL,
17,22,PF,6-9,235,"September 6, 1993",us,2,Kentucky,ATL,
18,8,SG,6-4,187,"August 1, 1992",us,R,"Ohio State, Dayton",ATL,
19,6,PF,6-9,245,"July 21, 1997",us,R,Villanova,ATL,
20,12,SF,6-8,220,"March 22, 1994",us,2,Baylor,ATL,
21,11,PG,6-2,180,"September 19, 1998",us,R,Oklahoma,ATL,
22,45,C,7-0,253,"January 17, 1990",us,6,UNC,ATL,
1,46,C,6-10,260,"December 9, 1986",nz,6,Washington State,BOS,
2,7,SG,6-7,220,"October 24, 1996",us,2,Cal,BOS,
3,50,SG,6-6,205,"October 25, 1996",us,1,South Carolina,BOS,
4,20,PF,6-8,225,"March 23, 1990",us,8,Butler,BOS,
5,42,C,6-10,245,"June 3, 1986",do,11,Florida,BOS,
6,28,SG,6-5,185,"October 24, 1993",us,3,Georgia State University,BOS,
7,11,PG,6-3,193,"March 23, 1992",au,7,Duke,BOS,
8,55,C,6-11,265,"June 4, 1990",us,8,Georgetown,BOS,
9,13,PF,6-9,235,"September 2, 1989",us,7,Kansas,BOS,
10,37,PF,6-7,241,"December 5, 1994",us,1,SMU,BOS,
11,12,PG,6-1,190,"March 17, 1994",us,3,Louisville,BOS,
12,36,SG,6-4,220,"March 6, 1994",us,4,Oklahoma State,BOS,
13,0,SF,6-8,208,"March 3, 1998",us,1,Duke,BOS,
14,27,C,6-8,243,"April 4, 1992",de,1,,BOS,
15,9,PG,6-4,210,"July 25, 1989",us,R,Pitt,BOS,
16,44,C,6-10,240,"October 17, 1997",us,R,Texas A&M,BOS,
17,30,PF,6-8,260,"December 17, 1995",fr,1,,BOS,
1,31,C,6-11,237,"April 21, 1998",us,1,Texas,BRK,
2,9,PF,6-8,215,"July 27, 1986",us,9,"Vanderbilt, Missouri",BRK,
3,33,SG,6-6,212,"April 9, 1992",us,5,Cal,BRK,
4,55,SF,6-5,216,"April 27, 1992",au,R,,BRK,
5,17,C,6-10,225,"June 5, 1989",us,8,UNC,BRK,
6,8,PG,6-6,210,"April 6, 1993",us,4,Colorado,BRK,
7,6,PF,6-7,237,"July 10, 1985",us,11,Boston College,BRK,
8,35,C,6-8,220,"November 19, 1989",us,7,Morehead State University,BRK,
9,21,SG,6-5,225,"October 28, 1993",us,2,Virginia Commonwealth,BRK,
10,12,SG,6-6,218,"September 6, 1991",us,4,Virginia,BRK,
11,24,SF,6-7,217,"January 3, 1995",us,3,Arizona,BRK,
12,0,SF,6-9,210,"February 5, 1998",lv,R,,BRK,
13,22,SF,6-7,204,"August 25, 1994",us,2,Michigan,BRK,
14,0,SG,6-5,195,"August 17, 1994",us,R,Tennessee State,BRK,
15,30,SG,6-9,208,"May 8, 1999",ba,R,,BRK,
16,13,PG,6-1,180,"July 14, 1991",us,4,UConn,BRK,
17,10,SG,6-6,218,"November 5, 1995",us,R,UNC,BRK,
18,1,PG,6-5,198,"February 23, 1996",us,3,Ohio State,BRK,
19,15,PF,6-8,265,"January 28, 1993",us,3,"University of California, Santa Barbara",BRK,
1,20,SG,6-5,225,"October 29, 1997",us,R,Arizona,CHI,
2,51,PG,6-3,200,"March 26, 1994",us,1,Villanova,CHI,
3,9,SG,6-4,192,"October 4, 1996",us,1,LSU,CHI,
4,34,C,6-10,255,"April 16, 1999",us,R,Duke,CHI,
5,32,PG,6-4,205,"March 18, 1994",us,2,Providence,CHI,
6,6,C,6-10,265,"July 7, 1992",br,3,,CHI,
7,3,PG,6-4,190,"October 6, 1993",us,1,Tulsa,CHI,
8,7,SG,6-6,181,"April 5, 1989",us,5,Washington,CHI,
9,15,SF,6-7,197,"April 26, 1996",us,R,Boise State,CHI,
10,8,SG,6-5,200,"March 10, 1995",us,4,UCLA,CHI,
11,25,PG,6-3,180,"July 26, 1992",us,1,Bradley,CHI,
12,42,C,7-0,275,"April 1, 1988",us,10,Stanford,CHI,
13,7,SF,6-6,210,"May 9, 1995",fr,2,,CHI,
