Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,James Harden,SG,HOU,12600.0,85.9,57.6,0
1,Andre Drummond,C1B,DET,10200.0,79.14,44.2,0
2,Giannis Antetokounmpo,SF,MIL,12900.0,61.12,0.0,0
3,Kyrie Irving,PG,BOS,9000.0,43.34,61.7,0
4,Tyreke Evans,SF,IND,4300.0,41.58,22.4,0
5,Eric Bledsoe,PG,MIL,7600.0,27.86,51.8,0
6,Cory Joseph,PG,IND,4300.0,25.54,10.2,0
7,Jaylen Brown,SG,BOS,4600.0,22.78,17.3,0
8,Khris Middleton,SG,MIL,7100.0,22.68,43.0,0
9,Royce O'Neale,SF,UTA,3500.0,21.28,25.4,0
10,DJ Wilson,PF,MIL,4000.0,21.08,0.0,0
11,Bojan Bogdanovic,SF,IND,6200.0,19.72,47.1,0
12,Donovan Mitchell,SG,UTA,8800.0,19.44,23.2,0
13,Marcus Morris,PF,BOS,5100.0,17.72,3.8,0
14,Thaddeus Young,PF,IND,6400.0,17.04,38.7,0
15,Jayson Tatum,PF,BOS,6900.0,16.94,34.8,0
16,Gordon Hayward,SF,BOS,6400.0,16.26,17.0,0
17,Brook Lopez,C1B,MIL,6100.0,15.77,18.7,0
18,Joe Ingles,SF,UTA,6800.0,15.56,24.2,0
19,Reggie Jackson,PG,DET,5100.0,14.78,32.6,0
20,Terry Rozier,PG,BOS,4000.0,14.44,18.2,0
21,Chris Paul,PG,HOU,8300.0,13.88,32.3,0
22,Sterling Brown,SG,MIL,4500.0,13.26,14.1,0
23,Derrick Favors,PF,UTA,7000.0,12.1,39.4,0
24,Thon Maker,C1B,DET,3600.0,11.64,17.9,0
25,TJ Leaf,PF,IND,3500.0,11.24,0.0,0
26,Pat Connaughton,SG,MIL,4600.0,10.64,45.3,0
27,Ish Smith,PG,DET,4300.0,10.54,20.7,0
28,Ricky Rubio,PG,UTA,6500.0,10.3,45.3,0
29,Daniel Theis,PF,BOS,3500.0,10.04,9.4,0
30,Eric Gordon,SG,HOU,4500.0,9.98,25.2,0
31,Jae Crowder,SF,UTA,4600.0,9.34,17.9,0
32,Georges Niang,PF,UTA,3500.0,9.22,13.1,0
33,Wayne Ellington,SG,DET,4500.0,9.2,17.8,0
34,Domantas Sabonis,PF,IND,6400.0,9.0,20.5,0
35,Kenneth Faried,PF,HOU,3900.0,8.5,19.9,0
36,PJ Tucker,PF,HOU,4600.0,8.32,0.0,0
37,George Hill,PG,MIL,4200.0,8.0,18.9,0
38,Ekpe Udoh,C1B,UTA,3600.0,7.99,0.0,0
39,Wesley Matthews,SG,IND,3800.0,7.36,15.1,0
40,Kyle O'Quinn,C1B,IND,3500.0,7.08,0.0,0
41,Myles Turner,C1B,IND,6500.0,7.03,18.6,0
42,Edmond Sumner,PG,IND,3500.0,6.98,0.0,0
43,Ersan Ilyasova,PF,MIL,3500.0,6.88,22.5,0
44,Clint Capela,C1B,HOU,8700.0,6.68,31.5,0
45,Nene Nene,C1B,HOU,3600.0,6.39,0.0,0
46,Darren Collison,PG,IND,5000.0,6.04,16.9,0
47,Thabo Sefolosha,SF,UTA,3700.0,5.8,6.3,0
48,Rudy Gobert,C1B,UTA,9400.0,5.79,32.9,0
49,Danuel House,SF,HOU,4200.0,5.46,14.8,0
50,Aaron Holiday,SG,IND,3500.0,5.42,2.0,0
51,Khyri Thomas,SG,DET,3500.0,5.38,3.0,0
52,Al Horford,C1B,BOS,7300.0,4.65,25.0,0
53,Brad Wanamaker,PG,BOS,3500.0,4.64,0.0,0
54,Nikola Mirotic,SF,MIL,4300.0,4.54,7.1,0
55,Luke Kennard,SG,DET,4100.0,4.2,29.8,0
56,Tim Frazier,PG,MIL,3600.0,4.16,0.0,0
57,Grayson Allen,SG,UTA,3900.0,3.54,10.2,0
58,Aron Baynes,C1B,BOS,4200.0,3.37,12.4,0
59,Doug McDermott,SF,IND,3500.0,3.26,8.2,0
60,Langston Galloway,SG,DET,3500.0,2.44,16.4,0
61,Austin Rivers,SG,HOU,3600.0,1.72,10.7,0
62,Gerald Green,SF,HOU,3500.0,1.46,6.0,0
63,Jon Leuer,PF,DET,3500.0,1.36,0.0,0
64,Raul Neto,PG,UTA,3900.0,1.14,2.0,0
65,Kyle Korver,SG,UTA,3700.0,1.12,1.2,0
