Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,9700.0,65.38,0
1,Damian Lillard,PG,POR,10000.0,52.06,0
2,Maurice Harkless,SF,POR,5400.0,51.84,0
3,CJ McCollum,SG,POR,8400.0,43.9,0
4,Paul Millsap,PF,DEN,4800.0,40.12,0
5,Tobias Harris,PF,PHI,8500.0,39.48,0
6,Pascal Siakam,PF,TOR,8300.0,38.36,0
7,Kyle Lowry,PG,TOR,7500.0,36.04,0
8,Ben Simmons,PG,PHI,9400.0,34.5,0
9,Al-Farouq Aminu,PF,POR,5500.0,33.14,0
10,Jamal Murray,PG,DEN,7700.0,33.06,0
11,Jimmy Butler,SG,PHI,7200.0,32.52,0
12,Gary Harris,SG,DEN,4800.0,32.26,0
13,JJ Redick,SF,PHI,4500.0,31.94,0
14,Nikola Jokic,C1B,DEN,11300.0,28.3,0
15,Danny Green,SG,TOR,4600.0,22.18,0
16,Enes Kanter,C1B,POR,6700.0,20.45,0
17,Serge Ibaka,PF,TOR,5300.0,20.22,0
18,Will Barton,SF,DEN,4500.0,19.12,0
19,Fred VanVleet,PG,TOR,4200.0,17.44,0
20,Joel Embiid,C1B,PHI,11000.0,17.27,0
21,Marc Gasol,C1B,TOR,5600.0,15.78,0
22,Norman Powell,SF,TOR,4300.0,13.48,0
23,Boban Marjanovic,C1B,PHI,4600.0,13.16,0
24,Rodney Hood,SF,POR,3500.0,12.92,0
25,Torrey Craig,SG,DEN,4900.0,11.58,0
26,Monte Morris,SG,DEN,4100.0,9.96,0
27,Greg Monroe,C1B,PHI,3700.0,9.37,0
28,James III,SF,PHI,3500.0,7.8,0
29,Malik Beasley,SG,DEN,3600.0,7.4,0
30,Zach Collins,PF,POR,3800.0,6.72,0
31,TJ McConnell,PG,PHI,3500.0,5.9,0
32,Mason Plumlee,C1B,DEN,3600.0,4.5,0
33,Evan Turner,SF,POR,3500.0,3.8,0
34,Meyers Leonard,PF,POR,3500.0,3.04,0
35,Seth Curry,PG,POR,3500.0,2.96,0
36,Jonah Bolden,PF,PHI,3500.0,2.82,0
37,Furkan Korkmaz,SG,PHI,3500.0,2.38,0
38,Jonathon Simmons,SF,PHI,3500.0,1.52,0
