Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Anthony Davis,PF,NO,12600.0,25.24,85.4,2.8
1,Derrick Rose,PG,MIN,7500.0,20.38,46.1,-1.0
2,Fred VanVleet,PG,TOR,5500.0,20.14,21.2,-1.0
3,Delon Wright,SG,TOR,3800.0,16.56,19.6,-1.0
4,Devin Booker,SG,PHO,9500.0,15.8,55.4,-1.0
5,Rodions Kurucs,PF,BKN,6300.0,15.62,10.6,-1.0
6,Kawhi Leonard,SF,TOR,10300.0,15.6,31.7,2.3
7,Larry Jr,PF,CLE,7100.0,15.18,0.0,1.1
8,Ivica Zubac,C1B,LAL,6500.0,13.99,14.9,-1.0
9,Russell Westbrook,PG,OKC,11500.0,13.88,60.4,2.7
10,Kris Dunn,PG,CHI,7600.0,13.34,0.0,-1.0
11,Kyle Kuzma,PF,LAL,7200.0,13.34,41.3,1.7
12,Victor Oladipo,SG,IND,8700.0,12.96,27.5,-1.0
13,Jrue Holiday,SG,NO,9400.0,12.9,42.4,2.0
14,Lauri Markkanen,PF,CHI,7400.0,12.78,30.8,-1.0
15,Trevor Ariza,SF,WAS,6100.0,12.32,18.1,-1.0
16,Pascal Siakam,PF,TOR,6600.0,12.3,9.8,1.5
17,Robert Covington,SF,MIN,6500.0,11.82,51.4,-1.0
18,Nikola Vucevic,C1B,ORL,9100.0,11.04,72.8,1.9
19,Lonzo Ball,PG,LAL,6500.0,10.18,33.0,-1.0
20,OG Anunoby,SF,TOR,3700.0,10.06,11.9,-1.0
21,Bradley Beal,SG,WAS,8400.0,10.04,52.9,2.0
22,Blake Griffin,PF,DET,9400.0,9.94,26.9,1.7
23,Lou Williams,SG,LAC,6200.0,9.76,47.9,1.7
24,D'Angelo Russell,SG,BKN,6800.0,9.72,41.8,-1.0
25,Luka Doncic,SG,DAL,8500.0,9.64,36.9,-1.0
26,TJ Warren,SF,PHO,7000.0,9.5,18.4,-1.0
27,Brandon Ingram,SF,LAL,6800.0,9.42,24.4,-1.0
28,Mohamed Bamba,C1B,ORL,3800.0,9.39,12.8,-1.0
29,Rudy Gay,SF,SA,6000.0,8.88,19.9,1.4
30,Serge Ibaka,PF,TOR,6600.0,8.88,41.1,1.4
31,Bojan Bogdanovic,SF,IND,5500.0,8.44,21.0,1.4
32,Joe Harris,SF,BKN,5300.0,8.3,9.6,-1.0
33,Alec Burks,SG,CLE,4400.0,8.26,29.7,-1.0
34,Darren Collison,PG,IND,5300.0,8.22,38.1,1.0
35,Tobias Harris,PF,LAC,7500.0,8.2,24.5,-1.0
36,John Collins,PF,ATL,8200.0,8.08,37.0,-1.0
