Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,12000.0,37.44,55.7,2.8
1,Kevin Durant,SF,GS,9800.0,24.8,31.1,2.1
2,Jrue Holiday,SG,NO,9400.0,22.52,53.3,1.9
3,Monte Morris,SG,DEN,6500.0,21.66,8.5,-1.0
4,Ben Simmons,PG,PHI,9300.0,18.6,16.8,1.8
5,Tobias Harris,PF,PHI,7000.0,17.98,31.1,-1.0
6,Stephen Curry,PG,GS,9200.0,17.38,42.9,1.9
7,Kenrich Williams,PF,NO,5500.0,15.6,31.2,-1.0
8,Joel Embiid,C1B,PHI,11900.0,15.15,0.0,2.8
9,Dwight Powell,PF,DAL,6000.0,14.54,25.6,-1.0
10,Nikola Jokic,C1B,DEN,11200.0,14.22,59.0,2.2
11,Lauri Markkanen,PF,CHI,8100.0,14.16,55.6,-1.0
12,Andrew Wiggins,SG,MIN,6000.0,13.48,49.5,1.7
13,De'Aaron Fox,PG,SAC,7500.0,13.44,29.9,-1.0
14,Bobby Portis,PF,WAS,6500.0,13.42,41.2,-1.0
15,Will Barton,SF,DEN,5200.0,13.36,32.1,-1.0
16,Luka Doncic,SG,DAL,10000.0,13.32,24.6,-1.0
17,Trey Burke,PG,DAL,5000.0,12.62,34.5,-1.0
18,Richaun Holmes,PF,PHO,3700.0,12.54,13.8,-1.0
19,Marvin III,PF,SAC,6700.0,12.44,12.4,1.6
20,Bradley Beal,SG,WAS,9400.0,12.3,51.7,2.2
21,D'Angelo Russell,SG,BKN,8800.0,12.28,36.2,-1.0
22,Karl-Anthony Towns,C1B,MIN,11200.0,12.27,51.1,2.3
23,Maxi Kleber,PF,DAL,5300.0,12.2,22.6,-1.0
24,Darius Miller,SF,NO,4800.0,12.04,11.9,-1.0
25,Malik Beasley,SG,DEN,4800.0,12.02,13.6,-1.0
26,Harrison Barnes,SF,SAC,5500.0,11.86,22.4,-1.0
27,Shabazz Napier,PG,BKN,5700.0,11.1,0.7,-1.0
28,Josh Jackson,PF,PHO,6900.0,11.06,37.1,-1.0
29,Frank Jackson,PG,NO,3700.0,10.86,16.6,-1.0
30,Kelly Jr,SF,PHO,6700.0,10.62,0.0,-1.0
31,Jalen Brunson,PG,DAL,4900.0,10.46,12.1,-1.0
32,Blake Griffin,PF,DET,9000.0,10.3,36.2,2.1
33,Buddy Hield,SG,SAC,6500.0,10.02,36.9,1.7
34,Tomas Satoransky,PG,WAS,6800.0,9.68,0.0,-1.0
35,DeMarcus Cousins,C1B,GS,7500.0,9.41,35.0,-1.0
36,Eric Bledsoe,PG,MIL,7800.0,8.66,30.1,-1.0
37,Andre Drummond,C1B,DET,10000.0,8.41,67.0,2.0
38,Draymond Green,PF,GS,6700.0,8.4,21.3,0.9
39,Klay Thompson,SG,GS,7000.0,8.3,45.2,-1.0
40,Jeff Green,PF,WAS,5900.0,7.84,31.6,-1.0
41,Jamal Murray,PG,DEN,6700.0,7.58,40.0,1.7
42,Justise Winslow,SF,MIA,5800.0,7.58,27.0,1.4
43,Larry Jr,PF,CLE,6500.0,7.5,0.0,1.3
44,Julius Randle,PF,NO,8300.0,7.42,32.1,-1.0
45,Mason Plumlee,C1B,DEN,5800.0,7.42,30.6,-1.0
46,Jimmy Butler,SG,PHI,8200.0,7.24,46.9,-1.0
47,Kevin Knox,SF,NY,5000.0,7.2,9.4,-1.0
48,Reggie Jackson,PG,DET,6800.0,7.12,30.4,-1.0
49,Zach LaVine,SG,CHI,7800.0,6.88,42.1,-1.0
50,Kris Dunn,PG,CHI,7100.0,6.88,33.5,-1.0
51,Noah Vonleh,PF,NY,4800.0,6.78,0.0,0.8
52,Otto Jr,SF,CHI,6900.0,6.74,0.0,-1.0
53,Tim Frazier,PG,NO,4100.0,6.6,40.8,-1.0
54,Kelly Olynyk,PF,MIA,4400.0,6.46,17.5,-1.0
55,Josh Richardson,SF,MIA,6600.0,6.4,36.4,1.4
56,Zaza Pachulia,C1B,DET,3600.0,6.32,12.4,-1.0
