Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Donovan Mitchell,SG,UTA,9000.0,31.62,36.4,-1.0
1,Anthony Davis,PF,NO,13800.0,31.48,40.4,2.7
2,Royce O'Neale,SF,UTA,4900.0,25.94,39.7,-1.0
3,Kyrie Irving,PG,BOS,9600.0,24.46,62.9,2.0
4,Stephen Curry,PG,GS,10400.0,18.76,45.0,2.0
5,Marcus Morris,PF,BOS,4900.0,16.4,20.2,-1.0
6,Kevin Durant,SF,GS,10600.0,16.18,46.9,2.0
7,Jae Crowder,SF,UTA,5200.0,15.36,24.0,-1.0
8,Jaylen Brown,SG,BOS,4400.0,15.3,23.7,-1.0
9,Rudy Gobert,C1B,UTA,10500.0,13.85,53.5,1.7
10,Joe Ingles,SF,UTA,6400.0,12.92,18.2,-1.0
11,D'Angelo Russell,SG,BKN,7700.0,12.9,54.9,-1.0
12,Karl-Anthony Towns,C1B,MIN,10900.0,12.33,28.7,2.2
13,Nikola Vucevic,C1B,ORL,9500.0,12.24,48.4,2.1
14,Josh Okogie,SG,MIN,4300.0,11.68,18.9,-1.0
15,Alec Burks,SG,CLE,5000.0,11.5,21.2,-1.0
16,Terry Rozier,PG,BOS,4500.0,11.4,16.2,-1.0
17,Shabazz Napier,PG,BKN,3700.0,10.82,25.8,-1.0
18,Draymond Green,PF,GS,7600.0,10.82,38.1,0.8
19,LaMarcus Aldridge,PF,SA,8200.0,10.56,43.8,-1.0
20,Danilo Gallinari,SF,LAC,7200.0,10.42,7.6,1.6
21,DJ Augustin,PG,ORL,5000.0,10.38,0.0,-1.0
22,Derrick White,PG,SA,5900.0,10.2,24.7,-1.0
23,Blake Griffin,PF,DET,9800.0,9.88,56.7,2.0
24,Dario Saric,PF,MIN,3900.0,9.56,0.0,-1.0
25,Aaron Gordon,PF,ORL,7200.0,9.5,34.3,1.6
26,Gordon Hayward,SF,BOS,5400.0,9.36,17.6,1.2
27,Montrezl Harrell,PF,LAC,8000.0,9.26,24.3,1.5
28,Spencer Dinwiddie,PG,BKN,6000.0,9.06,22.9,1.7
29,Jordan Clarkson,SG,CLE,5300.0,8.96,20.4,-1.0
30,Tobias Harris,PF,LAC,7800.0,8.82,37.8,-1.0
31,Andre Drummond,C1B,DET,9600.0,8.69,6.6,1.8
32,Elfrid Payton,PG,NO,5800.0,8.36,12.1,-1.0
33,Jeff Teague,PG,MIN,6200.0,8.22,27.4,-1.0
34,Bryn Forbes,PG,SA,4400.0,8.2,13.9,-1.0
35,Hassan Whiteside,C1B,MIA,7300.0,8.02,0.0,-1.0
36,Patty Mills,PG,SA,4300.0,8.0,16.2,-1.0
37,Taj Gibson,PF,MIN,4500.0,7.96,36.7,-1.0
38,Andrew Wiggins,SG,MIN,6700.0,7.86,22.5,1.7
39,Reggie Jackson,PG,DET,5400.0,7.64,17.0,-1.0
40,JaMychal Green,PF,MEM,5600.0,7.6,26.3,-1.0
41,Bam Adebayo,PF,MIA,5100.0,7.52,18.7,-1.0
42,Jrue Holiday,SG,NO,8800.0,7.5,32.4,2.2
43,Evan Turner,SF,POR,4200.0,7.48,30.7,-1.0
44,Jayson Tatum,PF,BOS,6500.0,7.48,16.2,1.4
45,Rodions Kurucs,PF,BKN,4400.0,7.48,8.9,-1.0
46,Damian Lillard,PG,POR,9800.0,7.28,43.0,2.1
47,E'Twaun Moore,SF,NO,4200.0,7.02,19.4,-1.0
48,CJ McCollum,SG,POR,6700.0,6.98,37.7,1.7
49,Cedi Osman,SF,CLE,4700.0,6.94,15.9,-1.0
50,Jusuf Nurkic,C1B,POR,9000.0,6.73,40.9,-1.0
51,Klay Thompson,SG,GS,7200.0,6.66,27.8,-1.0
52,Collin Sexton,PG,CLE,4800.0,6.6,19.8,-1.0
53,Jarrett Allen,C1B,BKN,7200.0,6.14,35.0,1.0
54,Kevon Looney,C1B,GS,5500.0,6.14,17.3,-1.0
55,Justise Winslow,SF,MIA,7000.0,6.1,29.8,1.3
56,Dwyane Wade,SG,MIA,5000.0,6.06,31.8,1.7
57,Nikola Mirotic,SF,NO,6200.0,6.0,24.6,-1.0
58,Stanley Johnson,SF,DET,3500.0,5.6,28.2,-1.0
59,Maurice Harkless,SF,POR,4400.0,5.58,17.9,-1.0
60,Evan Fournier,SG,ORL,5900.0,5.3,40.1,-1.0
61,Davis Bertans,SF,SA,4100.0,5.14,21.2,-1.0
62,Mike Conley,PG,MEM,8000.0,5.08,32.0,-1.0
63,Julius Randle,C1B,NO,7800.0,5.01,40.8,-1.0
64,Derrick Favors,PF,UTA,6000.0,4.84,29.0,1.3
65,Rodney Hood,SF,CLE,4300.0,4.84,7.7,-1.0
66,Marc Gasol,C1B,MEM,7200.0,4.77,34.2,-1.0
67,Joe Harris,SF,BKN,5200.0,4.34,18.2,-1.0
68,Ed Davis,PF,BKN,3800.0,4.14,19.3,-1.0
69,DeMarre Carroll,SF,BKN,5000.0,4.08,18.3,-1.0
70,Rudy Gay,SF,SA,5100.0,4.08,35.3,1.5
71,Al Horford,C1B,BOS,6500.0,4.03,23.1,1.4
72,Jaren Jr,PF,MEM,5600.0,4.02,0.0,-1.0
73,Tyler Johnson,PG,MIA,3900.0,4.0,29.5,-1.0
74,Garrett Temple,SG,MEM,3700.0,3.96,20.3,-1.0
75,Reggie Bullock,SG,DET,5000.0,3.9,22.9,-1.0
76,Al-Farouq Aminu,PF,POR,5800.0,3.88,33.6,-1.0
77,DeMarcus Cousins,C1B,GS,4600.0,3.74,30.7,-1.0
78,Andre Iguodala,SG,GS,4500.0,3.54,24.7,-1.0
79,Justin Holiday,SG,MEM,4100.0,3.52,34.2,-1.0
80,Jonathan Isaac,SF,ORL,4400.0,3.42,23.2,-1.0
81,Derrick Jr,SF,MIA,4100.0,3.3,0.0,-1.0
82,Kelly Olynyk,PF,MIA,3700.0,3.18,3.2,-1.0
83,Cameron Payne,PG,CLE,3700.0,3.06,29.3,-1.0
84,Luol Deng,SF,MIN,3500.0,3.0,0.0,0.0
85,Patrick Beverley,PG,LAC,4300.0,2.98,14.9,-1.0
86,Shelvin Mack,PG,MEM,4100.0,2.92,31.1,-1.0
87,Kyle Korver,SG,UTA,4200.0,2.92,10.9,-1.0
88,Zach Collins,PF,POR,3600.0,2.78,21.8,-1.0
89,James Johnson,PF,MIA,3700.0,2.6,17.1,-1.0
90,Marcus Smart,SG,BOS,5100.0,2.6,41.7,-1.0
91,Jonas Jerebko,PF,GS,3500.0,2.56,1.2,-1.0
92,Khem Birch,PF,ORL,3700.0,2.52,0.0,0.0
93,Tyrone Wallace,SG,LAC,3500.0,2.48,7.3,-1.0
94,Ante Zizic,C1B,CLE,4200.0,2.43,0.0,-1.0
95,Omri Casspi,SF,MEM,4300.0,2.32,24.9,-1.0
96,Seth Curry,PG,POR,3500.0,2.2,7.9,-1.0
97,Derrick Rose,PG,MIN,6200.0,2.14,34.6,-1.0
98,Marcin Gortat,C1B,LAC,3500.0,2.13,11.0,-1.0
99,Terrence Ross,SG,ORL,5400.0,1.98,25.3,-1.0
100,Shai Gilgeous-Alexander,PG,LAC,3600.0,1.94,42.1,-1.0
101,Bruce Brown,SG,DET,3700.0,1.88,2.2,-1.0
102,Jake Layman,SF,POR,4000.0,1.76,21.2,-1.0
103,Avery Bradley,SG,LAC,3600.0,1.4,8.8,-1.0
104,Jakob Poeltl,C1B,SA,4200.0,1.4,0.0,0.0
105,Jaron Blossomgame,SF,CLE,3700.0,1.32,17.0,-1.0
106,Quinn Cook,PG,GS,3500.0,1.22,8.0,-1.0
107,Meyers Leonard,PF,POR,3600.0,1.1,8.9,-1.0
108,Mo Bamba,C1B,ORL,3900.0,1.05,0.0,0.0
109,Shaun Livingston,PG,GS,3500.0,1.02,5.9,-1.0
110,Luke Kennard,SG,DET,3900.0,1.02,30.1,-1.0
111,Boban Marjanovic,C1B,LAC,3500.0,1.0,-2.0,-1.0
