Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Fred VanVleet,PG,TOR,5600.0,23.44,16.1,-1.0
1,Kyle Kuzma,PF,LAL,6500.0,20.1,21.8,1.7
2,Khris Middleton,SG,MIL,7600.0,17.08,24.0,1.6
3,Julius Randle,PF,NO,8400.0,16.72,39.3,-1.0
4,Eric Bledsoe,PG,MIL,7500.0,16.0,43.1,-1.0
5,Giannis Antetokounmpo,SF,MIL,12400.0,15.8,42.8,2.8
6,Buddy Hield,SG,SAC,7500.0,14.96,32.5,1.7
7,Kemba Walker,PG,CHA,9300.0,14.96,66.3,2.2
8,Troy Jr,SF,WAS,3500.0,14.58,0.0,-1.0
9,Marvin III,PF,SAC,7700.0,14.24,16.4,1.7
10,Jabari Parker,SF,WAS,6500.0,14.08,25.5,-1.0
11,Kawhi Leonard,SF,TOR,10400.0,13.46,44.3,1.9
12,Tyus Jones,PG,MIN,6600.0,13.34,25.4,-1.0
13,Elfrid Payton,PG,NO,8000.0,13.3,34.7,-1.0
14,Gordon Hayward,SF,BOS,5400.0,13.22,27.0,1.4
15,James Harden,SG,HOU,12000.0,12.96,47.5,2.8
16,Karl-Anthony Towns,C1B,MIN,11800.0,12.76,47.1,2.3
17,Bradley Beal,SG,WAS,10000.0,12.6,42.0,2.0
18,Pascal Siakam,PF,TOR,8100.0,12.36,20.0,1.4
19,Trae Young,PG,ATL,8200.0,12.3,54.2,-1.0
20,Bobby Portis,PF,WAS,6500.0,11.84,26.4,-1.0
21,Aaron Gordon,PF,ORL,7200.0,11.02,30.0,1.5
22,Luka Doncic,SG,DAL,9500.0,10.8,56.4,-1.0
23,Cheick Diallo,PF,NO,4300.0,10.8,11.2,-1.0
24,Marcus Morris,PF,BOS,5500.0,10.74,27.2,-1.0
25,Jaylen Brown,SG,BOS,5300.0,10.72,17.7,-1.0
26,Lou Williams,SG,LAC,7400.0,9.92,31.3,1.7
27,Nikola Vucevic,C1B,ORL,9900.0,9.91,54.7,2.1
28,Maxi Kleber,PF,DAL,5000.0,9.78,26.8,-1.0
29,De'Aaron Fox,PG,SAC,8800.0,9.26,40.0,-1.0
30,Lauri Markkanen,PF,CHI,7600.0,9.22,26.8,-1.0
31,Monte Morris,SG,DEN,4200.0,8.94,12.2,-1.0
32,Dario Saric,PF,MIN,4100.0,8.72,0.0,-1.0
33,DJ Augustin,PG,ORL,6200.0,8.48,0.0,-1.0
34,Jalen Brunson,PG,DAL,5900.0,8.34,17.5,-1.0
35,JaVale McGee,C1B,LAL,7500.0,8.27,57.0,1.6
36,Ersan Ilyasova,PF,MIL,3900.0,8.26,13.3,-1.0
37,Jeremy Lin,PG,TOR,3700.0,8.26,9.8,-1.0
38,Danilo Gallinari,SF,LAC,7600.0,8.14,44.0,1.7
39,Andre Drummond,C1B,DET,10200.0,8.06,48.9,1.8
40,Rajon Rondo,PG,LAL,6600.0,7.9,28.6,-1.0
41,Danuel House,SF,HOU,4000.0,7.8,19.8,-1.0
42,Derrick Jr,SF,MIA,3700.0,7.68,0.0,-1.0
43,Marc Gasol,C1B,TOR,6300.0,7.65,18.7,-1.0
44,John Collins,PF,ATL,7900.0,7.28,20.4,-1.0
45,Paul Millsap,PF,DEN,6800.0,7.26,36.1,1.4
46,Blake Griffin,PF,DET,8600.0,7.22,55.5,1.9
47,Harrison Barnes,SF,SAC,5500.0,7.02,22.1,-1.0
48,Nikola Jokic,C1B,DEN,10700.0,6.84,41.0,2.1
49,Frank Kaminsky,PF,CHA,4700.0,6.64,30.0,-1.0
50,Montrezl Harrell,PF,LAC,8000.0,6.54,33.0,1.7
51,Chris Paul,PG,HOU,8300.0,6.36,33.8,-1.0
52,Dwight Powell,PF,DAL,6600.0,6.24,52.1,-1.0
53,Nemanja Bjelica,SF,SAC,5200.0,6.08,21.2,-1.0
54,Cedi Osman,SF,CLE,5900.0,6.04,26.4,-1.0
55,Josh Richardson,SF,MIA,6300.0,5.9,30.2,1.5
56,Goran Dragic,PG,MIA,5400.0,5.86,4.5,-1.0
57,Jeremy Lamb,SG,CHA,6300.0,5.58,17.7,1.6
58,LaMarcus Aldridge,PF,SA,9200.0,5.5,47.0,-1.0
59,Pat Connaughton,SG,MIL,4800.0,5.34,38.4,-1.0
60,Rudy Gay,SF,SA,5500.0,5.34,29.8,1.6
61,Brook Lopez,C1B,MIL,6700.0,5.27,23.1,1.2
62,Jayson Tatum,PF,BOS,6400.0,5.2,35.0,1.6
63,DJ Wilson,PF,MIL,3600.0,5.18,0.0,-1.0
64,LeBron James,SF,LAL,11000.0,5.12,52.4,2.8
65,Ryan Arcidiacono,PG,CHI,3600.0,4.94,29.2,-1.0
66,Kentavious Caldwell-Pope,SG,LAL,5400.0,4.88,41.5,-1.0
67,Kevin Love,PF,CLE,8300.0,4.76,27.2,-1.0
68,Clint Capela,C1B,HOU,8100.0,4.68,41.2,-1.0
69,Andrew Wiggins,SG,MIN,6600.0,4.68,34.1,1.7
70,Reggie Jackson,PG,DET,4500.0,4.64,31.3,-1.0
71,Marvin Williams,PF,CHA,4500.0,4.6,18.8,-1.0
72,Alex Caruso,PG,LAL,4200.0,4.56,10.1,-1.0
73,Shaquille Harrison,PG,CHI,4800.0,4.36,34.5,-1.0
74,Frank Jackson,PG,NO,5600.0,4.34,24.4,-1.0
75,Thomas Bryant,C1B,WAS,6000.0,4.3,11.7,1.3
76,Eric Gordon,SG,HOU,5300.0,4.2,-0.3,-1.0
77,Will Barton,SF,DEN,5400.0,4.16,22.9,-1.0
78,Evan Fournier,SG,ORL,6000.0,4.14,20.3,-1.0
79,Taurean Prince,SF,ATL,4900.0,4.0,20.9,-1.0
