Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,10400.0,85.78,0
1,Paul Millsap,PF,DEN,8100.0,48.0,0
2,Jamal Murray,PG,DEN,8500.0,45.02,0
3,Jimmy Butler,SG,PHI,9900.0,41.28,0
4,Gary Harris,SG,DEN,6000.0,40.82,0
5,Nikola Jokic,C1B,DEN,11100.0,39.13,0
6,Al-Farouq Aminu,PF,POR,5000.0,38.86,0
7,JJ Redick,SF,PHI,4200.0,38.12,0
8,Kyle Lowry,PG,TOR,7100.0,38.06,0
9,Damian Lillard,PG,POR,9400.0,36.48,0
10,CJ McCollum,SG,POR,7600.0,35.8,0
11,Pascal Siakam,PF,TOR,7800.0,35.52,0
12,Tobias Harris,SF,PHI,7400.0,31.5,0
13,Danny Green,SG,TOR,4900.0,27.48,0
14,Ben Simmons,PG,PHI,7700.0,25.1,0
15,Rodney Hood,SF,POR,4800.0,23.52,0
16,Serge Ibaka,PF,TOR,4600.0,23.24,0
17,Zach Collins,PF,POR,5300.0,22.28,0
18,Fred VanVleet,PG,TOR,3500.0,21.2,0
19,Marc Gasol,C1B,TOR,5400.0,20.81,0
20,Will Barton,SF,DEN,4500.0,18.02,0
21,Maurice Harkless,SF,POR,4000.0,16.38,0
22,Malik Beasley,SG,DEN,3900.0,15.3,0
23,Torrey Craig,SG,DEN,4000.0,14.52,0
24,Joel Embiid,C1B,PHI,10500.0,13.34,0
25,Seth Curry,PG,POR,3900.0,13.3,0
26,Enes Kanter,C1B,POR,5800.0,12.3,0
27,James III,SF,PHI,4400.0,11.18,0
28,Mike Scott,PF,PHI,3700.0,9.94,0
29,Mason Plumlee,PF,DEN,4100.0,9.68,0
30,Monte Morris,SG,DEN,3500.0,6.12,0
31,Evan Turner,SF,POR,3700.0,5.74,0
32,Norman Powell,SF,TOR,3500.0,5.38,0
33,Greg Monroe,C1B,PHI,3500.0,2.61,0
34,Meyers Leonard,PF,POR,3500.0,2.48,0
35,Boban Marjanovic,C1B,PHI,3500.0,1.8,0
