Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Nikola Mirotic,SF,NO,8400.0,20.76,27.5,-1.0
1,Pascal Siakam,PF,TOR,5800.0,20.44,31.1,1.6
2,Jrue Holiday,SG,NO,8800.0,17.26,50.5,2.0
3,LaMarcus Aldridge,PF,SA,8000.0,16.66,30.2,-1.0
4,LeBron James,SF,LAL,11200.0,15.52,53.7,2.8
5,DeMar DeRozan,SG,SA,9200.0,15.52,52.8,-1.0
6,Blake Griffin,PF,DET,9600.0,14.86,30.5,2.1
7,Kyle Lowry,PG,TOR,8800.0,13.7,35.4,-1.0
8,Serge Ibaka,PF,TOR,6200.0,13.54,36.8,1.6
9,Derrick Rose,PG,MIN,5500.0,13.28,38.1,-1.0
10,JJ Redick,SG,PHI,5200.0,12.78,0.0,-1.0
11,Justise Winslow,SF,MIA,5700.0,12.44,22.5,1.4
12,Marvin III,PF,SAC,5000.0,11.74,17.6,1.6
13,Rodney McGruder,SG,MIA,5100.0,11.32,22.0,-1.0
14,Josh Richardson,SF,MIA,7600.0,11.18,31.5,1.6
15,Paul George,SF,OKC,10200.0,11.18,32.4,2.8
16,Ricky Rubio,PG,UTA,6500.0,11.02,40.0,1.5
17,Dennis Schroder,SG,OKC,6400.0,10.98,0.0,1.7
18,Ben Simmons,PG,PHI,9500.0,10.02,45.0,1.8
19,Zach LaVine,SG,CHI,9000.0,9.56,36.0,-1.0
20,Victor Oladipo,SG,IND,8900.0,9.32,67.7,-1.0
21,Nemanja Bjelica,SF,SAC,6700.0,9.2,0.0,-1.0
22,Evan Fournier,SG,ORL,6200.0,9.14,45.5,-1.0
23,Kyle Anderson,SF,MEM,4800.0,9.12,22.5,-1.0
24,Aaron Gordon,PF,ORL,8100.0,9.1,44.0,1.5
25,Anthony Davis,PF,NO,11800.0,9.02,71.5,2.8
26,Wendell Jr,PF,CHI,7400.0,8.72,0.0,-1.0
27,Mike Conley,PG,MEM,7300.0,8.66,20.6,-1.0
28,Kawhi Leonard,SF,TOR,10100.0,8.58,36.2,2.3
29,JaVale McGee,C1B,LAL,7500.0,8.29,20.8,1.6
30,Karl-Anthony Towns,C1B,MIN,9400.0,8.27,31.3,2.3
31,E'Twaun Moore,SF,NO,4700.0,8.22,19.4,-1.0
32,Tim Jr,SG,NY,7500.0,8.12,0.0,-1.0
33,Trae Young,PG,ATL,7600.0,8.08,31.0,-1.0
34,Andre Drummond,C1B,DET,9600.0,8.04,58.8,1.8
35,Tyus Jones,PG,MIN,4300.0,8.0,4.7,-1.0
36,Joel Embiid,C1B,PHI,11300.0,7.58,42.0,2.8
37,Kent Bazemore,SG,ATL,6700.0,7.54,29.9,1.5
38,Nikola Vucevic,C1B,ORL,8800.0,7.54,29.8,2.1
39,Bam Adebayo,C1B,MIA,5600.0,7.52,10.1,-1.0
40,Jerami Grant,PF,OKC,5400.0,7.24,26.6,-1.0
41,Larry Jr,PF,CLE,4800.0,7.18,0.0,1.1
42,Joe Ingles,SF,UTA,6000.0,6.92,23.4,-1.0
43,Trey Lyles,PF,DEN,4800.0,6.86,31.3,-1.0
44,Rajon Rondo,PG,LAL,5700.0,6.82,21.2,-1.0
45,Dario Saric,PF,PHI,4700.0,6.74,0.0,-1.0
46,Robert Covington,SF,PHI,6300.0,6.42,30.3,-1.0
47,Domantas Sabonis,PF,IND,6100.0,6.42,35.7,1.6
48,Harrison Barnes,SF,DAL,5100.0,6.4,15.0,-1.0
49,Andrew Wiggins,SF,MIN,6400.0,6.36,42.3,1.7
50,Buddy Hield,SG,SAC,7700.0,6.32,38.3,1.7
51,DeAndre Jordan,C1B,DAL,8100.0,6.2,34.9,-1.0
52,DeAndre' Bembry,SF,ATL,4900.0,6.2,27.0,-1.0
53,Noah Vonleh,PF,NY,5300.0,6.18,37.6,1.2
54,Jamal Murray,PG,DEN,7700.0,6.14,30.3,1.5
55,Wesley Matthews,SG,DAL,5200.0,5.96,29.2,-1.0
56,Terrence Ross,SG,ORL,4800.0,5.86,22.8,-1.0
57,Josh Okogie,SG,MIN,5000.0,5.86,1.4,-1.0
58,Jimmy Butler,SG,MIN,9200.0,5.84,49.5,-1.0
59,Kyle Kuzma,PF,LAL,6300.0,5.78,25.9,1.7
60,Nikola Jokic,C1B,DEN,9200.0,5.58,21.4,1.8
61,Garrett Temple,SG,MEM,4200.0,5.54,6.4,-1.0
62,Jaren Jr,PF,MEM,5900.0,5.44,0.0,-1.0
63,Damyean Dotson,SG,NY,5200.0,5.34,9.6,-1.0
64,Dennis Jr,PG,DAL,6200.0,5.26,0.0,-1.0
65,Kelly Olynyk,PF,MIA,4900.0,5.14,8.3,-1.0
66,Luka Doncic,SG,DAL,7800.0,5.1,29.2,-1.0
67,Willie Cauley-Stein,C1B,SAC,7100.0,5.04,44.6,1.3
68,Bryn Forbes,PG,SA,3800.0,4.96,20.7,-1.0
69,Donovan Mitchell,SG,UTA,8500.0,4.92,44.5,-1.0
70,Royce O'Neale,SF,UTA,4300.0,4.86,10.0,-1.0
71,Jae Crowder,SF,UTA,5300.0,4.68,22.2,-1.0
72,Julius Randle,C1B,NO,7200.0,4.66,23.5,-1.0
73,Jabari Parker,SF,CHI,6800.0,4.44,38.1,-1.0
74,Tyler Johnson,PG,MIA,4100.0,4.34,29.6,-1.0
75,Brandon Ingram,PF,LAL,5900.0,4.28,41.0,-1.0
76,Rodney Hood,SG,CLE,5100.0,4.24,22.0,-1.0
77,Hassan Whiteside,C1B,MIA,8600.0,4.23,82.0,-1.0
78,Taj Gibson,PF,MIN,4900.0,4.1,42.7,-1.0
79,Marc Gasol,C1B,MEM,8000.0,3.99,52.4,-1.0
80,DJ Augustin,PG,ORL,4700.0,3.84,0.0,-1.0
81,De'Aaron Fox,PG,SAC,8000.0,3.72,22.2,-1.0
82,Marco Belinelli,SG,SA,4400.0,3.62,16.5,-1.0
83,Josh Hart,SG,LAL,4300.0,3.56,27.8,-1.0
84,Ish Smith,PG,DET,4600.0,3.54,24.6,-1.0
85,Dante Exum,PG,UTA,3500.0,3.5,16.2,-1.0
86,Gary Harris,SG,DEN,7000.0,3.5,22.4,-1.0
87,Darren Collison,PG,IND,5000.0,3.46,4.7,1.2
88,Paul Millsap,PF,DEN,6000.0,3.46,8.1,1.1
89,Mario Hezonja,SF,NY,4200.0,3.46,3.4,-1.0
90,Omari Spellman,PF,ATL,3700.0,3.46,48.0,-1.0
91,Taurean Prince,SF,ATL,6800.0,3.44,23.9,-1.0
92,Rudy Gobert,C1B,UTA,8900.0,3.27,47.0,1.8
93,Justin Holiday,SG,CHI,5200.0,3.26,32.2,-1.0
94,Steven Adams,C1B,OKC,7400.0,3.07,37.6,1.4
95,Shelvin Mack,PG,MEM,5200.0,3.06,10.0,-1.0
96,Thaddeus Young,PF,IND,5900.0,3.0,14.0,1.3
97,Jordan Clarkson,SG,CLE,4700.0,2.96,33.8,-1.0
98,Bojan Bogdanovic,SF,IND,4600.0,2.94,23.5,1.6
99,Dante Cunningham,SF,SA,3700.0,2.76,13.3,-1.0
100,Collin Sexton,PG,CLE,4000.0,2.74,18.9,-1.0
101,Danny Green,SG,TOR,5000.0,2.74,13.0,-1.0
102,Patty Mills,PG,SA,4600.0,2.7,22.8,-1.0
103,Jonas Valanciunas,C1B,TOR,6000.0,2.62,26.5,-1.0
104,Mitchell Robinson,C1B,NY,4500.0,2.61,20.2,1.1
105,Grayson Allen,SG,UTA,3500.0,2.6,0.0,0.0
106,Myles Turner,C1B,IND,5500.0,2.57,20.8,-1.0
107,Greg Monroe,C1B,TOR,3500.0,2.56,0.0,0.0
108,Derrick White,PG,SA,3700.0,2.56,6.7,-1.0
109,Justin Jackson,SF,SAC,3700.0,2.48,4.7,-1.0
110,Dewayne Dedmon,C1B,ATL,5300.0,2.47,9.1,1.4
111,Reggie Jackson,PG,DET,6000.0,2.42,17.2,-1.0
112,Monte Morris,SG,DEN,3800.0,2.36,17.9,-1.0
113,Allonzo Trier,SG,NY,4200.0,2.32,23.3,-1.0
114,Frank Mason,SG,SAC,3900.0,2.18,10.9,-1.0
115,Lance Stephenson,SF,LAL,3700.0,2.14,1.2,-1.0
116,Tristan Thompson,C1B,CLE,5400.0,2.13,27.0,-1.0
117,Lonzo Ball,PG,LAL,5700.0,2.12,24.0,-1.0
118,Reggie Bullock,SG,DET,4300.0,2.1,8.1,-1.0
119,Frank Jackson,PG,NO,3500.0,2.08,0.0,0.0
120,Cameron Payne,PG,CHI,4400.0,2.06,14.0,-1.0
121,Antonio Blakeney,SG,CHI,3800.0,2.04,13.1,-1.0
122,Iman Shumpert,SG,SAC,3600.0,2.0,22.4,-1.0
123,Wilson Chandler,SF,PHI,3600.0,1.96,7.0,-1.0
124,Torrey Craig,SG,DEN,3500.0,1.96,11.6,-1.0
125,Tyreke Evans,SF,IND,4600.0,1.96,11.4,-1.0
126,Derrick Favors,PF,UTA,5100.0,1.84,34.2,1.3
127,Tim Frazier,PG,NO,3500.0,1.84,3.0,-1.0
128,Isaiah Briscoe,PG,ORL,3500.0,1.82,0.0,0.0
129,Cedi Osman,SF,CLE,5900.0,1.78,1.2,-1.0
130,Jeremy Lin,PG,ATL,3800.0,1.74,16.7,-1.0
131,Frank Ntilikina,PG,NY,4900.0,1.7,22.1,-1.0
132,Kevin Knox,PF,NY,3900.0,1.7,0.5,-1.0
133,Maxi Kleber,PF,DAL,3700.0,1.66,8.6,-1.0
134,Enes Kanter,C1B,NY,7300.0,1.58,31.2,-1.0
135,Ryan Arcidiacono,PG,CHI,3500.0,1.4,18.6,-1.0
136,Jared Terrell,SG,MIN,3500.0,1.36,0.0,0.0
137,CJ Williams,SG,MIN,3500.0,1.36,0.0,0.0
138,Cory Joseph,PG,IND,3700.0,1.34,24.8,-1.0
139,Stanley Johnson,SF,DET,3600.0,1.26,26.7,-1.0
140,JJ Barea,PG,DAL,3900.0,1.26,0.0,-1.0
141,Alex Len,C1B,ATL,5500.0,1.24,16.0,1.6
142,Alec Burks,SG,UTA,3800.0,1.22,21.0,-1.0
143,Davis Bertans,SF,SA,3500.0,1.22,31.3,-1.0
144,Patrick Patterson,PF,OKC,3500.0,1.2,9.3,-1.0
145,Chandler Parsons,SF,MEM,3500.0,1.2,0.0,0.0
146,Markelle Fultz,SG,PHI,4800.0,1.18,24.6,-1.0
147,Jonathon Simmons,SF,ORL,4000.0,1.14,7.8,-1.0
148,Yogi Ferrell,PG,SAC,3500.0,1.08,0.0,0.0
149,Dwight Powell,PF,DAL,3700.0,1.04,12.9,-1.0
150,Fred VanVleet,PG,TOR,4700.0,1.02,18.2,-1.0
151,Alex Poythress,PF,ATL,3500.0,1.0,3.2,-1.0
