Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,LeBron James,SF,LAL,11800.0,30.78,56.2,2.8
1,Rajon Rondo,PG,LAL,5900.0,27.7,22.3,-1.0
2,Blake Griffin,PF,DET,9500.0,21.48,15.7,1.9
3,Rodney McGruder,SG,MIA,5200.0,21.12,31.0,-1.0
4,Zach LaVine,SG,CHI,8400.0,19.68,38.7,-1.0
5,Giannis Antetokounmpo,SF,MIL,12400.0,18.4,29.9,2.7
6,Taurean Prince,SF,ATL,7200.0,18.0,29.5,-1.0
7,Kemba Walker,PG,CHA,8700.0,17.66,60.2,2.3
8,Nikola Mirotic,SF,NO,7800.0,17.56,32.6,-1.0
9,LaMarcus Aldridge,PF,SA,9100.0,17.18,27.5,-1.0
10,Josh Richardson,SF,MIA,6900.0,16.76,28.5,1.6
11,Jayson Tatum,PF,BOS,7000.0,16.2,17.1,1.4
12,Kyle Kuzma,PF,LAL,7100.0,15.98,21.3,1.7
13,Trae Young,PG,ATL,7600.0,14.58,23.6,-1.0
14,Elfrid Payton,PG,NO,7400.0,14.2,6.4,-1.0
15,Josh Hart,SG,LAL,6800.0,13.94,13.9,-1.0
16,JaVale McGee,C1B,LAL,7000.0,13.65,23.5,1.3
17,Joe Ingles,SF,UTA,6500.0,13.08,15.8,-1.0
18,Jrue Holiday,SG,NO,7600.0,12.02,35.4,2.2
19,Victor Oladipo,SG,IND,8300.0,11.78,43.6,-1.0
20,Deandre Ayton,C1B,PHO,7900.0,11.48,44.1,-1.0
21,DeMar DeRozan,SG,SA,8100.0,10.38,61.4,-1.0
22,Cameron Payne,PG,CHI,5600.0,10.34,13.9,-1.0
23,Cedi Osman,SF,CLE,6500.0,9.92,13.3,-1.0
24,Jaren Jr,PF,MEM,6500.0,9.84,0.0,-1.0
25,Goran Dragic,PG,MIA,6300.0,9.64,37.1,-1.0
26,Joel Embiid,C1B,PHI,11000.0,9.33,51.0,2.7
27,Hassan Whiteside,C1B,MIA,7900.0,9.02,40.2,-1.0
28,Damian Lillard,PG,POR,9900.0,8.84,58.4,2.0
29,Kelly Olynyk,PF,MIA,4500.0,8.62,34.5,-1.0
30,Isaiah Canaan,PG,PHO,4200.0,8.32,18.8,-1.0
31,E'Twaun Moore,SF,NO,4700.0,8.04,15.4,-1.0
32,Alex Len,C1B,ATL,5900.0,7.56,7.8,1.6
33,Aaron Gordon,PF,ORL,7500.0,7.54,20.0,1.5
34,Ben Simmons,PG,PHI,9700.0,7.38,31.9,2.0
35,Lonzo Ball,PG,LAL,7200.0,7.2,9.9,-1.0
36,JJ Redick,SG,PHI,5500.0,7.12,0.0,-1.0
37,Robert Covington,SF,PHI,5700.0,6.86,47.0,-1.0
38,Trevor Ariza,SF,PHO,5100.0,6.64,15.3,-1.0
39,Larry Jr,SF,CLE,5000.0,6.56,0.0,1.1
40,Kyrie Irving,PG,BOS,7700.0,6.48,22.9,1.9
41,Andre Drummond,C1B,DET,9300.0,6.33,32.1,2.0
42,Dario Saric,PF,PHI,6000.0,6.32,0.0,-1.0
43,Justin Holiday,SG,CHI,5400.0,6.06,36.5,-1.0
44,Jae Crowder,SF,UTA,4600.0,5.98,13.9,-1.0
45,Donovan Mitchell,SG,UTA,8300.0,5.94,35.4,-1.0
