PG,PG,SG,SG,SF,SF,PF,PF,C,P
Ben Simmons,Stephen Curry,Khris Middleton,Bogdan Bogdanovic,Kevin Durant,Jonathon Simmons,Marvin III,Amir Johnson,Tyson Chandler,179.0
Stephen Curry,Tim Frazier,Buddy Hield,Bogdan Bogdanovic,Kevin Durant,Jonathon Simmons,Draymond Green,Larry Jr,Willie Cauley-Stein,202.6
Quinn Cook,TJ McConnell,Buddy Hield,Bogdan Bogdanovic,Giannis Antetokounmpo,Kevin Durant,Marvin III,Amir Johnson,Willie Cauley-Stein,264.1
Stephen Curry,TJ McConnell,Khris Middleton,Shake Milton,Giannis Antetokounmpo,Jonathon Simmons,Marvin III,Larry Jr,Willie Cauley-Stein,205.6
Ben Simmons,Brandon Knight,Buddy Hield,Bogdan Bogdanovic,Giannis Antetokounmpo,Jonathon Simmons,Draymond Green,Amir Johnson,Brook Lopez,257.9
Tim Frazier,George Hill,Khris Middleton,Bogdan Bogdanovic,Giannis Antetokounmpo,Kevin Durant,Larry Jr,Amir Johnson,Brook Lopez,246.2
Stephen Curry,Alex Caruso,Khris Middleton,Bogdan Bogdanovic,Giannis Antetokounmpo,Nemanja Bjelica,Draymond Green,Amir Johnson,Willie Cauley-Stein,287.0
Stephen Curry,Quinn Cook,Khris Middleton,Buddy Hield,Kevin Durant,Corey Brewer,Draymond Green,Amir Johnson,JaVale McGee,233.0
Stephen Curry,Quinn Cook,Khris Middleton,Bogdan Bogdanovic,Giannis Antetokounmpo,Corey Brewer,Marvin III,DJ Wilson,Brook Lopez,268.9
Quinn Cook,Tim Frazier,Khris Middleton,Bogdan Bogdanovic,Kevin Durant,Nemanja Bjelica,Marvin III,Draymond Green,Joel Embiid,274.2
Stephen Curry,George Hill,Khris Middleton,Buddy Hield,Kevin Durant,Nemanja Bjelica,Marvin III,Ersan Ilyasova,Willie Cauley-Stein,238.5
Ben Simmons,Brandon Knight,Khris Middleton,Buddy Hield,Kevin Durant,Lance Stephenson,Larry Jr,Amir Johnson,Willie Cauley-Stein,188.5
Ben Simmons,TJ McConnell,Khris Middleton,Bogdan Bogdanovic,Jonathon Simmons,Corey Brewer,Draymond Green,Larry Jr,Joel Embiid,222.8
Ben Simmons,Brandon Knight,Khris Middleton,Bogdan Bogdanovic,Giannis Antetokounmpo,Harrison Barnes,Marvin III,Mike Scott,Willie Cauley-Stein,278.6
Ben Simmons,Stephen Curry,Khris Middleton,Buddy Hield,Nemanja Bjelica,Jonathon Simmons,Larry Jr,Jemerrio Jones,JaVale McGee,204.2
Quinn Cook,Alex Caruso,Khris Middleton,Buddy Hield,Kevin Durant,Jonathon Simmons,Marvin III,Larry Jr,Brook Lopez,198.4
Stephen Curry,Tim Frazier,Buddy Hield,David Nwaba,Giannis Antetokounmpo,Jonathon Simmons,Marvin III,Amir Johnson,JaVale McGee,233.0
