PG,PG,SG,SG,SF,SF,PF,PF,C,P
Damian Lillard,Jalen Brunson,Dennis Schroder,Dwyane Wade,Paul George,Justise Winslow,Pascal Siakam,Serge Ibaka,JaVale McGee,227.8
Damian Lillard,Ben Simmons,Bogdan Bogdanovic,Andrew Wiggins,Justise Winslow,Troy Williams,Kyle Kuzma,Pascal Siakam,JaVale McGee,248.4
Russell Westbrook,Damian Lillard,Dennis Schroder,Dwyane Wade,Maurice Harkless,Troy Williams,Kyle Kuzma,Serge Ibaka,Willie Cauley-Stein,197.6
Ben Simmons,Jalen Brunson,Bogdan Bogdanovic,Dwyane Wade,Justise Winslow,Josh Richardson,Kyle Kuzma,Serge Ibaka,Steven Adams,247.1
Russell Westbrook,Jalen Brunson,Buddy Hield,CJ McCollum,Josh Richardson,Troy Williams,Kyle Kuzma,Serge Ibaka,JaVale McGee,235.4
Damian Lillard,Jalen Brunson,CJ McCollum,Dwyane Wade,Josh Richardson,Maurice Harkless,Kyle Kuzma,Pascal Siakam,Karl-Anthony Towns,294.4
Russell Westbrook,Jalen Brunson,CJ McCollum,Andrew Wiggins,Justise Winslow,Maurice Harkless,Pascal Siakam,Serge Ibaka,Willie Cauley-Stein,241.4
Damian Lillard,Raymond Felton,Buddy Hield,Dennis Schroder,Justise Winslow,Josh Richardson,Kyle Kuzma,Pascal Siakam,Willie Cauley-Stein,225.8
Ben Simmons,Jalen Brunson,Dennis Schroder,Andrew Wiggins,Kawhi Leonard,Maurice Harkless,Kyle Kuzma,Serge Ibaka,JaVale McGee,180.4
Ben Simmons,Jalen Brunson,Buddy Hield,Dwyane Wade,Kawhi Leonard,Troy Williams,Pascal Siakam,Serge Ibaka,Willie Cauley-Stein,219.0
Russell Westbrook,Raymond Felton,Dwyane Wade,Shake Milton,Kawhi Leonard,Justise Winslow,Kyle Kuzma,Serge Ibaka,JaVale McGee,243.9
Damian Lillard,Ben Simmons,Buddy Hield,Frank Mason,Josh Richardson,Maurice Harkless,Pascal Siakam,Serge Ibaka,JaVale McGee,201.1
Damian Lillard,Raymond Felton,CJ McCollum,Bogdan Bogdanovic,Paul George,Maurice Harkless,Kyle Kuzma,Serge Ibaka,JaVale McGee,245.1
Russell Westbrook,Shaquille Harrison,Bogdan Bogdanovic,Dwyane Wade,Justise Winslow,Troy Williams,Pascal Siakam,Serge Ibaka,Karl-Anthony Towns,305.0
Ben Simmons,Shaquille Harrison,Bogdan Bogdanovic,Dwyane Wade,Paul George,Maurice Harkless,Kyle Kuzma,Pascal Siakam,Willie Cauley-Stein,258.1
Damian Lillard,Shaquille Harrison,Dennis Schroder,CJ McCollum,Paul George,Troy Williams,Kyle Kuzma,Pascal Siakam,Steven Adams,221.1
Russell Westbrook,Ben Simmons,Dennis Schroder,Dwyane Wade,Josh Richardson,Troy Williams,Pascal Siakam,Chris Boucher,JaVale McGee,216.5
