PG,PG,SG,SG,SF,SF,PF,PF,C,P
Russell Westbrook,Kemba Walker,Jrue Holiday,Kent Bazemore,Lance Thomas,Solomon Hill,Aaron Gordon,Noah Vonleh,Alex Len,257.6
Russell Westbrook,Kemba Walker,Kent Bazemore,Hamidou Diallo,Stanley Johnson,Wes Iwundu,Anthony Davis,Noah Vonleh,Dewayne Dedmon,195.4
Kemba Walker,Frank Jackson,Jeremy Lamb,Hamidou Diallo,Paul George,Solomon Hill,Anthony Davis,Noah Vonleh,Alex Len,161.4
Kemba Walker,Isaiah Briscoe,Jeremy Lamb,Kent Bazemore,Paul George,Stanley Johnson,Aaron Gordon,Noah Vonleh,Mitchell Robinson,209.8
Russell Westbrook,Shelvin Mack,Jeremy Lamb,Hamidou Diallo,Paul George,Lance Thomas,Aaron Gordon,Noah Vonleh,Dewayne Dedmon,231.8
Russell Westbrook,Frank Jackson,Jrue Holiday,Jeremy Lamb,Stanley Johnson,Lance Thomas,Anthony Davis,Noah Vonleh,Mitchell Robinson,236.6
Russell Westbrook,Kadeem Allen,Jeremy Lamb,Kent Bazemore,Solomon Hill,Wes Iwundu,Aaron Gordon,Anthony Davis,Mitchell Robinson,239.1
Shelvin Mack,Frank Jackson,Jrue Holiday,Kent Bazemore,Paul George,Stanley Johnson,Aaron Gordon,Anthony Davis,Alex Len,232.2
Russell Westbrook,Isaiah Briscoe,Jrue Holiday,Jeremy Lamb,Paul George,Wes Iwundu,Khem Birch,Noah Vonleh,Alex Len,288.4
Kadeem Allen,DJ Augustin,Jeremy Lamb,Kent Bazemore,Paul George,Lance Thomas,Anthony Davis,Noah Vonleh,Steven Adams,179.9
Russell Westbrook,Frank Jackson,Kent Bazemore,Allonzo Trier,Paul George,Wes Iwundu,Aaron Gordon,Noah Vonleh,Steven Adams,229.6
Russell Westbrook,Isaiah Briscoe,Kent Bazemore,Hamidou Diallo,Paul George,Lance Thomas,Anthony Davis,Patrick Patterson,Alex Len,234.6
Tim Frazier,Isaiah Briscoe,Jrue Holiday,Kent Bazemore,Paul George,Solomon Hill,Anthony Davis,Noah Vonleh,Dewayne Dedmon,225.2
Kemba Walker,Isaiah Briscoe,Jrue Holiday,Hamidou Diallo,Stanley Johnson,Solomon Hill,Aaron Gordon,Anthony Davis,Steven Adams,182.5
Russell Westbrook,Kemba Walker,Jeremy Lamb,Damyean Dotson,Lance Thomas,Wes Iwundu,Anthony Davis,Omari Spellman,Alex Len,222.8
Kemba Walker,Tim Frazier,Jeremy Lamb,Kent Bazemore,Lance Thomas,Miles Bridges,Aaron Gordon,Anthony Davis,Dewayne Dedmon,164.2
Russell Westbrook,Tim Frazier,Jeremy Lamb,Kent Bazemore,Paul George,Michael Kidd-Gilchrist,Aaron Gordon,Omari Spellman,Alex Len,255.3
Russell Westbrook,Tim Frazier,Jrue Holiday,Hamidou Diallo,Miles Bridges,Wes Iwundu,Aaron Gordon,Anthony Davis,Alex Len,234.9
Russell Westbrook,Shelvin Mack,Jrue Holiday,Kent Bazemore,Lance Thomas,Wes Iwundu,Anthony Davis,Khem Birch,Steven Adams,241.0
Russell Westbrook,Trae Young,Jeremy Lamb,Kent Bazemore,Darius Miller,Miles Bridges,Anthony Davis,Noah Vonleh,Alex Len,255.6
Kemba Walker,Frank Jackson,Jrue Holiday,Jeremy Lamb,Miles Bridges,Wes Iwundu,Aaron Gordon,Noah Vonleh,Nikola Vucevic,203.8
Russell Westbrook,Kadeem Allen,Kent Bazemore,Hamidou Diallo,Paul George,Solomon Hill,Cheick Diallo,Noah Vonleh,Nikola Vucevic,251.5
Russell Westbrook,Kadeem Allen,Damyean Dotson,Malik Monk,Paul George,Stanley Johnson,Anthony Davis,Noah Vonleh,Alex Len,267.7
Russell Westbrook,Shelvin Mack,Jrue Holiday,Kent Bazemore,Paul George,Miles Bridges,Noah Vonleh,Patrick Patterson,Mitchell Robinson,276.4
Kemba Walker,Frank Jackson,Kent Bazemore,Hamidou Diallo,Paul George,Lance Thomas,Aaron Gordon,Khem Birch,Nikola Vucevic,190.2
Russell Westbrook,Kemba Walker,Jeremy Lamb,Kent Bazemore,Stanley Johnson,Solomon Hill,Khem Birch,Patrick Patterson,Nikola Vucevic,214.8
Kemba Walker,Frank Jackson,Jrue Holiday,Kent Bazemore,Darius Miller,Michael Kidd-Gilchrist,Anthony Davis,Noah Vonleh,Steven Adams,197.0
Russell Westbrook,Kemba Walker,Jeremy Lamb,Kent Bazemore,DeAndre' Bembry,E'Twaun Moore,Cheick Diallo,Noah Vonleh,Steven Adams,221.4
Russell Westbrook,Kemba Walker,Jeremy Lamb,Hamidou Diallo,Michael Kidd-Gilchrist,Wes Iwundu,Aaron Gordon,Luke Kornet,Steven Adams,207.2
Kemba Walker,Kadeem Allen,Jrue Holiday,Hamidou Diallo,Paul George,Wes Iwundu,Aaron Gordon,Patrick Patterson,Dewayne Dedmon,226.9
Kemba Walker,Kadeem Allen,Kent Bazemore,Kevin Huerter,Paul George,Wes Iwundu,Anthony Davis,Khem Birch,Alex Len,200.5
Kemba Walker,Shelvin Mack,Jrue Holiday,Jeremy Lamb,Solomon Hill,Wes Iwundu,Anthony Davis,Cheick Diallo,Dewayne Dedmon,186.5
Russell Westbrook,Kemba Walker,Kent Bazemore,Allonzo Trier,Paul George,Stanley Johnson,Cheick Diallo,Luke Kornet,Alex Len,254.5
Russell Westbrook,DJ Augustin,Jrue Holiday,Kent Bazemore,Stanley Johnson,Wes Iwundu,Aaron Gordon,Omari Spellman,Nikola Vucevic,260.7
Russell Westbrook,DJ Augustin,Jrue Holiday,Jeremy Lamb,Michael Kidd-Gilchrist,Solomon Hill,Anthony Davis,Patrick Patterson,Alex Len,224.1
Kemba Walker,Tim Frazier,Jrue Holiday,Hamidou Diallo,Paul George,Lance Thomas,Noah Vonleh,Omari Spellman,Steven Adams,189.9
Russell Westbrook,Isaiah Briscoe,Jeremy Lamb,Malik Monk,Darius Miller,Lance Thomas,Aaron Gordon,Anthony Davis,Steven Adams,246.3
Russell Westbrook,Tim Frazier,Kent Bazemore,Damyean Dotson,E'Twaun Moore,Lance Thomas,Anthony Davis,Noah Vonleh,Nikola Vucevic,233.5
Russell Westbrook,Kadeem Allen,Jrue Holiday,Allonzo Trier,Solomon Hill,Miles Bridges,Anthony Davis,Noah Vonleh,Steven Adams,244.4
Russell Westbrook,Tim Frazier,Jeremy Lamb,Kent Bazemore,Nicolas Batum,Stanley Johnson,Anthony Davis,Luke Kornet,Steven Adams,227.6
