PG,PG,SG,SG,SF,SF,PF,PF,C,P,R,O,J
Darren Collison,Ryan Arcidiacono,Buddy Hield,Jrue Holiday,Jake Layman,E'Twaun Moore,Bobby Portis,Al-Farouq Aminu,Kevon Looney,413
Derrick Rose,Darren Collison,Buddy Hield,Jrue Holiday,E'Twaun Moore,Michael Kidd-Gilchrist,Bobby Portis,Ersan Ilyasova,Kevon Looney,413
Derrick Rose,Darren Collison,Jrue Holiday,Kentavious Caldwell-Pope,Jake Layman,E'Twaun Moore,Bobby Portis,Julius Randle,Kevon Looney,411
Darren Collison,Ryan Arcidiacono,Jrue Holiday,Kentavious Caldwell-Pope,E'Twaun Moore,Michael Kidd-Gilchrist,Al-Farouq Aminu,Ersan Ilyasova,Kevon Looney,411
Darren Collison,Ryan Arcidiacono,Kent Bazemore,Jrue Holiday,E'Twaun Moore,Michael Kidd-Gilchrist,Bobby Portis,Julius Randle,Kevon Looney,411
Derrick Rose,Darren Collison,D'Angelo Russell,Jrue Holiday,Jake Layman,E'Twaun Moore,Al-Farouq Aminu,Ersan Ilyasova,Kevon Looney,411
Darren Collison,Ryan Arcidiacono,D'Angelo Russell,Jrue Holiday,Jake Layman,Michael Kidd-Gilchrist,Bobby Portis,Ersan Ilyasova,Kevon Looney,411
Derrick Rose,Darren Collison,Kent Bazemore,Jrue Holiday,Jake Layman,Michael Kidd-Gilchrist,Bobby Portis,Al-Farouq Aminu,Kevon Looney,411
Darren Collison,Ryan Arcidiacono,Kent Bazemore,Kentavious Caldwell-Pope,Jake Layman,E'Twaun Moore,Bobby Portis,Ersan Ilyasova,Kevon Looney,410
Derrick Rose,Darren Collison,D'Angelo Russell,Kentavious Caldwell-Pope,E'Twaun Moore,Michael Kidd-Gilchrist,Bobby Portis,Al-Farouq Aminu,Kevon Looney,410
Darren Collison,Ryan Arcidiacono,Buddy Hield,D'Angelo Russell,Jake Layman,E'Twaun Moore,Julius Randle,Ersan Ilyasova,Kevon Looney,409
