PG,PG,SG,SG,SF,SF,PF,PF,C,P
Stephen Curry,Kyrie Irving,CJ McCollum,Daniel Hamilton,Bojan Bogdanovic,Gordon Hayward,Jayson Tatum,Paul Millsap,Alex Len,257.0
Ben Simmons,Darren Collison,CJ McCollum,Daniel Hamilton,Kevin Durant,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Alex Len,269.3
Stephen Curry,Darren Collison,CJ McCollum,Furkan Korkmaz,Kevin Durant,Gordon Hayward,Thaddeus Young,Paul Millsap,Al Horford,270.2
Kyrie Irving,Darren Collison,CJ McCollum,Daniel Hamilton,Kevin Durant,Jarred Vanderbilt,Draymond Green,Jayson Tatum,Al Horford,315.2
Stephen Curry,Quinn Cook,CJ McCollum,Monte Morris,Kevin Durant,Bojan Bogdanovic,Jayson Tatum,Domantas Sabonis,Al Horford,279.3
Stephen Curry,Darren Collison,CJ McCollum,Daniel Hamilton,Gordon Hayward,Juancho Hernangomez,Draymond Green,Domantas Sabonis,Nikola Jokic,274.3
Darren Collison,Brad Wanamaker,CJ McCollum,Torrey Craig,Kevin Durant,Bojan Bogdanovic,Jayson Tatum,Paul Millsap,Nikola Jokic,304.8
Ben Simmons,Quinn Cook,CJ McCollum,Daniel Hamilton,Kevin Durant,Gordon Hayward,Jayson Tatum,Caleb Swanigan,Nikola Jokic,267.2
Ben Simmons,Stephen Curry,CJ McCollum,Monte Morris,Kevin Durant,Jarred Vanderbilt,Draymond Green,Paul Millsap,Alex Len,260.0
Kyrie Irving,Brad Wanamaker,CJ McCollum,Andre Iguodala,Kevin Durant,Gordon Hayward,Jayson Tatum,Domantas Sabonis,Dewayne Dedmon,297.3
Kyrie Irving,Quinn Cook,CJ McCollum,Furkan Korkmaz,Bojan Bogdanovic,Gordon Hayward,Thaddeus Young,Domantas Sabonis,Nikola Jokic,281.1
Ben Simmons,Kyrie Irving,CJ McCollum,Torrey Craig,Bojan Bogdanovic,Juancho Hernangomez,Domantas Sabonis,Paul Millsap,Al Horford,276.3
Ben Simmons,Darren Collison,CJ McCollum,Monte Morris,Bojan Bogdanovic,Gordon Hayward,Draymond Green,Jayson Tatum,Dewayne Dedmon,282.5
Kyrie Irving,Quinn Cook,CJ McCollum,Justin Holiday,Kevin Durant,Bojan Bogdanovic,Draymond Green,Paul Millsap,Dewayne Dedmon,298.3
Stephen Curry,Kyrie Irving,CJ McCollum,Furkan Korkmaz,Kevin Durant,Juancho Hernangomez,Domantas Sabonis,Caleb Swanigan,Alex Len,245.9
Stephen Curry,Quinn Cook,Andre Iguodala,Daniel Hamilton,Kevin Durant,Bojan Bogdanovic,Thaddeus Young,Paul Millsap,Nikola Jokic,233.1
Stephen Curry,Kyrie Irving,CJ McCollum,Malik Beasley,Gordon Hayward,Jarred Vanderbilt,Draymond Green,Thaddeus Young,Dewayne Dedmon,278.3
Ben Simmons,Stephen Curry,Malik Beasley,Daniel Hamilton,Kevin Durant,Juancho Hernangomez,Jayson Tatum,Paul Millsap,Al Horford,226.4
Ben Simmons,Kyrie Irving,Furkan Korkmaz,Monte Morris,Kevin Durant,Gordon Hayward,Jayson Tatum,Thaddeus Young,Alex Len,256.6
Stephen Curry,Darren Collison,Jaylen Brown,CJ McCollum,Bojan Bogdanovic,Jarred Vanderbilt,Domantas Sabonis,Paul Millsap,Dewayne Dedmon,226.9
Kyrie Irving,Brad Wanamaker,Monte Morris,Daniel Hamilton,Kevin Durant,Gordon Hayward,Draymond Green,Paul Millsap,Nikola Jokic,262.7
Ben Simmons,Kyrie Irving,Jaylen Brown,Daniel Hamilton,Bojan Bogdanovic,Gordon Hayward,Draymond Green,Thaddeus Young,Al Horford,258.3
Ben Simmons,Stephen Curry,Furkan Korkmaz,Daniel Hamilton,Bojan Bogdanovic,Jarred Vanderbilt,Draymond Green,Jayson Tatum,Nikola Jokic,245.5
Stephen Curry,Darren Collison,Justin Holiday,Torrey Craig,Kevin Durant,Gordon Hayward,Jayson Tatum,Domantas Sabonis,Alex Len,243.8
Kyrie Irving,Brad Wanamaker,CJ McCollum,Marcus Smart,Kevin Durant,Bojan Bogdanovic,Thaddeus Young,Caleb Swanigan,Al Horford,271.8
Stephen Curry,Darren Collison,Jaylen Brown,Malik Beasley,Bojan Bogdanovic,Gordon Hayward,Jayson Tatum,Thaddeus Young,Nikola Jokic,257.8
Kyrie Irving,Darren Collison,CJ McCollum,Andre Iguodala,Gordon Hayward,Jarred Vanderbilt,Paul Millsap,Caleb Swanigan,Nikola Jokic,271.6
Ben Simmons,Kyrie Irving,Furkan Korkmaz,Daniel Hamilton,Kevin Durant,Jarred Vanderbilt,Domantas Sabonis,Paul Millsap,Dewayne Dedmon,219.1
