PG,PG,SG,SG,SF,SF,PF,PF,C,P
Ben Simmons,Spencer Dinwiddie,Dwyane Wade,Bogdan Bogdanovic,Danilo Gallinari,Rudy Gay,Pascal Siakam,Serge Ibaka,Brook Lopez,244.1
Spencer Dinwiddie,Jamal Murray,Khris Middleton,Buddy Hield,Danilo Gallinari,Rudy Gay,Marvin III,Serge Ibaka,Jarrett Allen,254.2
Spencer Dinwiddie,Jamal Murray,Dwyane Wade,Bogdan Bogdanovic,Giannis Antetokounmpo,Dorian Finney-Smith,Blake Griffin,Serge Ibaka,Willie Cauley-Stein,276.5
Spencer Dinwiddie,Jamal Murray,Dwyane Wade,Bogdan Bogdanovic,Danilo Gallinari,Davis Bertans,Marvin III,Aaron Gordon,Joel Embiid,269.7
Jamal Murray,Trey Burke,Khris Middleton,Bogdan Bogdanovic,Giannis Antetokounmpo,Rudy Gay,Aaron Gordon,Serge Ibaka,Brook Lopez,281.6
Spencer Dinwiddie,TJ McConnell,Dwyane Wade,Bogdan Bogdanovic,Giannis Antetokounmpo,Rudy Gay,Marvin III,Paul Millsap,Jarrett Allen,205.7
Spencer Dinwiddie,Brandon Knight,Buddy Hield,Dwyane Wade,Giannis Antetokounmpo,Rudy Gay,Aaron Gordon,Serge Ibaka,Mitchell Robinson,268.4
Ben Simmons,Spencer Dinwiddie,Khris Middleton,Dwyane Wade,Rudy Gay,Davis Bertans,Aaron Gordon,Blake Griffin,Jarrett Allen,248.4
Spencer Dinwiddie,Jamal Murray,James Harden,Bogdan Bogdanovic,Rudy Gay,Dorian Finney-Smith,Pascal Siakam,Aaron Gordon,Jarrett Allen,247.1
Ben Simmons,Jamal Murray,Khris Middleton,Dwyane Wade,Danilo Gallinari,Justin Jackson,Aaron Gordon,Serge Ibaka,Willie Cauley-Stein,288.3
Jeremy Lin,Jamal Murray,James Harden,Bogdan Bogdanovic,Danilo Gallinari,Rudy Gay,Serge Ibaka,Larry Jr,Willie Cauley-Stein,265.3
Jeremy Lin,Spencer Dinwiddie,Khris Middleton,Bogdan Bogdanovic,Giannis Antetokounmpo,Danilo Gallinari,Paul Millsap,Serge Ibaka,Mitchell Robinson,298.5
Jeremy Lin,Jamal Murray,Buddy Hield,Dwyane Wade,Danilo Gallinari,Rudy Gay,Aaron Gordon,Blake Griffin,Brook Lopez,245.6
Ben Simmons,Spencer Dinwiddie,Buddy Hield,Bogdan Bogdanovic,Joe Harris,Rudy Gay,Marvin III,Aaron Gordon,Willie Cauley-Stein,237.4
Ben Simmons,Jamal Murray,Buddy Hield,Bogdan Bogdanovic,Rudy Gay,Davis Bertans,Blake Griffin,Serge Ibaka,Mitchell Robinson,261.0
Spencer Dinwiddie,TJ McConnell,Khris Middleton,Bogdan Bogdanovic,Danilo Gallinari,Rudy Gay,Aaron Gordon,Montrezl Harrell,Nikola Jokic,244.8
Spencer Dinwiddie,Jamal Murray,Khris Middleton,Dwyane Wade,Giannis Antetokounmpo,Rudy Gay,Pascal Siakam,Marquese Chriss,Ante Zizic,281.9
Jamal Murray,TJ McConnell,Buddy Hield,Bogdan Bogdanovic,Giannis Antetokounmpo,Danilo Gallinari,Pascal Siakam,Serge Ibaka,Ante Zizic,252.8
Spencer Dinwiddie,Trey Burke,James Harden,Bogdan Bogdanovic,Rudy Gay,Davis Bertans,Paul Millsap,Serge Ibaka,Joel Embiid,258.2
Spencer Dinwiddie,Jamal Murray,James Harden,Dwyane Wade,Danilo Gallinari,Darius Miller,Paul Millsap,Serge Ibaka,Ante Zizic,226.5
Ben Simmons,Spencer Dinwiddie,Khris Middleton,Dwyane Wade,Darius Miller,Dorian Finney-Smith,Marvin III,Serge Ibaka,Joel Embiid,278.8
Spencer Dinwiddie,Patty Mills,Buddy Hield,Dwyane Wade,Danilo Gallinari,Danuel House,Blake Griffin,Serge Ibaka,Joel Embiid,269.2
Ben Simmons,Jamal Murray,Khris Middleton,Bogdan Bogdanovic,Danilo Gallinari,Davis Bertans,Pascal Siakam,Larry Jr,Jarrett Allen,255.8
Ben Simmons,Spencer Dinwiddie,Buddy Hield,Dwyane Wade,Danilo Gallinari,Dorian Finney-Smith,Paul Millsap,Larry Jr,Jarrett Allen,176.5
Spencer Dinwiddie,Jamal Murray,Buddy Hield,Dwyane Wade,Danilo Gallinari,Derrick Jr,Pascal Siakam,Montrezl Harrell,Willie Cauley-Stein,260.0
Ben Simmons,Jamal Murray,Dwyane Wade,Bogdan Bogdanovic,Rudy Gay,Darius Miller,Montrezl Harrell,Paul Millsap,Willie Cauley-Stein,221.6
Spencer Dinwiddie,Jamal Murray,Buddy Hield,Bogdan Bogdanovic,Derrick Jr,Rudy Gay,Paul Millsap,Larry Jr,Nikola Jokic,185.4
Ben Simmons,Brandon Knight,Khris Middleton,Bogdan Bogdanovic,Danilo Gallinari,Rudy Gay,Marvin III,Blake Griffin,Ante Zizic,252.3
Jamal Murray,TJ McConnell,Khris Middleton,Dwyane Wade,Derrick Jr,Rudy Gay,Blake Griffin,Serge Ibaka,Joel Embiid,284.7
Ben Simmons,Jeremy Lin,Buddy Hield,Bogdan Bogdanovic,Danilo Gallinari,Dorian Finney-Smith,Aaron Gordon,Serge Ibaka,Joel Embiid,271.2
Spencer Dinwiddie,Trey Burke,Khris Middleton,Bogdan Bogdanovic,Danilo Gallinari,Dorian Finney-Smith,Pascal Siakam,Blake Griffin,Joel Embiid,308.8
Jeremy Lin,Spencer Dinwiddie,James Harden,Dwyane Wade,Rudy Gay,Justin Jackson,Marvin III,Serge Ibaka,Nikola Vucevic,247.3
Spencer Dinwiddie,Trey Burke,James Harden,Dwyane Wade,Danilo Gallinari,Rudy Gay,Aaron Gordon,Larry Jr,Jakob Poeltl,200.5
Spencer Dinwiddie,Jamal Murray,Khris Middleton,Dwyane Wade,Danilo Gallinari,Norman Powell,Blake Griffin,Larry Jr,Mitchell Robinson,287.3
Ben Simmons,Jamal Murray,Buddy Hield,Dwyane Wade,Rudy Gay,Dorian Finney-Smith,Marvin III,Pascal Siakam,Jakob Poeltl,231.8
Ben Simmons,Spencer Dinwiddie,Khris Middleton,Buddy Hield,Danilo Gallinari,Darius Miller,Pascal Siakam,Aaron Gordon,Ante Zizic,260.8
Ben Simmons,Kadeem Allen,Khris Middleton,Bogdan Bogdanovic,Rudy Gay,Justin Jackson,Montrezl Harrell,Serge Ibaka,Joel Embiid,286.0
Ben Simmons,Spencer Dinwiddie,James Harden,Bogdan Bogdanovic,Darius Miller,Justin Jackson,Blake Griffin,Serge Ibaka,Jarrett Allen,238.2
Spencer Dinwiddie,TJ McConnell,James Harden,Khris Middleton,Danilo Gallinari,Davis Bertans,Blake Griffin,Serge Ibaka,Brook Lopez,281.6
Ben Simmons,Spencer Dinwiddie,James Harden,Khris Middleton,Derrick Jr,Rudy Gay,Serge Ibaka,Dirk Nowitzki,Willie Cauley-Stein,282.8
