PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kemba Walker,Kyrie Irving,Dennis Schroder,Dwyane Wade,Paul George,Justise Winslow,Kyle Kuzma,Derrick Favors,Alex Len,233.9
Russell Westbrook,Ricky Rubio,Jeremy Lamb,Dwyane Wade,Paul George,Justise Winslow,Jayson Tatum,Derrick Favors,Thomas Bryant,242.0
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Kent Bazemore,LeBron James,Paul George,Kyle Kuzma,Derrick Favors,Thomas Bryant,230.0
Ricky Rubio,Jamal Murray,Bradley Beal,Kent Bazemore,Paul George,Justise Winslow,Blake Griffin,Derrick Favors,Alex Len,221.7
Kyrie Irving,Ricky Rubio,Jeremy Lamb,Kent Bazemore,LeBron James,Justise Winslow,Jayson Tatum,Kyle Kuzma,Alex Len,258.6
Russell Westbrook,Jamal Murray,Jeremy Lamb,Dwyane Wade,Rudy Gay,Justise Winslow,Blake Griffin,Kyle Kuzma,Alex Len,264.7
Kyrie Irving,Jamal Murray,Dennis Schroder,Jeremy Lamb,Paul George,Rudy Gay,Jayson Tatum,Kyle Kuzma,Thomas Bryant,237.4
Kemba Walker,Ricky Rubio,Dwyane Wade,Kent Bazemore,Paul George,Rudy Gay,Jayson Tatum,Aaron Gordon,Alex Len,238.5
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Kent Bazemore,Paul George,Justise Winslow,Larry Jr,Jayson Tatum,Alex Len,195.4
Kyrie Irving,Spencer Dinwiddie,Dwyane Wade,Kent Bazemore,Paul George,Justise Winslow,Blake Griffin,Paul Millsap,Thomas Bryant,266.9
Jamal Murray,Spencer Dinwiddie,Bradley Beal,Dwyane Wade,LeBron James,Justise Winslow,Jayson Tatum,Kyle Kuzma,Thomas Bryant,225.9
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Bradley Beal,Rudy Gay,Justise Winslow,Anthony Davis,Kyle Kuzma,Alex Len,243.1
Kemba Walker,Ricky Rubio,Dwyane Wade,Kent Bazemore,Justise Winslow,Gordon Hayward,Anthony Davis,Kyle Kuzma,Thomas Bryant,276.4
Kyrie Irving,Ricky Rubio,CJ McCollum,Bradley Beal,Paul George,Justise Winslow,Larry Jr,Kyle Kuzma,Thomas Bryant,242.8
Kyrie Irving,Jamal Murray,Dwyane Wade,Kent Bazemore,LeBron James,Rudy Gay,Paul Millsap,Derrick Favors,Alex Len,259.1
Ricky Rubio,Jamal Murray,Dennis Schroder,Dwyane Wade,LeBron James,Gordon Hayward,Aaron Gordon,Kyle Kuzma,Alex Len,242.1
Kyrie Irving,Spencer Dinwiddie,Jeremy Lamb,Kent Bazemore,Paul George,Gordon Hayward,Aaron Gordon,Derrick Favors,Alex Len,245.5
Russell Westbrook,Ricky Rubio,Dennis Schroder,Kent Bazemore,Rudy Gay,Justise Winslow,Blake Griffin,Aaron Gordon,Thomas Bryant,232.2
Ben Simmons,Ricky Rubio,Dennis Schroder,Jeremy Lamb,Paul George,Justise Winslow,Paul Millsap,Aaron Gordon,Alex Len,258.7
Kemba Walker,Jamal Murray,Dennis Schroder,Jeremy Lamb,LeBron James,Justise Winslow,Larry Jr,Derrick Favors,Thomas Bryant,193.5
Kemba Walker,Spencer Dinwiddie,Bradley Beal,Dwyane Wade,Paul George,Rudy Gay,Larry Jr,Derrick Favors,Thomas Bryant,211.0
Kyrie Irving,Jamal Murray,Jeremy Lamb,Dwyane Wade,Paul George,Justise Winslow,Larry Jr,Aaron Gordon,Dewayne Dedmon,227.3
Damian Lillard,Ricky Rubio,Jeremy Lamb,CJ McCollum,Paul George,Rudy Gay,Kyle Kuzma,Derrick Favors,Alex Len,255.3
Ricky Rubio,Spencer Dinwiddie,CJ McCollum,Dwyane Wade,LeBron James,Justise Winslow,Blake Griffin,Larry Jr,Alex Len,244.1
Ricky Rubio,Jamal Murray,Bradley Beal,Dwyane Wade,Paul George,Rudy Gay,Paul Millsap,Kyle Kuzma,Dewayne Dedmon,248.2
Kemba Walker,Kyrie Irving,Jrue Holiday,Kent Bazemore,Rudy Gay,Justise Winslow,Jayson Tatum,Derrick Favors,Thomas Bryant,222.3
Damian Lillard,Jamal Murray,CJ McCollum,Dwyane Wade,Paul George,Justise Winslow,Paul Millsap,Jayson Tatum,Alex Len,257.2
Russell Westbrook,Jamal Murray,Bradley Beal,Kent Bazemore,Rudy Gay,Gordon Hayward,Kyle Kuzma,Derrick Favors,Thomas Bryant,229.7
Russell Westbrook,Spencer Dinwiddie,Bradley Beal,Dwyane Wade,Justise Winslow,Gordon Hayward,Paul Millsap,Derrick Favors,Alex Len,243.7
Kemba Walker,Jamal Murray,CJ McCollum,Kent Bazemore,Paul George,Gordon Hayward,Larry Jr,Kyle Kuzma,Alex Len,251.6
Jamal Murray,Spencer Dinwiddie,Jrue Holiday,CJ McCollum,Paul George,Justise Winslow,Aaron Gordon,Derrick Favors,Thomas Bryant,233.7
Kyrie Irving,Ricky Rubio,Dennis Schroder,CJ McCollum,Rudy Gay,Gordon Hayward,Blake Griffin,Jayson Tatum,Alex Len,237.6
Kemba Walker,Kyrie Irving,Jeremy Lamb,Bradley Beal,Rudy Gay,Justise Winslow,Paul Millsap,Larry Jr,Alex Len,249.9
Ben Simmons,Ricky Rubio,Jeremy Lamb,Dwyane Wade,LeBron James,Rudy Gay,Larry Jr,Kyle Kuzma,Thomas Bryant,254.8
Ben Simmons,Jamal Murray,Dennis Schroder,Dwyane Wade,Paul George,Gordon Hayward,Paul Millsap,Derrick Favors,Thomas Bryant,237.4
Kyrie Irving,Ricky Rubio,Bradley Beal,Dwyane Wade,Rudy Gay,Justise Winslow,Aaron Gordon,Derrick Favors,JaVale McGee,210.5
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Jeremy Lamb,Paul George,Rudy Gay,Blake Griffin,Larry Jr,Dewayne Dedmon,196.1
Kyrie Irving,Ricky Rubio,Dennis Schroder,Kent Bazemore,Justise Winslow,Gordon Hayward,Paul Millsap,Derrick Favors,Nikola Vucevic,248.0
Ricky Rubio,Jamal Murray,Dennis Schroder,Dwyane Wade,Rudy Gay,Justise Winslow,Larry Jr,Jayson Tatum,Joel Embiid,181.7
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Jeremy Lamb,Josh Richardson,Justise Winslow,Kyle Kuzma,Derrick Favors,Dewayne Dedmon,224.6
