PG,PG,SG,SG,SF,SF,PF,PF,C,P
Spencer Dinwiddie,Darren Collison,Buddy Hield,Dwyane Wade,LeBron James,Bojan Bogdanovic,Marvin III,Kyle Kuzma,Joel Embiid,265.5
Jamal Murray,Spencer Dinwiddie,Khris Middleton,Dwyane Wade,LeBron James,Bojan Bogdanovic,Serge Ibaka,Pascal Siakam,Karl-Anthony Towns,344.5
Stephen Curry,Spencer Dinwiddie,Jrue Holiday,Dwyane Wade,Bojan Bogdanovic,Justise Winslow,Serge Ibaka,Domantas Sabonis,Joel Embiid,248.9
Spencer Dinwiddie,Darren Collison,Jrue Holiday,Buddy Hield,LeBron James,Justise Winslow,Domantas Sabonis,Pascal Siakam,Karl-Anthony Towns,344.7
Stephen Curry,Darren Collison,Buddy Hield,Dwyane Wade,LeBron James,Rudy Gay,Serge Ibaka,Pascal Siakam,JaVale McGee,354.7
Stephen Curry,Darren Collison,Khris Middleton,Dwyane Wade,LeBron James,Justise Winslow,Kyle Kuzma,Domantas Sabonis,Alex Len,260.7
Stephen Curry,Jamal Murray,Buddy Hield,Dwyane Wade,Rudy Gay,Bojan Bogdanovic,Kyle Kuzma,Domantas Sabonis,Karl-Anthony Towns,322.8
Stephen Curry,Jamal Murray,Kent Bazemore,Buddy Hield,Bojan Bogdanovic,Justise Winslow,Marvin III,Pascal Siakam,Joel Embiid,285.5
Jamal Murray,Spencer Dinwiddie,Jrue Holiday,Dwyane Wade,LeBron James,Rudy Gay,Marvin III,Domantas Sabonis,Alex Len,278.2
Jamal Murray,Darren Collison,Jrue Holiday,Khris Middleton,Rudy Gay,Bojan Bogdanovic,Kyle Kuzma,Pascal Siakam,Joel Embiid,307.0
Stephen Curry,Darren Collison,Jrue Holiday,Buddy Hield,Josh Richardson,Bojan Bogdanovic,Marvin III,Serge Ibaka,Karl-Anthony Towns,343.7
Jamal Murray,Darren Collison,Kent Bazemore,Dwyane Wade,LeBron James,Justise Winslow,Marvin III,Paul Millsap,Karl-Anthony Towns,308.3
Stephen Curry,Darren Collison,CJ McCollum,Dwyane Wade,Josh Richardson,Bojan Bogdanovic,Paul Millsap,Pascal Siakam,Joel Embiid,287.6
Damian Lillard,Spencer Dinwiddie,Khris Middleton,Dwyane Wade,Rudy Gay,Justise Winslow,Marvin III,Pascal Siakam,Joel Embiid,238.2
Spencer Dinwiddie,Darren Collison,Jrue Holiday,Dwyane Wade,Kevin Durant,Rudy Gay,Kyle Kuzma,Serge Ibaka,Karl-Anthony Towns,319.5
Stephen Curry,Spencer Dinwiddie,CJ McCollum,Khris Middleton,Bojan Bogdanovic,Justise Winslow,Marvin III,Kyle Kuzma,Karl-Anthony Towns,266.6
