Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33983-58462:Karl-Anthony Towns,33983-58462,C,Karl-Anthony,Towns,48.776711659888704,73,11400,PHI@MIN,MIN,PHI,,,,,,52.98,27.1,28.7,0.08879076339310422,31.2,52.7,49.7,Karl-Anthony Towns,16.012936699067165
33983-58460:Devin Booker,33983-58460,SG,Devin,Booker,40.931148341444676,61,11300,MEM@PHO,PHO,MEM,,,,,,47.1,19.1,32.2,0.2962412394749948,37.8,49.9,44.6,Devin Booker,17.12020395103822
33983-20848:Damian Lillard,33983-20848,PG,Damian,Lillard,43.92800130208333,75,10700,POR@DET,POR,DET,,,,,,52.32000000000001,24.4,29.4,0.10850999209079994,35.8,57.15,45.0,Damian Lillard,16.342175359646898
33983-15557:Andre Drummond,33983-15557,C,Andre,Drummond,45.548611111111114,72,10300,POR@DET,DET,POR,,,,,,49.44,23.2,23.1,0.05714310375826896,35.6,52.6,47.3,Andre Drummond,14.449610988149495
33983-14514:Nikola Vucevic,33983-14514,C,Nikola,Vucevic,45.26710590563322,76,10000,ORL@IND,ORL,IND,,,,,,47.54,25.8,27.8,0.7725861532784105,32.0,45.55,49.2,Nikola Vucevic,17.590972764086207
33983-66115:Ben Simmons,33983-66115,PG,Ben,Simmons,42.351998697916656,75,9700,PHI@MIN,PHI,MIN,,,,,,43.42,20.3,21.9,0.8627404920057156,36.8,51.85,45.4,Ben Simmons,17.352506975727316
33983-9560:Blake Griffin,33983-9560,PF,Blake,Griffin,41.508220515839035,73,9000,POR@DET,DET,POR,,,,,,33.66,20.8,30.1,0.16311259895240496,31.8,39.1,41.3,Blake Griffin,15.148569303814712
33983-9575:Mike Conley,33983-9575,PG,Mike,Conley,37.76811594202898,69,8600,MEM@PHO,MEM,PHO,,,,,,43.8,21.4,27.3,0.012963993429158431,34.2,45.6,39.3,Mike Conley,14.226042394283123
33983-14528:Jimmy Butler,33983-14528,SG,Jimmy,Butler,37.70806294102823,62,8300,PHI@MIN,PHI,MIN,,,,,,43.14,20.9,22.5,0.8842912792861917,35.8,45.2,41.4,Jimmy Butler,16.676731369696817
33983-58253:Myles Turner,33983-58253,C,Myles,Turner,33.41883916440217,69,8100,ORL@IND,IND,ORL,,,,,,29.179999999999996,17.7,20.3,0.3789028591975185,29.4,36.5,33.6,Myles Turner,12.377168023541417
33983-60021:Pascal Siakam,33983-60021,PF,Pascal,Siakam,32.94533203125,75,8000,TOR@CHI,TOR,CHI,,,,,,39.559999999999995,18.6,20.4,0.8366464915416565,35.8,38.5,36.6,Pascal Siakam,15.082217455503237
33983-84673:Deandre Ayton,33983-84673,C,Deandre,Ayton,34.90563449053697,71,7900,MEM@PHO,PHO,MEM,,,,,,35.9,20.8,21.2,0.02219994821581849,28.6,35.2,34.6,Deandre Ayton,11.604160162058905
33983-80817:Bam Adebayo,33983-80817,PF,Bam,Adebayo,23.874666341145836,75,7200,MIA@NY,MIA,NYK,,,,,,34.56,17.7,15.8,0.8659640099819931,28.0,35.05,34.0,Bam Adebayo,12.029820817362669
33983-14518:Tobias Harris,33983-14518,PF,Tobias,Harris,35.397367778577305,76,7000,PHI@MIN,PHI,MIN,,,,,,34.08,17.9,22.8,0.8962848670194341,35.6,37.4,34.1,Tobias Harris,16.107836974981737
33983-9561:DeAndre Jordan,33983-9561,C,DeAndre,Jordan,32.846375396286234,69,6900,MIA@NY,NYK,MIA,,,,,,29.4,19.0,14.9,0.003629479569163137,24.2,34.85,22.3,DeAndre Jordan,9.61536237371846
33983-49116:Andrew Wiggins,33983-49116,SG,Andrew,Wiggins,30.230302290482953,66,6800,PHI@MIN,MIN,PHI,,,,,,28.46,11.9,24.1,0.2728678141905293,34.6,28.5,31.0,Andrew Wiggins,12.567788239344859
33983-59358:Domantas Sabonis,33983-59358,PF,Domantas,Sabonis,30.60434711843297,69,6800,ORL@IND,IND,ORL,,,,,,30.359999999999996,22.1,23.4,0.14859929114980075,25.2,37.7,29.8,Domantas Sabonis,12.086446834152277
33983-9535:Kyle Lowry,33983-9535,PG,Kyle,Lowry,35.600001600922134,61,6700,TOR@CHI,TOR,CHI,,,,,,34.8,17.0,19.7,0.6204247816496155,33.0,38.9,32.9,Kyle Lowry,13.788941744415993
33983-41594:Aaron Gordon,33983-41594,PF,Aaron,Gordon,32.320834689670136,72,6700,ORL@IND,ORL,IND,,,,,,33.62,15.0,22.1,0.7358182282147584,33.6,37.2,30.4,Aaron Gordon,14.59296214517097
33983-63124:Emmanuel Mudiay,33983-63124,PG,Emmanuel,Mudiay,24.9250008719308,56,6600,MIA@NY,NYK,MIA,,,,,,26.4,14.8,25.4,0.14400803170345083,30.8,34.4,25.8,Emmanuel Mudiay,12.189468797967901
33983-14530:Bojan Bogdanovic,33983-14530,SF,Bojan,Bogdanovic,26.771052310341286,76,6600,ORL@IND,IND,ORL,,,,,,24.44,15.7,22.2,0.26930059578229054,30.6,27.9,30.0,Bojan Bogdanovic,11.496686804864584
33983-84709:Mitchell Robinson,33983-84709,C,Mitchell,Robinson,23.86779578257415,59,6600,MIA@NY,NYK,MIA,,,,,,25.6,21.8,12.3,0.003629479569163137,20.0,37.0,35.7,Mitchell Robinson,8.182300687689395
33983-58081:Tyus Jones,33983-58081,PG,Tyus,Jones,18.462294281506146,61,6400,PHI@MIN,MIN,PHI,,,,,,26.74,13.1,13.8,0.20541192862718172,31.6,29.85,30.4,Tyus Jones,8.690764171402197
