"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33605-9623","PG","Chris","Chris Paul","Paul","37.071110026041666","45","8100","MIN@HOU","HOU","MIN","","","","",""
"33605-9475","PG","Derrick","Derrick Rose","Rose","28.666666666666668","51","5000","MIN@HOU","MIN","HOU","GTD","Elbow","","",""
"33605-9556","SG","Eric","Eric Gordon","Gordon","24.324999128069198","56","5700","MIN@HOU","HOU","MIN","","","","",""
"33605-23096","SG","Evan","Evan Fournier","Fournier","24.888406504755434","69","5700","ATL@ORL","ORL","ATL","","","","",""
"33605-20491","SF","Robert","Robert Covington","Covington","30.9028564453125","35","5700","MIN@HOU","MIN","HOU","GTD","Knee","","",""
"33605-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","22.978124618530273","64","5200","CHI@SAC","SAC","CHI","","","","",""
"33605-84700","PF","Rodions","Rodions Kurucs","Kurucs","16.641509433962263","53","4800","BKN@LAC","BKN","LAC","","","","",""
"33605-80819","PF","Harry","Harry Giles III","Giles III","15.130909312855113","55","4700","CHI@SAC","SAC","CHI","","","","",""
"33605-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","48.59701492537314","67","11400","MIN@HOU","MIN","HOU","","","","",""
"33605-9644","SG","James","James Harden","Harden","58.45757501775568","66","12600","MIN@HOU","HOU","MIN","GTD","Neck","","",""
"33605-14514","C","Nikola","Nikola Vucevic","Vucevic","45.03285784040179","70","10000","ATL@ORL","ORL","ATL","","","","",""
"33605-66236","PF","John","John Collins","Collins","34.77115337665264","52","9100","ATL@ORL","ATL","ORL","","","","",""
"33605-40783","SG","Zach","Zach LaVine","LaVine","36.772132748463115","61","8300","CHI@SAC","CHI","SAC","","","","",""
"33605-84671","PG","Trae","Trae Young","Young","33.774647887323944","71","8200","ATL@ORL","ATL","ORL","","","","",""
"33605-80810","PG","De'Aaron","De'Aaron Fox","Fox","36.40735222311581","68","8000","CHI@SAC","SAC","CHI","","","","",""
"33605-58312","SG","D'Angelo","D'Angelo Russell","Russell","35.71690003301056","71","7900","BKN@LAC","BKN","LAC","","","","",""
"33605-55059","C","Clint","Clint Capela","Capela","39.042593496817126","54","7800","MIN@HOU","HOU","MIN","","","","",""
"33605-23776","PF","Montrezl","Montrezl Harrell","Harrell","32.332857840401786","70","7800","BKN@LAC","LAC","BKN","","","","",""
"33605-80812","PF","Lauri","Lauri Markkanen","Markkanen","34.09583282470703","48","7700","CHI@SAC","CHI","SAC","","","","",""
"33605-9662","SG","Lou","Lou Williams","Williams","32.025001525878906","64","7600","BKN@LAC","LAC","BKN","","","","",""
"33605-41594","PF","Aaron","Aaron Gordon","Gordon","32.459091648910984","66","7300","ATL@ORL","ORL","ATL","","","","",""
"33605-9637","SF","Danilo","Danilo Gallinari","Gallinari","31.856895709859913","58","7100","BKN@LAC","LAC","BKN","","","","",""
"33605-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","29.05272771661932","55","7000","CHI@SAC","CHI","SAC","","","","",""
