Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR
Joel Embiid,33785-49111,C,Joel,Embiid,53.175,60,12100,PHI@ATL,PHI,ATL,,,,,,51.68000000000001,35.6,25.5,33.2,0.9216942282814395,57.55
Karl-Anthony Towns,33785-58462,C,Karl-Anthony,Towns,48.691427176339296,70,11300,MIN@MEM,MIN,MEM,,,,,,56.42,33.8,25.6,27.4,0.02219994821581849,65.05
Andre Drummond,33785-15557,C,Andre,Drummond,45.5308837890625,68,11000,DET@POR,DET,POR,,,,,,49.02,34.2,22.7,23.6,0.05714310375826896,59.75
Damian Lillard,33785-20848,PG,Damian,Lillard,43.82957608934859,71,10800,DET@POR,POR,DET,,,,,,46.9,38.4,23.7,29.7,0.10850999209079994,48.4
Bradley Beal,33785-15595,SG,Bradley,Beal,44.3270263671875,74,10100,MIA@WAS,WAS,MIA,,,,,,49.739999999999995,38.4,20.4,28.3,0.1745392665347342,51.4
Stephen Curry,33785-9524,PG,Stephen,Curry,44.139344262295076,61,9900,DAL@GS,GSW,DAL,,Rest,,,,36.92,34.0,25.8,30.3,0.9733309656730407,45.3
Luka Doncic,33785-84669,SG,Luka,Doncic,39.45294189453125,68,9600,DAL@GS,DAL,GSW,,,,,,43.76,30.4,19.2,29.1,0.75647983808866,39.85
Kevin Durant,33785-9646,SF,Kevin,Durant,46.18261011096015,69,9600,DAL@GS,GSW,DAL,,,,,,38.720000000000006,35.2,25.0,30.1,0.8701135033955351,44.3
Ben Simmons,33785-66115,PG,Ben,Simmons,42.27260140196917,73,9500,PHI@ATL,PHI,ATL,,,,,,50.54,37.8,20.3,22.4,0.9879742984687923,48.6
Mike Conley,33785-9575,PG,Mike,Conley,37.8761186742071,67,9400,MIN@MEM,MEM,MIN,,,,,,40.559999999999995,31.2,20.4,27.1,0.8627404920057156,48.35
Devin Booker,33785-58460,SG,Devin,Booker,39.80344995959052,58,9300,PHO@SAC,PHO,SAC,,,,,,40.86,35.2,18.6,31.7,0.9537718798989038,38.95
Rudy Gobert,33785-40203,C,Rudy,Gobert,41.394443088107636,72,9200,UTA@CHI,UTA,CHI,,,,,,37.440000000000005,29.8,24.4,17.5,0.9033642668470633,46.85
Donovan Mitchell,33785-66113,SG,Donovan,Mitchell,37.55797101449275,69,9100,UTA@CHI,UTA,CHI,,,,,,43.36,35.8,16.1,31.5,0.6156049283285292,49.05
De'Aaron Fox,33785-80810,PG,De'Aaron,Fox,36.59718172315141,71,8900,PHO@SAC,SAC,PHO,,,,,,34.6,33.0,17.9,24.5,0.012963993429158431,35.0
DeMarcus Cousins,33785-12362,C,DeMarcus,Cousins,36.96363691850142,22,8800,DAL@GS,GSW,DAL,,,,,,42.3,28.6,19.2,27.9,0.43393614875004705,51.7
Jusuf Nurkic,33785-55057,C,Jusuf,Nurkic,37.424285016741074,70,8600,DET@POR,POR,DET,,,,,,40.8,27.8,23.3,24.5,0.009987218030808332,43.15
