Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR,FullName,BOOM
33809-9644:James Harden,33809-9644,SG,James,Harden,58.80714285714286,70,12600,HOU@NO,HOU,NOP,,,,,,69.52000000000001,37.2,30.5,40.6,0.9662231617134047,84.4,James Harden,26.078253118322728
33809-15557:Andre Drummond,33809-15557,C,Andre,Drummond,45.44637751924819,69,11100,DET@GS,DET,GSW,,,,,,49.44,35.6,23.2,23.1,0.9440138779340027,52.6,Andre Drummond,18.231264626226412
33809-14498:Kyrie Irving,33809-14498,PG,Kyrie,Irving,44.235485446068544,62,10300,SA@BOS,BOS,SAS,,,,,,57.58,35.4,24.9,29.6,0.4444909409637827,60.45,Kyrie Irving,17.818976029032477
33809-9646:Kevin Durant,33809-9646,SF,Kevin,Durant,46.03714425223215,70,9600,DET@GS,GSW,DET,,,,,,34.38,31.2,24.2,29.9,0.07187651678289322,34.15,Kevin Durant,14.879654933189837
33809-9714:DeMar DeRozan,33809-9714,SG,DeMar,DeRozan,40.305883071001844,68,9200,SA@BOS,SAS,BOS,,,,,,39.76,32.4,19.4,28.4,0.190954507181358,44.5,DeMar DeRozan,15.07828452832572
33809-80810:De'Aaron Fox,33809-80810,PG,De'Aaron,Fox,36.509721544053825,72,9100,SAC@LAL,SAC,LAL,,,,,,36.08,30.6,17.8,24.4,0.9531638879619686,41.05,De'Aaron Fox,16.377477183382002
33809-42669:Julius Randle,33809-42669,PF,Julius,Randle,37.525372405550364,67,9000,HOU@NO,NOP,HOU,,,,,,41.7,32.6,20.8,27.4,0.1178178381888048,50.8,Julius Randle,14.78148416919171
33809-12362:DeMarcus Cousins,33809-12362,C,DeMarcus,Cousins,36.56087062669837,23,8900,DET@GS,GSW,DET,,,,,,37.519999999999996,26.6,21.3,27.1,0.009987218030808332,41.1,DeMarcus Cousins,13.475848147034622
33809-19138:Elfrid Payton,33809-19138,PG,Elfrid,Payton,29.823529411764714,34,8900,HOU@NO,NOP,HOU,,,,,,44.480000000000004,34.4,14.5,18.1,0.028185482359472255,49.4,Elfrid Payton,11.552453688968518
33809-9688:LaMarcus Aldridge,33809-9688,PF,LaMarcus,Aldridge,38.54383494755993,73,8700,SA@BOS,SAS,BOS,,,,,,35.56,33.6,22.4,26.9,0.008849212459396624,33.8,LaMarcus Aldridge,13.41737817542704
33809-9560:Blake Griffin,33809-9560,PF,Blake,Griffin,41.344287109375,70,8500,DET@GS,DET,GSW,,,,,,33.66,31.8,20.8,30.1,0.9595981954440151,39.1,Blake Griffin,18.298619170525807
33809-14509:Klay Thompson,33809-14509,SG,Klay,Thompson,34.66999860491072,70,8300,DET@GS,GSW,DET,,,,,,34.739999999999995,32.4,17.2,26.1,0.13093855268365373,39.6,Klay Thompson,13.546779075299499
33809-9623:Chris Paul,33809-9623,PG,Chris,Paul,37.312245894451536,49,8200,HOU@NO,HOU,NOP,,,,,,38.559999999999995,32.8,19.2,22.2,0.9570576865000411,36.15,Chris Paul,15.943786946772654
33809-55059:Clint Capela,33809-55059,C,Clint,Capela,38.96206980738147,58,8100,HOU@NO,HOU,NOP,,,,,,36.739999999999995,32.8,23.3,18.2,0.9960694931942436,42.45,Clint Capela,15.677357119833992
33809-23665:Buddy Hield,33809-23665,SG,Buddy,Hield,32.17638821072049,72,7900,SAC@LAL,SAC,LAL,,,,,,33.739999999999995,32.0,17.5,25.2,0.9674388814463598,39.9,Buddy Hield,16.429759847077143
33809-15755:Anthony Davis,33809-15755,PF,Anthony,Davis,55.68035888671875,56,7800,HOU@NO,NOP,HOU,,,,,,38.879999999999995,20.8,30.5,29.5,0.1178178381888048,40.6,Anthony Davis,15.592127817744977
33809-84679:Marvin Bagley,33809-84679,PF,Marvin,Bagley,27.9333337854456,54,7500,SAC@LAL,SAC,LAL,,,,,,35.92,25.4,19.3,23.5,0.9110518409236977,36.3,Marvin Bagley,14.18208086037082
33809-15860:Draymond Green,33809-15860,PF,Draymond,Green,31.094737270422147,57,7400,DET@GS,GSW,DET,,,,,,28.74,31.0,12.5,12.7,0.027843275282867626,31.35,Draymond Green,9.035615736063336
33809-23823:Willie Cauley-Stein,33809-23823,C,Willie,Cauley-Stein,30.530554877387157,72,6600,SAC@LAL,SAC,LAL,,,,,,25.439999999999998,23.0,17.8,17.9,0.8046557907576491,26.55,Willie Cauley-Stein,11.674827827714836
33809-9455:Rajon Rondo,33809-9455,PG,Rajon,Rondo,27.784211811266452,38,6500,SAC@LAL,LAL,SAC,,,,,,28.080000000000002,31.2,12.1,17.3,0.9932407027012011,34.7,Rajon Rondo,13.767415590905369
33809-9739:JaVale McGee,33809-9739,C,JaVale,McGee,27.021538837139424,65,6300,SAC@LAL,LAL,SAC,,,,,,40.4,26.2,21.5,20.1,0.07518358118822295,47.6,JaVale McGee,11.463303583548008
33809-42677:Terry Rozier,33809-42677,PG,Terry,Rozier,21.172856794084822,70,6200,SA@BOS,BOS,SAS,,,,,,20.32,21.2,13.5,18.7,0.4444909409637827,28.45,Terry Rozier,9.986927591430817
33809-9577:Rudy Gay,33809-9577,SF,Rudy,Gay,28.538334147135416,60,6100,SA@BOS,SAS,BOS,,,,,,26.96,24.0,18.2,22.0,0.06745440970932684,29.95,Rudy Gay,10.843950072396856
