Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,FullName,BOOM
33831-9642:Russell Westbrook,33831-9642,PG,Russell,Westbrook,54.53538536658654,65,12000,OKC@MEM,OKC,MEM,,,,,,57.279999999999994,20.8,31.5,0.274638811751623,36.6,63.15,Russell Westbrook,18.74505725023568
33831-49111:Joel Embiid,33831-49111,C,Joel,Embiid,52.96557216956968,61,11900,PHI@ORL,PHI,ORL,,,,,,60.8,25.9,33.0,0.3789028591975185,35.8,71.4,Joel Embiid,19.8490639529851
33831-20848:Damian Lillard,33831-20848,PG,Damian,Lillard,43.84166802300347,72,10600,BKN@POR,POR,BRK,,,,,,52.32000000000001,24.4,29.4,0.004115715931388228,35.8,57.15,Damian Lillard,16.019159002494227
33831-12341:Paul George,33831-12341,SF,Paul,George,49.368572126116064,70,10400,OKC@MEM,OKC,MEM,,,,,,48.059999999999995,23.8,29.5,0.08921173087682555,36.8,50.45,Paul George,16.38852726774484
33831-14514:Nikola Vucevic,33831-14514,C,Nikola,Vucevic,45.301369863013704,73,10000,PHI@ORL,ORL,PHI,,,,,,47.54,25.8,27.8,0.08879076339310422,32.0,45.55,Nikola Vucevic,15.08938477310732
33831-40203:Rudy Gobert,33831-40203,C,Rudy,Gobert,41.55068426262842,73,9400,PHO@UTA,UTA,PHO,,,,,,42.3,24.5,17.6,0.9432765211371079,29.4,51.65,Rudy Gobert,15.531638619706523
33831-58460:Devin Booker,33831-58460,SG,Devin,Booker,40.01694915254237,59,9300,PHO@UTA,PHO,UTA,,,,,,47.1,19.1,32.2,0.018682861759744582,37.8,49.9,Devin Booker,16.072520499250516
33831-58312:D'Angelo Russell,33831-58312,SG,D'Angelo,Russell,36.6432445629223,74,9100,BKN@POR,BRK,POR,,,,,,48.2,19.2,31.5,0.6108844932212483,32.2,50.5,D'Angelo Russell,17.42714783302173
33831-66113:Donovan Mitchell,33831-66113,SG,Donovan,Mitchell,37.437144252232144,70,9000,PHO@UTA,UTA,PHO,,,,,,36.08,16.9,31.9,0.0340865034518847,31.0,39.85,Donovan Mitchell,14.911362292829812
33831-14528:Jimmy Butler,33831-14528,SG,Jimmy,Butler,37.83833414713542,60,8800,PHI@ORL,PHI,ORL,,,,,,43.14,20.9,22.5,0.10372789064173125,35.8,45.2,Jimmy Butler,13.347678759684484
33831-55057:Jusuf Nurkic,33831-55057,C,Jusuf,Nurkic,37.32957608934859,71,8400,BKN@POR,POR,BRK,,,,,,34.4,23.1,24.5,0.8373315880180019,27.6,29.95,Jusuf Nurkic,14.834542257664658
33831-14503:Jonas Valanciunas,33831-14503,C,Jonas,Valanciunas,29.16666666666667,45,8100,OKC@MEM,MEM,OKC,,,,,,40.64,24.5,27.7,0.2917134007070506,29.8,47.25,Jonas Valanciunas,14.297560578958434
33831-84673:Deandre Ayton,33831-84673,C,Deandre,Ayton,35.12173771512681,69,7900,PHO@UTA,PHO,UTA,,,,,,35.9,20.8,21.2,0.9735485739271846,28.6,35.2,Deandre Ayton,14.882570182116195
33831-41594:Aaron Gordon,33831-41594,PF,Aaron,Gordon,32.44057829483695,69,7700,PHI@ORL,ORL,PHI,,,,,,33.62,15.0,22.1,0.16375140950950012,33.6,37.2,Aaron Gordon,12.373584033743656
33831-14518:Tobias Harris,33831-14518,PF,Tobias,Harris,35.66080949113176,74,7500,PHI@ORL,PHI,ORL,,,,,,34.08,17.9,22.8,0.14859929114980075,35.6,37.4,Tobias Harris,12.887889316501852
33831-12351:Derrick Favors,33831-12351,PF,Derrick,Favors,27.718054877387157,72,6800,PHO@UTA,UTA,PHO,,,,,,27.28,21.6,19.1,0.8050710234474617,21.6,36.65,Derrick Favors,12.190618035780803
33831-14496:Ricky Rubio,33831-14496,PG,Ricky,Rubio,28.11428493923611,63,6500,PHO@UTA,UTA,PHO,,,,,,30.3,13.7,22.6,0.012963993429158431,23.4,28.9,Ricky Rubio,10.759532982926652
33831-9655:J.J. Redick,33831-9655,SF,J.J.,Redick,25.346377165421195,69,6300,PHI@ORL,PHI,ORL,,,,,,28.46,14.6,21.6,0.26930059578229054,32.2,24.95,J.J. Redick,11.146700812278254
33831-80821:Jarrett Allen,33831-80821,C,Jarrett,Allen,28.313697292380137,73,6200,BKN@POR,BRK,POR,,,,,,26.360000000000003,18.9,16.0,0.05714310375826896,25.4,29.25,Jarrett Allen,9.323032140857856
33831-59318:Joe Ingles,33831-59318,SF,Joe,Ingles,27.01095957298801,73,6100,PHO@UTA,UTA,PHO,,,,,,25.979999999999997,12.8,17.3,0.24768972583153015,27.4,27.15,Joe Ingles,9.978963996281333
33831-23096:Evan Fournier,33831-23096,SG,Evan,Fournier,25.280554877387157,72,6000,PHI@ORL,ORL,PHI,,,,,,28.6,11.8,22.1,0.2728678141905293,31.2,31.75,Evan Fournier,11.638088112006846
33831-23169:Steven Adams,33831-23169,C,Steven,Adams,33.273238061179576,71,6000,OKC@MEM,OKC,MEM,,,,,,27.04,18.5,16.3,0.02219994821581849,32.4,30.25,Steven Adams,10.09257582186725
33831-16405:Terrence Ross,33831-16405,SG,Terrence,Ross,23.915278116861984,72,5900,PHI@ORL,ORL,PHI,,,,,,24.840000000000003,14.8,24.0,0.2728678141905293,27.2,30.8,Terrence Ross,11.6807092530454
33831-80811:Jonathan Isaac,33831-80811,SF,Jonathan,Isaac,22.717910083372203,67,5900,PHI@ORL,ORL,PHI,,,,,,22.96,12.6,16.1,0.6525809624452856,27.2,28.2,Jonathan Isaac,10.652013108745358
33831-40201:Dennis Schroder,33831-40201,SG,Dennis,Schroder,26.838570731026785,70,5800,OKC@MEM,OKC,MEM,,,,,,27.74,12.7,24.7,0.2962412394749948,33.0,27.4,Dennis Schroder,12.341966144127584
33831-9466:D.J. Augustin,33831-9466,PG,D.J.,Augustin,22.719445122612854,72,5800,PHI@ORL,ORL,PHI,,,,,,33.6,15.9,17.0,0.20541192862718172,31.2,37.2,D.J. Augustin,10.281653454811595
33831-40830:Delon Wright,33831-40830,SG,Delon,Wright,18.69090872099905,66,5700,OKC@MEM,MEM,OKC,,,,,,27.120000000000005,14.2,17.5,0.789183633820451,31.6,33.35,Delon Wright,12.063239814221049
